School,Location,Tuition Fee,Course
AMA Computer College,Barangay Parian,"22,000.00",BS Accountancy
Calamba Doctor's College,Barangay Parian,"46,940.00",BS Accountancy
Calamba Doctor's College,Barangay Parian,"46,940.00",BS Elementary Education
Calamba Doctor's College,Barangay Parian,"46,940.00",BS Secondary Education
Calamba Doctor's College,Barangay Parian,"38,347.00",BS Psychology
Calamba Doctor's College,Barangay Parian,"52,737.00",BS Nursing
City College of Calamba,Barangay VII,Free Tuition,BS Accountancy
City College of Calamba,Barangay VII,Free Tuition,BS Elementary Education
City College of Calamba,Barangay VII,Free Tuition,BS Secondary Education
Colegio de San Juan de Letran,Barangay Bucal,"40,000 to 55,000",BS Accountancy
Colegio de San Juan de Letran,Barangay Bucal,"40,000 to 55,000",BS Elementary Education
Colegio de San Juan de Letran,Barangay Bucal,"40,000 to 55,000",BS Secondary Education
Colegio de San Juan de Letran,Barangay Bucal,"40,000 to 55,000",BS Psychology
Colegio de San Juan de Letran,Barangay Bucal,"40,000 to 55,000",BS Electronics Engineering
Colegio de San Juan de Letran,Barangay Bucal,"40,000 to 55,000",BS Electrical Engineering
Colegio de San Juan de Letran,Barangay Bucal,"40,000 to 55,000",BS Nursing
Colegio de San Juan de Letran,Barangay Bucal,"40,000 to 55,000",BS Mechanical Engineering
Laguna College Of Business And Arts,Barangay III,"44,000 to 50,000",BS Accountancy
Laguna College Of Business And Arts,Barangay III,"44,000 to 50,000",BS Elementary Education
Laguna College Of Business And Arts,Barangay III,"44,000 to 50,000",BS Secondary Education
Laguna College Of Business And Arts,Barangay III,"44,000 to 50,000",BS Psychology
Lyceum of the Philippines University,Barangay Makiling,"41,000 to 43,000",BS Accountancy
Lyceum of the Philippines University,Barangay Makiling,"32,000 to 34,000",BS Psychology
Lyceum of the Philippines University,Barangay Makiling,"43,000 to 45,000",BS Electrical Engineering
Lyceum of the Philippines University,Barangay Makiling,"56,000 to 58,000",BS Nursing
Lyceum of the Philippines University,Barangay Makiling,"43,000 to 45,000",BS Civil Engineering
Lyceum of the Philippines University,Barangay Makiling,"41,000 to 44,000",BS Electrical Engineering
Saint John Colleges,Barangay III,"16,895.25 to 22,207.75",BS Accountancy
Saint John Colleges,Barangay III,"11,574 to 20,423",BS Elementary Education
Saint John Colleges,Barangay III,"14,146.75 to 19,709.25",BS Psychology
Saint John Colleges,Barangay III,"11,574 to 20,228.25",BS Secondary Education Major in Social Studies
Saint John Colleges,Barangay III,"11,574 to 19,736.75",BS Secondary Education Major in English
Saint John Colleges,Barangay III,"12,817.75 to 20,228.25",BS Secondary Education Major in Filipino
Saint John Colleges,Barangay III,"11,574 to 18,907.50",BS Secondary Education Major in Mathematics
Saints John and Paul Colleges,Barangay Halang,"25,765.00",BS Psychology
Saints John and Paul Colleges,Barangay Halang,"25,765.00",BS Nursing
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"50,000 to 60,000",BS Accountancy
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"50,000 to 60,000",BS Elementary Education
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"50,000 to 60,000",BS Secondary Education
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"50,000 to 60,000",BS Psychology
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"50,000 to 60,000",BS Civil Engineering
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"50,000 to 60,000",BS Electronics Engineering
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"50,000 to 60,000",BS Electrical Engineering
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"50,000 to 60,000",BS Nursing
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"50,000 to 60,000",BS Mechanical Engineering
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"45,000 to 65,000",BS Architecture
University of Perpetual Help System Dalta,Barangay Paciano Rizal,"40,000 to 50,000",BS Criminology
