Time Date,School,Course,Passing Rate
18102010,CCC,Accountancy,18.75
24052011,CCC,Accountancy,50
17102011,CCC,Accountancy,19.05
22052012,CCC,Accountancy,0
15102012,CCC,Accountancy,24.32
28052013,CCC,Accountancy,25
21102013,CCC,Accountancy,14.29
1082014,CCC,Accountancy,22.22
16102014,CCC,Accountancy,8.82
21052015,CCC,Accountancy,40
16102015,CCC,Accountancy,19.51
23052016,CCC,Accountancy,50
20102016,CCC,Accountancy,28.57
29052017,CCC,Accountancy,19.35
2112017,CCC,Accountancy,25.58
28052018,CCC,Accountancy,9.38
23102018,CCC,Accountancy,10
27052019,CCC,Accountancy,7.14
21102019,CCC,Accountancy,1.35
29122021,CCC,Accountancy,33.33
1062022,CCC,Accountancy,50
