Time Date,School,Course,Passing rate
18102010,CCC,ACCOUNTANCY,18.75
24052011,CCC,ACCOUNTANCY,50
17102011,CCC,ACCOUNTANCY,19.05
22052012,CCC,ACCOUNTANCY,0
15102012,CCC,ACCOUNTANCY,24.32
28052013,CCC,ACCOUNTANCY,25
21102013,CCC,ACCOUNTANCY,14.29
1082014,CCC,ACCOUNTANCY,22.22
16102014,CCC,ACCOUNTANCY,8.82
21052015,CCC,ACCOUNTANCY,40
16102015,CCC,ACCOUNTANCY,19.51
23052016,CCC,ACCOUNTANCY,50
20102016,CCC,ACCOUNTANCY,28.57
29052017,CCC,ACCOUNTANCY,19.35
2112017,CCC,ACCOUNTANCY,25.58
28052018,CCC,ACCOUNTANCY,9.38
23102018,CCC,ACCOUNTANCY,10
27052019,CCC,ACCOUNTANCY,7.14
21102019,CCC,ACCOUNTANCY,1.35
29122021,CCC,ACCOUNTANCY,33.33
1062022,CCC,ACCOUNTANCY,50
