Time Date,School,Course,Passing Rate
27082010,CDC,NURSING,46.98
19022011,CDC,NURSING,29.63
20082011,CDC,NURSING,54.84
16022012,CDC,NURSING,23.81
23082012,CDC,NURSING,49.33
30012013,CDC,NURSING,33.33
8072013,CDC,NURSING,51.52
15012014,CDC,NURSING,36.11
27062014,CDC,NURSING,50
24012015,CDC,NURSING,54.17
23062015,CDC,NURSING,30.77
8012016,CDC,NURSING,20
17062016,CDC,NURSING,64.71
14122016,CDC,NURSING,36.36
16062017,CDC,NURSING,30
12122017,CDC,NURSING,55.56
19062018,CDC,NURSING,22.22
7122018,CDC,NURSING,61.54
21062019,CDC,NURSING,36.36
6122019,CDC,NURSING,70.83
16072021,CDC,NURSING,50
10122021,CDC,NURSING,50
10062022,CDC,NURSING,85.71
