Time Date,School,Course,Passing rate
21052010,LCBA,EED,14.55
16112010,LCBA,EED,8.93
13052011,LCBA,EED,16
25092011,LCBA,EED,0
11032012,LCBA,EED,53.85
30092012,LCBA,EED,46.97
10032013,LCBA,EED,32.65
29092013,LCBA,EED,28.57
26012014,LCBA,EED,21.21
17082014,LCBA,EED,23.08
29032015,LCBA,EED,13.79
27092015,LCBA,EED,20
20032016,LCBA,EED,31.58
25092016,LCBA,EED,23.4
22052017,LCBA,EED,6.52
24092017,LCBA,EED,25.58
25032018,LCBA,EED,17.24
30092018,LCBA,EED,15
24032019,LCBA,EED,19.35
29092019,LCBA,EED,22.58
29112021,LCBA,EED,100
29042022,LCBA,EED,45.45
