Time Date,School,Course,Passing rate
16112010,LCBA,SED,17.91
13052011,LCBA,SED,23.4
25092011,LCBA,SED,17.86
11032012,LCBA,SED,10.53
30092012,LCBA,SED,38.78
10032013,LCBA,SED,40
29092013,LCBA,SED,38.96
26012014,LCBA,SED,23.81
17082014,LCBA,SED,37.04
29032015,LCBA,SED,27.27
27092015,LCBA,SED,31.58
20032016,LCBA,SED,25
25092016,LCBA,SED,26.23
22052017,LCBA,SED,17.19
24092017,LCBA,SED,39.62
25032018,LCBA,SED,28.89
30092018,LCBA,SED,54.72
24032019,LCBA,SED,42.86
29092019,LCBA,SED,32.14
29112021,LCBA,SED,80
11032022,LCBA,SED,100
29042022,LCBA,SED,80
