Time Date,School,Course,Passing rate
25052010,LCBA,ACCOUNTANCY,22.22
18102010,LCBA,ACCOUNTANCY,7.14
24052011,LCBA,ACCOUNTANCY,14.29
17102011,LCBA,ACCOUNTANCY,31.25
22052012,LCBA,ACCOUNTANCY,11.11
15102012,LCBA,ACCOUNTANCY,20
28052013,LCBA,ACCOUNTANCY,14.29
21102013,LCBA,ACCOUNTANCY,16.13
1082014,LCBA,ACCOUNTANCY,18.18
16102014,LCBA,ACCOUNTANCY,0
21052015,LCBA,ACCOUNTANCY,20
16102015,LCBA,ACCOUNTANCY,16.67
23052016,LCBA,ACCOUNTANCY,31.25
20102016,LCBA,ACCOUNTANCY,11.32
29052017,LCBA,ACCOUNTANCY,19.35
2112017,LCBA,ACCOUNTANCY,11.86
28052018,LCBA,ACCOUNTANCY,9.09
23102018,LCBA,ACCOUNTANCY,4.17
27052019,LCBA,ACCOUNTANCY,10.53
21102019,LCBA,ACCOUNTANCY,8.57
29122021,LCBA,ACCOUNTANCY,0
1062022,LCBA,ACCOUNTANCY,16.67
