Time Date,School,Course,Passing Rate
25052010,LETRAN,ACCOUNTANCY,41.67
18102010,LETRAN,ACCOUNTANCY,40
24052011,LETRAN,ACCOUNTANCY,20
17102011,LETRAN,ACCOUNTANCY,33.33
22052012,LETRAN,ACCOUNTANCY,50
15102012,LETRAN,ACCOUNTANCY,50
28052013,LETRAN,ACCOUNTANCY,8.33
21102013,LETRAN,ACCOUNTANCY,18.87
1082014,LETRAN,ACCOUNTANCY,15.79
16102014,LETRAN,ACCOUNTANCY,16.39
21052015,LETRAN,ACCOUNTANCY,25
16102015,LETRAN,ACCOUNTANCY,5.63
23052016,LETRAN,ACCOUNTANCY,38.89
20102016,LETRAN,ACCOUNTANCY,19.51
29052017,LETRAN,ACCOUNTANCY,45.45
2112017,LETRAN,ACCOUNTANCY,20.34
28052018,LETRAN,ACCOUNTANCY,12
23102018,LETRAN,ACCOUNTANCY,11.76
27052019,LETRAN,ACCOUNTANCY,9.52
21102019,LETRAN,ACCOUNTANCY,2.63
29122021,LETRAN,ACCOUNTANCY,0
1062022,LETRAN,ACCOUNTANCY,33.33
