Time Date,School,Course,Passing Rate
21052010,LETRAN,EED,0
16112010,LETRAN,EED,50
13052011,LETRAN,EED,0
25092011,LETRAN,EED,28.57
11032012,LETRAN,EED,100
30092012,LETRAN,EED,50
10032013,LETRAN,EED,0
29092013,LETRAN,EED,30
26012014,LETRAN,EED,60
17082014,LETRAN,EED,54.55
29032015,LETRAN,EED,50
27092015,LETRAN,EED,75
20032016,LETRAN,EED,0
25092016,LETRAN,EED,33.33
22052017,LETRAN,EED,33.33
24092017,LETRAN,EED,50
25032018,LETRAN,EED,0
30092018,LETRAN,EED,66.67
24032019,LETRAN,EED,0
29092019,LETRAN,EED,66.67
