Time Date,School,Course,Passing Rate
15042010,LETRAN,ELECTRONICS,75
2122010,LETRAN,ELECTRONICS,27.08
14042011,LETRAN,ELECTRONICS,30
22122011,LETRAN,ELECTRONICS,25
17042012,LETRAN,ELECTRONICS,42.86
24102012,LETRAN,ELECTRONICS,61.54
19042013,LETRAN,ELECTRONICS,33.33
18122013,LETRAN,ELECTRONICS,10.34
7032014,LETRAN,ELECTRONICS,33.33
2102014,LETRAN,ELECTRONICS,2.44
17042015,LETRAN,ELECTRONICS,83.33
29102015,LETRAN,ELECTRONICS,76.92
8042016,LETRAN,ELECTRONICS,25
21102016,LETRAN,ELECTRONICS,57.14
7042017,LETRAN,ELECTRONICS,50
27102017,LETRAN,ELECTRONICS,100
12042018,LETRAN,ELECTRONICS,80
26102018,LETRAN,ELECTRONICS,86.96
11042019,LETRAN,ELECTRONICS,26.32
25102019,LETRAN,ELECTRONICS,42.11
4112021,LETRAN,ELECTRONICS,57.89
28042022,LETRAN,ELECTRONICS,40
4102022,LETRAN,ELECTRONICS,0
