Time Date,School,Course,Passing Rate
29032010,LETRAN,MECHANICAL,48.33
13092010,LETRAN,MECHANICAL,23.53
21032011,LETRAN,MECHANICAL,50
4102011,LETRAN,MECHANICAL,73.68
19032012,LETRAN,MECHANICAL,65
2102012,LETRAN,MECHANICAL,35.71
26032013,LETRAN,MECHANICAL,50
25092013,LETRAN,MECHANICAL,0
25032014,LETRAN,MECHANICAL,63.49
10102014,LETRAN,MECHANICAL,27.78
9102015,LETRAN,MECHANICAL,28.13
11032015,LETRAN,MECHANICAL,42.11
7102016,LETRAN,MECHANICAL,30.56
5042016,LETRAN,MECHANICAL,63.89
22032017,LETRAN,MECHANICAL,37.04
3102017,LETRAN,MECHANICAL,64.71
2032018,LETRAN,MECHANICAL,18.18
31082018,LETRAN,MECHANICAL,41.94
28022019,LETRAN,MECHANICAL,53.13
31082019,LETRAN,MECHANICAL,68
27022020,LETRAN,MECHANICAL,20.34
24082021,LETRAN,MECHANICAL,33.33
7032022,LETRAN,MECHANICAL,37.5
