Time Date,School,Course,Passing Rate
27082010,LETRAN,NURSING,43.22
19022011,LETRAN,NURSING,45
20082011,LETRAN,NURSING,51.89
16022012,LETRAN,NURSING,28.72
23082012,LETRAN,NURSING,46.24
30012013,LETRAN,NURSING,25.49
8072013,LETRAN,NURSING,45.45
15012014,LETRAN,NURSING,35.71
27062014,LETRAN,NURSING,53.57
24012015,LETRAN,NURSING,42.86
23062015,LETRAN,NURSING,78.95
8012016,LETRAN,NURSING,50
17062016,LETRAN,NURSING,71.43
14122016,LETRAN,NURSING,25
16062017,LETRAN,NURSING,0
12122017,LETRAN,NURSING,50
19062018,LETRAN,NURSING,25
7122018,LETRAN,NURSING,75
21062019,LETRAN,NURSING,66.67
6122019,LETRAN,NURSING,50
16072021,LETRAN,NURSING,75
10122021,LETRAN,NURSING,75
10062022,LETRAN,NURSING,100
