Time Date,School,Course,Passing Rate
21052010,LETRAN,SED,60
16112010,LETRAN,SED,35.71
13052011,LETRAN,SED,20
25092011,LETRAN,SED,46.15
11032012,LETRAN,SED,20
30092012,LETRAN,SED,60
10032013,LETRAN,SED,100
29092013,LETRAN,SED,56.25
26012014,LETRAN,SED,37.5
17082014,LETRAN,SED,70.59
29032015,LETRAN,SED,55.56
27092015,LETRAN,SED,50
20032016,LETRAN,SED,58.33
25092016,LETRAN,SED,61.54
22052017,LETRAN,SED,50
24092017,LETRAN,SED,81.82
25032018,LETRAN,SED,55.56
30092018,LETRAN,SED,80
24032019,LETRAN,SED,35.29
29092019,LETRAN,SED,68.97
29112021,LETRAN,SED,100
29042022,LETRAN,SED,100
