Time Date,School,Course,Passing rate
1062010,LPU,ELECTRICAL,50
17092010,LPU,ELECTRICAL,20
27042011,LPU,ELECTRICAL,50
14092011,LPU,ELECTRICAL,60
26042012,LPU,ELECTRICAL,66.67
13092012,LPU,ELECTRICAL,80
13092013,LPU,ELECTRICAL,44.44
28022014,LPU,ELECTRICAL,100
11092014,LPU,ELECTRICAL,52.63
30042015,LPU,ELECTRICAL,83.33
10092015,LPU,ELECTRICAL,0
12042016,LPU,ELECTRICAL,90
4092016,LPU,ELECTRICAL,33.33
25042017,LPU,ELECTRICAL,100
7092017,LPU,ELECTRICAL,0
24042018,LPU,ELECTRICAL,86.67
24042019,LPU,ELECTRICAL,80
6092019,LPU,ELECTRICAL,91.67
16092021,LPU,ELECTRICAL,66.67
5052022,LPU,ELECTRICAL,66.67
