Time Date,School,Course,Passing rate
15042010,LPU,ELECTRONICS,28.57
2122010,LPU,ELECTRONICS,8.57
14042011,LPU,ELECTRONICS,55.56
22122011,LPU,ELECTRONICS,42.31
17042012,LPU,ELECTRONICS,53.85
24102012,LPU,ELECTRONICS,37.5
19042013,LPU,ELECTRONICS,31.25
18122013,LPU,ELECTRONICS,27.27
7032014,LPU,ELECTRONICS,46.67
2102014,LPU,ELECTRONICS,37.93
17042015,LPU,ELECTRONICS,33.33
29102015,LPU,ELECTRONICS,15.79
8042016,LPU,ELECTRONICS,50
21102016,LPU,ELECTRONICS,70
7042017,LPU,ELECTRONICS,60
27102017,LPU,ELECTRONICS,48.48
12042018,LPU,ELECTRONICS,41.67
26102018,LPU,ELECTRONICS,41.67
11042019,LPU,ELECTRONICS,83.33
25102019,LPU,ELECTRONICS,91.67
2032020,LPU,ELECTRONICS,69.23
4112021,LPU,ELECTRONICS,0
28042022,LPU,ELECTRONICS,100
