Time Date,School,Course,Passing rate
20082011,LPU,NURSING,71.43
16022012,LPU,NURSING,100
23082012,LPU,NURSING,16.67
30012013,LPU,NURSING,41.67
8072013,LPU,NURSING,25
15012014,LPU,NURSING,25
27062014,LPU,NURSING,33.33
24012015,LPU,NURSING,50
23062015,LPU,NURSING,50
8012016,LPU,NURSING,25
17062016,LPU,NURSING,75
14122016,LPU,NURSING,50
16062017,LPU,NURSING,0
12122017,LPU,NURSING,25
19062018,LPU,NURSING,0
7122018,LPU,NURSING,14.29
21062019,LPU,NURSING,16.67
6122019,LPU,NURSING,30
16072021,LPU,NURSING,75
10122021,LPU,NURSING,20
10062022,LPU,NURSING,55.56
