Time Date,School,Course,Passing rate
10102009,LPU,ACCOUNTANCY,22.22
18102010,LPU,ACCOUNTANCY,55.56
24052011,LPU,ACCOUNTANCY,33.33
17102011,LPU,ACCOUNTANCY,87.5
22052012,LPU,ACCOUNTANCY,25
15102012,LPU,ACCOUNTANCY,84.62
28052013,LPU,ACCOUNTANCY,0
21102013,LPU,ACCOUNTANCY,63.64
1082014,LPU,ACCOUNTANCY,33.33
16102014,LPU,ACCOUNTANCY,83.33
21052015,LPU,ACCOUNTANCY,0
16102015,LPU,ACCOUNTANCY,52.94
23052016,LPU,ACCOUNTANCY,100
20102016,LPU,ACCOUNTANCY,50
29052017,LPU,ACCOUNTANCY,70.59
2112017,LPU,ACCOUNTANCY,82.35
28052018,LPU,ACCOUNTANCY,28.57
23102018,LPU,ACCOUNTANCY,28
27052019,LPU,ACCOUNTANCY,41.18
21102019,LPU,ACCOUNTANCY,18.75
29122021,LPU,ACCOUNTANCY,0
1062022,LPU,ACCOUNTANCY,0
