Time Date,School,Course,Passing Rate
20042010,PERP,CRIM,16.67
26042011,PERP,CRIM,0
11112011,PERP,CRIM,57.89
12042012,PERP,CRIM,22.22
16102012,PERP,CRIM,36.17
23042013,PERP,CRIM,29.17
21112013,PERP,CRIM,44.44
23042014,PERP,CRIM,23.33
26112014,PERP,CRIM,36
28042015,PERP,CRIM,25.81
26112015,PERP,CRIM,17.5
17052016,PERP,CRIM,18.18
7122016,PERP,CRIM,25.53
30062017,PERP,CRIM,31.82
12012018,PERP,CRIM,51.28
29062018,PERP,CRIM,14.29
12012019,PERP,CRIM,39.13
2072019,PERP,CRIM,50
8012020,PERP,CRIM,40
28012022,PERP,CRIM,50
