Time Date,School,Course,Passing Rate
1062010,PERP,ELECTRICAL,25
17092010,PERP,ELECTRICAL,0
27042011,PERP,ELECTRICAL,50
26042012,PERP,ELECTRICAL,100
13092012,PERP,ELECTRICAL,50
28022014,PERP,ELECTRICAL,0
11092014,PERP,ELECTRICAL,75
30042015,PERP,ELECTRICAL,66.67
10092015,PERP,ELECTRICAL,100
12042016,PERP,ELECTRICAL,83.33
4092016,PERP,ELECTRICAL,50
25042017,PERP,ELECTRICAL,0
7092017,PERP,ELECTRICAL,0
24042018,PERP,ELECTRICAL,50
6092018,PERP,ELECTRICAL,0
24042019,PERP,ELECTRICAL,0
6092019,PERP,ELECTRICAL,30
16092021,PERP,ELECTRICAL,100
5052022,PERP,ELECTRICAL,66.67
