Time Date,School,Course,Passing Rate
15042010,PERP,ELECTRONICS,0
2122010,PERP,ELECTRONICS,10
22122011,PERP,ELECTRONICS,16.67
17042012,PERP,ELECTRONICS,66.67
24102012,PERP,ELECTRONICS,25
19042013,PERP,ELECTRONICS,25
18122013,PERP,ELECTRONICS,0
7032014,PERP,ELECTRONICS,0
2102014,PERP,ELECTRONICS,0
29102015,PERP,ELECTRONICS,0
8042016,PERP,ELECTRONICS,0
21102016,PERP,ELECTRONICS,0
7042017,PERP,ELECTRONICS,100
27102017,PERP,ELECTRONICS,40
12042018,PERP,ELECTRONICS,0
26102018,PERP,ELECTRONICS,20
11042019,PERP,ELECTRONICS,25
25102019,PERP,ELECTRONICS,8.33
4112021,PERP,ELECTRONICS,30
28042022,PERP,ELECTRONICS,0
4102022,PERP,ELECTRONICS,0
