Time Date,School,Course,Passing Rate
1062010,PERP,MECHANICAL,100
17092010,PERP,MECHANICAL,60
27042011,PERP,MECHANICAL,0
14092011,PERP,MECHANICAL,66.67
26042012,PERP,MECHANICAL,53.85
26042013,PERP,MECHANICAL,60
13092013,PERP,MECHANICAL,100
28022014,PERP,MECHANICAL,100
11092014,PERP,MECHANICAL,0
30042015,PERP,MECHANICAL,35.71
12042016,PERP,MECHANICAL,0
4092016,PERP,MECHANICAL,57.14
25042017,PERP,MECHANICAL,50
7092017,PERP,MECHANICAL,30.77
24042018,PERP,MECHANICAL,14.29
6092018,PERP,MECHANICAL,45
24042019,PERP,MECHANICAL,12.5
6092019,PERP,MECHANICAL,35.14
27022020,PERP,MECHANICAL,18.75
16092021,PERP,MECHANICAL,50
5052022,PERP,MECHANICAL,62.5
