Time Date,School,Course,Passing rate
10102009,PERPS,ACCOUNTANCY,33.33
18102010,PERPS,ACCOUNTANCY,0
24052011,PERPS,ACCOUNTANCY,0
17102011,PERPS,ACCOUNTANCY,0
22052012,PERPS,ACCOUNTANCY,100
15102012,PERPS,ACCOUNTANCY,0
28052013,PERPS,ACCOUNTANCY,0
21102013,PERPS,ACCOUNTANCY,0
1082014,PERPS,ACCOUNTANCY,0
16102014,PERPS,ACCOUNTANCY,0
21052015,PERPS,ACCOUNTANCY,0
16102015,PERPS,ACCOUNTANCY,10
23052016,PERPS,ACCOUNTANCY,25
20102016,PERPS,ACCOUNTANCY,9.09
29052017,PERPS,ACCOUNTANCY,0
2112017,PERPS,ACCOUNTANCY,0
23102018,PERPS,ACCOUNTANCY,0
27052019,PERPS,ACCOUNTANCY,25
21102019,PERPS,ACCOUNTANCY,25
29122021,PERPS,ACCOUNTANCY,0
1062022,PERPS,ACCOUNTANCY,0
