Time Date,School,Course,Passing rate
21052010,SJC,SED,71.43
16112010,SJC,SED,37.5
13052011,SJC,SED,71.43
25092011,SJC,SED,20
11032012,SJC,SED,20
30092012,SJC,SED,29.41
10032013,SJC,SED,50
29092013,SJC,SED,31.58
26012014,SJC,SED,12.5
17082014,SJC,SED,21.74
29032015,SJC,SED,15.38
27092015,SJC,SED,38.89
20032016,SJC,SED,62.5
25092016,SJC,SED,30
22052017,SJC,SED,10
24092017,SJC,SED,47.06
25032018,SJC,SED,40
30092018,SJC,SED,42.11
24032019,SJC,SED,16.67
29092019,SJC,SED,40
29112021,SJC,SED,100
29042022,SJC,SED,100
