Time Date,School,Course,Passing rate
18102010,SJC,ACCOUNTANCY,50
24052011,SJC,ACCOUNTANCY,0
17102011,SJC,ACCOUNTANCY,0
22052012,SJC,ACCOUNTANCY,0
15102012,SJC,ACCOUNTANCY,8.33
28052013,SJC,ACCOUNTANCY,0
21102013,SJC,ACCOUNTANCY,7.69
1082014,SJC,ACCOUNTANCY,0
16102014,SJC,ACCOUNTANCY,11.11
21052015,SJC,ACCOUNTANCY,0
16102015,SJC,ACCOUNTANCY,0
23052016,SJC,ACCOUNTANCY,33.33
20102016,SJC,ACCOUNTANCY,0
29052017,SJC,ACCOUNTANCY,0
2112017,SJC,ACCOUNTANCY,0
28052018,SJC,ACCOUNTANCY,0
23102018,SJC,ACCOUNTANCY,0
27052019,SJC,ACCOUNTANCY,0
21102019,SJC,ACCOUNTANCY,0
1062022,SJC,ACCOUNTANCY,0
