Time Date,School,Course,Passing Rate
27082010,SJP,PSYCH,38.98
19022011,SJP,PSYCH,29.09
20082011,SJP,PSYCH,30.95
16022012,SJP,PSYCH,17.14
23082012,SJP,PSYCH,34.78
30012013,SJP,PSYCH,36
8072013,SJP,PSYCH,20
15012014,SJP,PSYCH,31.82
27062014,SJP,PSYCH,50
24012015,SJP,PSYCH,54.55
23062015,SJP,PSYCH,37.5
8012016,SJP,PSYCH,58.33
17062016,SJP,PSYCH,71.43
14122016,SJP,PSYCH,27.27
16062017,SJP,PSYCH,25
12122017,SJP,PSYCH,69.23
19062018,SJP,PSYCH,20
7122018,SJP,PSYCH,36.36
21062019,SJP,PSYCH,30
6122019,SJP,PSYCH,56.25
16072021,SJP,PSYCH,75
10122021,SJP,PSYCH,56.25
10062022,SJP,PSYCH,83.33
