SCHOOL,% PASSED
"ABE INTERNATIONAL COLLEGE OF BUSINESS
& ACCOUNTANCY- MALOLOS",0.00%
"ABE INTERNATIONAL COLLEGE OF BUSINESS
& ACCOUNTANCY- URDANETA",0.00%
"ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS-LAS
PIÑAS",0.00%
"ABE INTERNATIONAL COLLEGE OF BUSINESS
& ECONOMICS-RECTO",0.00%
"ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS-
TACLOBAN",50.00%
ADAMSON UNIVERSITY,26.09%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,55.56%
AGUSAN COLLEGES,0.00%
AGUSAN INSTITUTE OF TECHNOLOGY,0.00%
AKLAN CATHOLIC COLLEGE-KALIBO,12.50%
AKLAN COLLEGE,0.00%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,20.00%
ALDERSGATE COLLEGE,0.00%
"AMA COMPUTER COLLEGE DASMARINAS, CAVITE, INC.",0.00%
"AMA COMPUTER COLLEGE-BINAN,
LAGUNA",0.00%
AMA COMPUTER COLLEGE-CEBU CITY,0.00%
AMA COMPUTER COLLEGE-MAKATI CITY,0.00%
"AMA COMPUTER COLLEGE-STA. CRUZ,
LAGUNA",0.00%
AMA COMPUTER COLLEGE-TACLOBAN,0.00%
"AMA COMPUTER UNIVERSITY-PROJ. 8, QC",25.00%
ANDRES BONIFACIO COLLEGE,21.43%
ANDRES SORIANO COLLEGE,0.00%
ANGELES UNIVERSITY FOUNDATION,66.67%
AQUINAS UNIVERSITY,0.00%
ARAULLO UNIVERSITY,40.00%
ARELLANO UNIVERSITY- MANILA,16.67%
ASIA PACIFIC COLLEGE,33.33%
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,0.00%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,16.67%
ASSUMPTION COLLEGE OF NABUNTURAN,0.00%
ATENEO DE DAVAO UNIVERSITY,47.06%
ATENEO DE NAGA UNIVERSITY,51.72%
ATENEO DE ZAMBOANGA,0.00%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),18.18%
"BATAAN PENINSULA STATE UNIVERSITY- BALANGA (for.BATAAN
P.S)",25.00%
BATAAN POLYTECHNIC STATE COLLEGE-ORANI,0.00%
BATANGAS EASTERN ACADEMY,0.00%
"BATANGAS STATE
UNIVERSITY-ARASOF- NASUGBU",0.00%
BATANGAS STATE UNIVERSITY-BATANGAS CITY (PBMIT),80.00%
BICOL UNIVERISTY- DARAGA,50.00%
BICOL UNIVERSITY- LEGAZPI,0.00%
BINALBAGAN CATHOLIC COLLEGE,36.36%
BOHOL INSTITUTE OF TECHNOLOGY-JAGNA,0.00%
"BOHOL INSTITUTE OF TECHNOLOGY-
TAGBILARAN CITY",0.00%
BOHOL NORTHERN STAR COLLEGE,0.00%
BUKIDNON STATE COLLEGE-MALAYBALAY,16.67%
CAGAYAN DE ORO COLLEGE,12.50%
CAGAYAN STATE UNIVERSITY-CARITAN,0.00%
"CAGAYAN STATE
UNIVERSITY- TUGUEGARAO",100.00%
CAMARINES NORTE STATE COLLEGE-DAET,10.00%
CANOSSA COLLEGE,0.00%
"CAPITOL UNIVERSITY
(for.CAGAYAN CAPITOL COLL.)",16.67%
CARLOS A. HILADO MEMORIAL STATE COLLEGE-BACOLOD,25.00%
CATANDUANES COLLEGE,0.00%
CATANDUANES STATE UNIVERSITY - VIRAC,16.67%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),36.36%
CEBU INSTITUTE OF TECHNOLOGY,44.83%
CEBU ROOSEVELT MEMORIAL COLLEGES,33.33%
CENTRAL COLLEGES OF THE PHILIPPINES,25.00%
CENTRAL LUZON STATE UNIVERSITY,38.46%
CENTRAL MINDANAO UNIVERSITY,66.67%
CENTRAL PHILIPPINE ADVENTIST COLLEGE,16.67%
CENTRAL PHILIPPINE UNIVERSITY,26.09%
CENTRO ESCOLAR UNIVERSITY-MALOLOS,0.00%
CENTRO ESCOLAR UNIVERSITY-MANILA,28.57%
CHIANG KAI SHEK COLLEGE,25.00%
"CHRIST THE KING
COLLEGE-GINGOOG CITY",11.11%
CHRIST THE KING OF CALBAYOG,0.00%
CITY COLLEGE OF CALAMBA,25.00%
"CITY OF MALABON UNIVERSITY (for.MALABON COM.
COLL.)",19.05%
"COLEGIO DE DAGUPAN
(for.COMPUTRONIX COLL)",26.09%
COLEGIO DE LA PURISIMA CONCEPCION,33.33%
COLEGIO DE SAN JOSE,0.00%
COLEGIO DE SAN JUAN DE LETRAN-ABUCAY,0.00%
