SCHOOL,% PASSED
ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCY-TACLOBAN,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY- MALOLOS,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY- URDANETA,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- CAINTA,10.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS-LAS PIÑAS,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- TACLOBAN,25.00%
"ACLC COLLEGE OF CALAPAN - CALAPAN,ORIENTAL MINDORO",0.00%
"ACLC COLLEGE OF MANDAUE CITY, INC. - MANDAUE CITY",0.00%
ADAMSON UNIVERSITY,9.38%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,0.00%
AGUSAN COLLEGES,0.00%
AGUSAN INSTITUTE OF TECHNOLOGY,0.00%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,20.00%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,30.00%
ALDERSGATE COLLEGE,5.45%
AMA COMPUTER COLLEGE- BAGUIO CITY,0.00%
"AMA COMPUTER COLLEGE-BINAN, LAGUNA",0.00%
AMA COMPUTER COLLEGE- CALAMBA,0.00%
AMA COMPUTER COLLEGE-EAST RIZAL,0.00%
AMA COMPUTER COLLEGE- LUCENA CITY,0.00%
AMA COMPUTER COLLEGE- MAKATI CITY,0.00%
"AMA COMPUTER COLLEGE-STA. CRUZ, LAGUNA",8.33%
AMA COMPUTER COLLEGE- TACLOBAN,0.00%
"AMA COMPUTER UNIVERSITY- PROJ. 8, QC",0.00%
ANDRES BONIFACIO COLLEGE,34.29%
ANDRES SORIANO COLLEGE,0.00%
ANGELES UNIVERSITY FOUNDATION,69.57%
AQUINAS UNIVERSITY,17.31%
ARAULLO UNIVERSITY,71.88%
ARELLANO UNIVERSITY-MANILA,23.68%
ASIA PACIFIC COLLEGE,54.55%
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,4.76%
ASIACAREER COLLEGE FOUNDATION,66.67%
ASIAN COLLEGE OF SCIENCE & TECHNOLOGY-DUMAGUETE,10.00%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,11.11%
ASSUMPTION COLLEGE OF NABUNTURAN,6.67%
ATENEO DE DAVAO UNIVERSITY,60.71%
ATENEO DE NAGA UNIVERSITY,71.23%
ATENEO DE ZAMBOANGA,87.14%
BAGUIO CENTRAL UNIVERSITY,0.00%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),53.01%
"BALIWAG POLYTECHNIC COLLEGE-BALIUAG, BULACAN",26.32%
"BATAAN PENINSULA STATE U- DINALUPIHAN-(FOR BATAAN SC,TC)",33.33%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),15.38%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,21.85%
BATANGAS EASTERN ACADEMY,0.00%
BATANGAS STATE UNIVERSITY- ARASOF-NASUGBU,50.00%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),42.67%
BICOL UNIVERSITY-DARAGA,84.93%
BINALBAGAN CATHOLIC COLLEGE,33.33%
BOHOL INSTITUTE OF TECHNOLOGY-JAGNA,0.00%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,33.33%
BOHOL NORTHERN STAR COLLEGE,0.00%
BRENTWOOD COLLEGE OF ASIA INTERNATIONAL SCHOOL,0.00%
"BROKENSHIRE COLLEGE- SOCSKSARGEN, INC",14.29%
BUKIDNON STATE COLLEGE- MALAYBALAY,29.41%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,51.22%
CAGAYAN DE ORO COLLEGE,57.14%
CAGAYAN STATE UNIVERSITY- ANDREWS CAMPUS(TUG),84.21%
CAGAYAN STATE UNIVERSITY- CARITAN,90.48%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,100.00%
"CAGAYAN VALLEY COMPUTER & INFORMATION TECHNOLOGY COLLEGE,INC",8.00%
CALAMBA DOCTORS' COLLEGE(FOR. CDH ALLIED MEDICAL COLLEGES),16.67%
"CALAYAN EDUCATIONAL FOUNDATION INC.(for.
MED.CTR.LUCENA)",18.18%
CAMARINES NORTE STATE COLLEGE-DAET,33.33%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),0.00%
CARLOS A. HILADO MEMORIAL STATE COLLEGE-BACOLOD,31.58%
CATANDUANES COLLEGE,0.00%
CATANDUANES STATE UNIVERSITY - VIRAC,43.75%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),70.45%
CEBU INSTITUTE OF TECHNOLOGY,56.52%
CEBU ROOSEVELT MEMORIAL COLLEGES,25.00%
CENTRAL COLLEGES OF THE PHILIPPINES,50.00%
CENTRAL LUZON DOCTOR'S HOSPITAL EDUCATIONAL INSTITUTION,33.33%
CENTRAL LUZON STATE UNIVERSITY,60.34%
CENTRAL MINDANAO UNIVERSITY,82.35%
CENTRAL PHILIPPINE UNIVERSITY,86.67%
CENTRO ESCOLAR UNIVERSITY- MALOLOS,0.00%
CENTRO ESCOLAR UNIVERSITY- MANILA,10.91%
CHIANG KAI SHEK COLLEGE,52.50%
CHRIST THE KING COLLEGE- GINGOOG CITY,19.23%
CHRIST THE KING OF CALBAYOG,10.71%
CHRISTIAN COLLEGES OF SOUTHEAST ASIA,25.00%
CITY COLLEGE OF CALAMBA,28.57%
CITY OF MALABON UNIVERSITY (for.MALABON COM. COLL.),6.94%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),51.35%
COLEGIO DE LA PURISIMA CONCEPCION,76.47%
COLEGIO DE SAN GABRIEL ARCANGEL,100.00%
COLEGIO DE SAN JUAN DE LETRAN-ABUCAY,18.18%
COLEGIO DE SAN JUAN DE LETRAN-CALAMBA,19.51%
COLEGIO DE SAN JUAN DE LETRAN-INTRAMUROS,37.04%
"COLEGIO DE SEBASTIAN- PAMPANGA, INC - PAMPANGA",16.67%
COLEGIO SAN AGUSTIN-BACOLOD CITY,25.00%
COLLEGE OF MARY IMMACULATE,7.69%
COLLEGE OF SAINT LAWRENCE,0.00%
COLLEGE OF ST. JOHN-ROXAS,0.00%
COLLEGE OF THE HOLY SPIRIT OF MANILA,33.33%
COLLEGE OF THE IMMACULATE CONCEPTION-CABANATUAN,16.67%
COLUMBAN COLLEGE-OLONGAPO CITY,25.58%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),33.33%
CORDILLERA CAREER DEVELOPMENT COLLEGE,20.34%
DANIEL B. PENA MEMORIAL COLLEGE FOUNDATION,0.00%
DANSALAN POLYTECHNIC COLLEGE,0.00%
DE LA SALLE UNIVERSITY- DASMARIÑAS,88.57%
DE LA SALLE UNIVERSITY-LIPA,57.26%
DE LA SALLE UNIVERSITY-MANILA,88.66%
"DE LA SALLE-ARANETA UNIVERSITY,INC (GAUF)",7.69%
DEE HWA LIONG COLLEGE FOUNDATION,0.00%
DEVELOPMENT FOR ADVANCED TECHNOLOGY ACHIEVEMENT (DATA) COLL.,50.00%
"DIPOLOG MEDICAL CENTER COLLEGE FOUNDATION, INC",11.11%
"DIVINE MERCY COLLEGE FOUNDATION, INC",0.00%
DIVINE WORD COLLEGE OF BANGUED,36.00%
DIVINE WORD COLLEGE OF CALAPAN,90.32%
DIVINE WORD COLLEGE OF LAOAG,20.00%
DIVINE WORD COLLEGE OF LEGAZPI,23.66%
DIVINE WORD COLLEGE OF SAN JOSE,14.58%
DIVINE WORD COLLEGE OF VIGAN,9.09%
DR. FILEMON C. AGUILAR MEMORIAL COLLEGE,12.16%
DR. GLORIA D. LACSON COLLEGES,9.52%
"DR. YANGA'S COLLEGES, INC",15.56%
E. L. JOSON MEMORIAL COLLEGE,34.48%
EASTERN SAMAR STATE UNIVERSITY - BORONGAN,34.21%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-TANAUAN CAMPUS,40.00%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,74.07%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,36.36%
EMILIO AGUINALDO COLLEGE- MANILA,4.00%
FAR EASTERN COLLEGE - SILANG,30.43%
FAR EASTERN UNIVERSITY- MANILA,82.35%
FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),88.00%
FATIMA COLLEGE OF CAMIGUIN,42.86%
FELLOWSHIP BAPTIST COLLEGE,27.27%
FERNANDEZ COLLEGE OF ARTS & TECHNOLOGY,10.53%
FEU-FERN COLLEGE-QUEZON CITY,38.89%
FILAMER CHRISTIAN COLLEGE,27.27%
FIRST ASIA INSTITUTE OF TECHNOLOGY & HUMANITIES,50.00%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,0.00%
FOUNDATION UNIVERSITY,34.62%
GARCIA COLLEGE OF TECHNOLOGY,15.31%
GENERAL DE JESUS COLLEGE,72.73%
"GENERAL SANTOS ACADEMY, INC- SOUTH COTABATO",0.00%
"GENSANTOS FOUNDATION COLLEGE, INC.",41.77%
GLOBAL CITY INNOVATIVE COLLEGE,12.50%
GOLDEN HERITAGE POLYTECHNIC COLLEGE-CARMEN,0.00%
GOLDEN WEST COLLEGES,0.00%
GORDON COLLEGE (for.OLONGAPO CITY COLL.),40.91%
GRACE CHRISTIAN COLLEGE - QC,50.00%
GREAT PLEBEIAN COLLEGE,28.57%
GUAGUA NATIONAL COLLEGES,21.21%
HOLY ANGEL UNIVERSITY,78.08%
HOLY CROSS OF DAVAO COLLEGE,19.23%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),83.87%
HOLY TRINITY COLLEGE OF GENERAL SANTOS CITY,0.00%
HOLY TRINITY COLLEGE OF PUERTO PRINCESA,7.14%
"ICCT COLLEGES FOUNDATION,INC(INST.OF CREATIVE COMP TECH INC)",0.00%
IMMACULATE CONCEPTION ARCHDIOCESAN SCHOOL,0.00%
IMMACULATE CONCEPTION COLLEGE-BALAYAN,8.33%
IMUS INSTITUTE OF SCIENCE & TECHNOLOGY-(FOR IMUS INSTITUTE),57.14%
INSTITUTE OF BUSINESS SCIENCE & MEDICAL ARTS,0.00%
INTERNATIONAL SCHOOL OF ASIA & THE PACIFIC,6.90%
INTERWORLD COLLEGES FOUNDATION-PANIQUI (ICT),0.00%
ISABELA STATE UNIVERSITY- ECHAGUE,83.33%
ISABELO B. CALINGASAN MEMORIAL INSTITUTE,0.00%
JAMIATUL PHILIPPINE AL-ISLAMIA,0.00%
JOHN PAUL COLLEGE,0.00%
JOSE MARIA COLLEGE,16.67%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-DAPITAN,32.00%
JOSE RIZAL UNIVERSITY (for.JRC),35.00%
KABANKALAN CATHOLIC COLLEGE,0.00%
KALAYAAN COLLEGE,0.00%
KINGFISHER SCHOOL OF BUSINESS AND FINANCE,95.65%
"KING'S COLL. OF THE PHILIPPINES-BAMBANG INC.(ELC, INC)",7.14%
KING'S COLLEGE OF THE PHILIPPINES INC.- BENGUET (for E.L.C),5.56%
KOLEHIYO NG SUBIC,12.50%
KORBEL FOUNDATION COLLEGE- KORONADAL CITY,20.00%
LA CONSOLACION COLLEGE-DAET,0.00%
"LA CONSOLACION COLLEGE- LILOAN, CEBU CITY",0.00%
LA CONSOLACION COLLEGE- MANILA,17.14%
LA CONSOLACION COLLEGE- TANAUAN,20.00%
LA CONSOLACION UNIVERSITY PHILIPPINES(for. U.REGINA CARMELI),33.33%
LA SALLE COLLEGE-ANTIPOLO(LA SALLE SCHOOL),6.67%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION-LA SALLE),17.14%
LAGUNA COLLEGE,50.00%
LAGUNA COLLEGE OF BUSINESS & ARTS,11.32%
LAGUNA NORTHWESTERN COLLEGE,0.00%
LAGUNA STATE POLYTECHNIC UNIVERSITY-LOS BAÑOS,22.22%
LAGUNA STATE POLYTECHNIC UNIVERSITY-SINILOAN,3.45%
"LAGUNA UNIVERSITY-STA CRUZ, LAGUNA",13.04%
LAS PIÑAS COLLEGE,0.00%
LEON GUINTO MEMORIAL COLLEGE,0.00%
LEWIS COLLEGE,0.00%
LEYTE COLLEGES,0.00%
LICEO DE CAGAYAN UNIVERSITY,44.44%
LIMAY POLYTECHNIC COLLEGE,7.14%
LIPA CITY COLLEGES,25.00%
LORMA COLLEGE,66.67%
LOURDES COLLEGE,11.11%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,35.71%
LYCEUM NORTHWESTERN-F.T. DUQUE COLLEGE-URDANETA,0.00%
LYCEUM OF ALABANG (for. NCST),16.67%
LYCEUM OF APARRI,10.53%
LYCEUM OF CEBU- CEBU CITY,0.00%
LYCEUM OF NORTHERN LUZON,25.00%
"LYCEUM OF THE EAST -  AURORA, INC.",0.00%
"LYCEUM OF THE PHILIPPINES - GEN TRIAS, CAVITE",71.43%
"LYCEUM OF THE PHILIPPINES UNIVERSITY-BATANGAS,INC",64.00%
LYCEUM OF THE PHILIPPINES UNIVERSITY-MANILA,0.00%
LYCEUM OF THE PHILIPPINES- LAGUNA (for.LYCEUM INST.OF TECH),50.00%
"LYCEUM SUBIC BAY, INC.",0.00%
M. V. GALLEGO FOUNDATION COLLEGES,0.00%
MABINI COLLEGE-DAET,3.03%
MAGSAYSAY MEMORIAL COLLEGE OF ZAMBALES,0.00%
MALAYAN COLLEGES LAGUNA,30.77%
MALLIG PLAINS COLLEGES(for.W.ISABELA PC),16.67%
MANILA CENTRAL UNIVERSITY- CALOOCAN CITY,11.11%
"MANILA TYTANA COLLEGES, INC (for. MANILA DOCTORS COLL)",0.00%
MANUEL L. QUEZON UNIVERSITY,3.42%
MANUEL S. ENVERGA UNIV. FOUNDATION-CANDELARIA,23.81%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,35.56%
MAPUA INSTITUTE OF TECHNOLOGY-MAKATI,26.32%
MARIANO MARCOS STATE UNIVERSITY-BATAC,55.56%
"MARY THE QUEEN COLLEGE, INC",70.00%
MARYHILL COLLEGE,20.00%
MASBATE COLLEGES,28.57%
MASTERS TECHNOLOGICAL INSTITUTE OF MINDANAO,11.11%
MATER DEI COLLEGE-BOHOL,27.78%
METRO DAGUPAN COLLEGES,0.00%
MEYCAUAYAN COLLEGE,21.43%
MINDANAO STATE UNIVERSITY- GEN. SANTOS CITY,55.77%
MINDANAO STATE UNIVERSITY- ILIGAN INSTITUTE OF TECHNOLOGY,70.59%
MINDANAO STATE UNIVERSITY- MARAWI CITY,66.67%
MINDANAO STATE UNIVERSITY- NAAWAN,50.00%
"MIRIAM COLLEGE (for.MARYKNOLL COLL.FDTN,INC)",40.91%
MISAMIS INSTITUTE OF TECHNOLOGY,0.00%
MISAMIS UNIVERSITY-OZAMIS CITY,50.00%
MONDRIAAN AURA COLLEGE,21.43%
MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-BONTOC,2.70%
MOUNTAIN VIEW COLLEGE,0.00%
NATIONAL COLLEGE OF BUSINESS & ARTS-CUBAO,7.14%
NATIONAL COLLEGE OF BUSINESS & ARTS-FAIRVIEW,11.44%
NATIONAL COLLEGE OF BUSINESS & ARTS-RIZAL,22.58%
NATIONAL COLLEGE OF SCIENCE & TECHNOLOGY-DASMARINAS,4.76%
