"The performance of schools in the May 2019 Certified Public Accountant Licensure Examination in alphabetical order as per R.A. 8981 otherwise known as PRC Modernization Act of 2000 Section 7(m) ""To monitor the performance of schools in licensure examinations and publish the results thereof in a newspaper of national circulation"" is as follows:
MAY 2019 CERTIFIED PUBLIC ACCOUNTANT LICENSURE EXAMINATION PERFORMANCE OF SCHOOLS IN ALPHABETICAL ORDER",,,,,,,,,,,,,,,,,
SEQ.,SCHOOL,FIRST TIMERS,,,,,REPEATERS,,,,,OVERALL PERFORMANCE,,,,,
NO.,,,,,,,,,,,,,,,,,
,,PASSED,FAILED,COND,TOTAL,% PASSED,PASSE D,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,
1,ABE INTERNATIONAL COLL. OF,0,5,0,5,0.00%,0,8,0,8,,0,13,0,13,0.00%,
,BUS. & ACCOUNTANCY-TACLOBAN,,,,,,,,,,0.00%,,,,,,
2,ABE INTERNATIONAL COLLEGE,0,0,0,0,0.00%,0,,,2,,0,2,0,2,0.00%,
,OF BUSINESS & ACCOUNTANCY-,,,,,,,2,0,,0.00%,,,,,,
,URDANETA,,,,,,,,,,,,,,,,
3,ABE INTERNATIONAL COLLEGE,0,5,0,5,0.00%,1,,,5,20.00%,1,8,1,10,10.00%,
,OF BUSINESS & ECONOMICS-,,,,,,,3,1,,,,,,,,
,CAINTA,,,,,,,,,,,,,,,,
4,ABE INTERNATIONAL COLLEGE,0,6,0,6,0.00%,0,,,0,0.00%,0,6,0,6,0.00%,
,OF BUSINESS & ECONOMICS-LAS,,,,,,,0,0,,,,,,,,
,PIÑAS,,,,,,,,,,,,,,,,
5,ABE INTERNATIONAL COLLEGE,0,6,0,6,0.00%,0,,,2,,0,8,0,8,0.00%,
,OF BUSINESS & ECONOMICS-,,,,,,,2,0,,0.00%,,,,,,
,TACLOBAN,,,,,,,,,,,,,,,,
6,ACLC COLLEGE OF MANDAUE,0,3,0,3,0.00%,0,,,3,,0,6,0,6,0.00%,
,"CITY, INC. - MANDAUE CITY",,,,,,,3,0,,0.00%,,,,,,
7,ADAMSON UNIVERSITY,1,7,0,8,12.50%,8,36,1,45,17.78%,9,43,1,53,16.98%,
8,ADVENTIST UNIVERSITY OF THE,5,6,1,12,41.67%,1,,,7,14.29%,6,12,1,19,31.58%,
,PHILIPPINES,,,,,,,6,0,,,,,,,,
9,AKLAN CATHOLIC COLLEGE-(FOR,0,0,0,0,0.00%,0,,,3,,0,3,0,3,0.00%,
,AKLAN COLLEGE)-KALIBO,,,,,,,3,0,,0.00%,,,,,,
10,AKLAN STATE UNIVERSITY(AKLAN,0,5,0,5,0.00%,0,,,8,,0,13,0,13,0.00%,
,S.C.A.)-BANGA,,,,,,,8,0,,0.00%,,,,,,
11,ALDERSGATE COLLEGE,1,27,0,28,3.57%,2,31,0,33,6.06%,3,58,0,61,4.92%,
12,AMA COMPUTER COLLEGE-,0,9,0,9,0.00%,0,,,1,,0,10,0,10,0.00%,
,BAGUIO CITY,,,,,,,1,0,,0.00%,,,,,,
13,AMA COMPUTER COLLEGE-,0,0,0,0,0.00%,0,,,1,,0,1,0,1,0.00%,
,LUCENA CITY,,,,,,,1,0,,0.00%,,,,,,
14,AMA COMPUTER COLLEGE-,0,1,0,1,0.00%,1,,,3,,1,3,0,4,25.00%,
,MAKATI CITY,,,,,,,2,0,,33.33%,,,,,,
15,AMA COMPUTER COLLEGE-STA.,0,1,0,1,0.00%,1,,,3,,1,3,0,4,25.00%,
,"CRUZ, LAGUNA",,,,,,,2,0,,33.33%,,,,,,
16,AMA COMPUTER COLLEGE-,0,2,0,2,0.00%,0,,,1,,0,3,0,3,0.00%,
,TACLOBAN,,,,,,,1,0,,0.00%,,,,,,
17,AMA COMPUTER UNIVERSITY-,0,0,0,0,0.00%,0,,,1,,0,1,0,1,0.00%,
,"PROJ. 8, QC",,,,,,,1,0,,0.00%,,,,,,
18,ANDRES BONIFACIO COLLEGE,0,5,0,5,0.00%,2,13,0,15,13.33%,2,18,0,20,10.00%,
19,ANDRES SORIANO COLLEGE,0,1,0,1,0.00%,1,2,0,3,33.33%,1,3,0,4,25.00%,
20,ANGELES UNIVERSITY,1,3,0,4,25.00%,3,,,6,,4,6,0,10,40.00%,
,FOUNDATION,,,,,,,3,0,,50.00%,,,,,,
21,AQUINAS UNIVERSITY,0,1,0,1,0.00%,0,12,0,12,0.00%,0,13,0,13,0.00%,
22,ARAULLO UNIVERSITY,1,2,1,4,25.00%,1,7,1,9,11.11%,2,9,2,13,15.38%,
23,ARELLANO UNIVERSITY-MANILA,0,3,1,4,0.00%,0,18,0,18,0.00%,0,21,1,22,0.00%,
24,ASIA PACIFIC COLLEGE,2,3,1,6,33.33%,1,6,0,7,14.29%,3,9,1,13,23.08%,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SEQ.,SCHOOL,FIRST TIMERS,,,,,REPEATERS,,,,,OVERALL PERFORMANCE,,,,,
NO.,,,,,,,,,,,,,,,,,
,,PASSED,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,PASSED,FAILED,COND,TOTAL,% PASSED,
25,ASIA PACIFIC COLLEGE OF,0,9,0,9,0.00%,0,3,0,3,,0,12,0,12,0.00%,
,ADVANCED STUDIES,,,,,,,,,,0.00%,,,,,,
26,ASIACAREER COLLEGE,0,1,0,1,0.00%,0,,,0,,0,1,0,1,0.00%,
,FOUNDATION,,,,,,,0,0,,0.00%,,,,,,
