SCHOOL,% PASSED
ADAMSON UNIVERSITY,59.76%
AKLAN STATE UNIVERSITY-KALIBO,25.00%
AQUINAS UNIVERSITY,30.00%
ARAULLO UNIVERSITY,0.00%
ATENEO DE DAVAO UNIVERSITY,85.71%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),68.75%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,0.00%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),45.83%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,0.00%
BICOL UNIVERSITY-LEGAZPI,56.90%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,84.21%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,58.57%
CAGAYAN DE ORO COLLEGE,23.08%
CAMARINES SUR COLLEGE OF ARTS & TRADES,0.00%
CAMARINES SUR POLYTECHNIC COLLEGES(BISCAST)-NAGA,82.61%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,56.52%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),66.67%
CEBU INSTITUTE OF TECHNOLOGY,39.62%
CENTRAL COLLEGES OF THE PHILIPPINES,28.00%
COLUMBAN COLLEGE-OLONGAPO CITY,71.43%
DE LA SALLE UNIVERSITY- COLLEGE OF SAINT BENILDE,75.00%
DE LA SALLE UNIVERSITY- DASMARIÑAS,100.00%
DIVINE WORD COLLEGE OF CALAPAN,100.00%
DIVINE WORD COLLEGE OF LAOAG,63.64%
DON BOSCO TECHNICAL COLLEGE-MANDALUYONG,100.00%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,56.52%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,54.05%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,33.33%
FAR EASTERN UNIVERSITY- MANILA,53.96%
FEATI UNIVERSITY,33.33%
FOUNDATION UNIVERSITY,0.00%
HOLY ANGEL UNIVERSITY,70.97%
ISABELA STATE UNIVERSITY- ILAGAN,66.67%
LA CONSOLACION COLLEGE- BACOLOD CITY,60.87%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,57.14%
LYCEUM OF ILIGAN FOUNDATION,50.00%
MANUEL L. QUEZON UNIVERSITY,18.18%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,56.25%
MAPUA INSTITUTE OF TECHNOLOGY-MANILA,77.27%
MINDANAO POLYTECHNIC STATE COLLEGE (DMMMPSC),100.00%
MINDANAO UNIVERSITY OF SCIENCE & TECHNOLOGY-CDO,80.00%
MINDANAO UNIVERSITY OF SCIENCE AND TECHNOLOGY,100.00%
NATIONAL UNIVERSITY-MANILA,28.57%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,66.67%
NORTHWESTERN UNIVERSITY,50.00%
"NOTRE DAME OF DADIANGAS UNIVERSITY, INC",50.00%
NOTRE DAME OF MARBEL UNIVERSITY,0.00%
NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY- CABANATUAN),21.05%
PALAWAN STATE UNIVERSITY-P. PRINCESA,40.00%
PAMANTASAN NG LUNGSOD NG MAYNILA,81.82%
PANGASINAN STATE UNIVERSITY- URDANETA,100.00%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN-STA. MESA,73.68%
RIZAL TECHNOLOGICAL UNIVERSITY,60.00%
SAINT JOSEPH INSTITUTE OF TECHNOLOGY,66.67%
SAINT LOUIS COLLEGE OF SAN FERNANDO,66.67%
SAINT LOUIS UNIVERSITY,81.58%
SAINT MARY'S UNIVERSITY,60.00%
SORSOGON STATE COLLEGE- SORSOGON,44.44%
SURIGAO EDUCATION CENTER,25.00%
TARLAC STATE UNIVERSITY (TARLAC COLLEGE OF TECH.),52.38%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-MANILA,35.56%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-QUEZON CITY,37.93%
TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES-MANILA,68.75%
UNIVERSITY OF ANTIQUE-SIBALOM,66.67%
UNIVERSITY OF BAGUIO,87.50%
UNIVERSITY OF BOHOL,17.65%
UNIVERSITY OF LA SALETTE- SANTIAGO,60.00%
UNIVERSITY OF LUZON (LUZON COLL.),17.65%
UNIVERSITY OF MINDANAO- DAVAO CITY,65.79%
UNIVERSITY OF NORTHEASTERN PHILIPPINES,0.00%
UNIVERSITY OF NORTHERN PHILIPPINES-VIGAN,71.43%
UNIVERSITY OF NUEVA CACERES,75.00%
UNIVERSITY OF PANGASINAN,27.59%
UNIVERSITY OF SAINT ANTHONY,20.00%
UNIVERSITY OF SAINT LOUIS- TUGUEGARAO,80.77%
UNIVERSITY OF SAN AGUSTIN,70.37%
UNIVERSITY OF SAN CARLOS,85.92%
UNIVERSITY OF SANTO TOMAS,88.74%
UNIVERSITY OF SOUTHERN PHILIPPINES,50.00%
UNIVERSITY OF THE ASSUMPTION,33.33%
UNIVERSITY OF THE CORDILLERAS (for.BAGUIO C.F.),83.33%
UNIVERSITY OF THE PHILIPPINES- DILIMAN,100.00%
UNIVERSITY OF THE PHILIPPINES- MINDANAO,100.00%
UNIVERSITY OF THE VISAYAS- CEBU CITY,28.13%
WESTERN MINDANAO STATE U- ZAMBOANGA CITY,60.00%
WESTERN VISAYAS COLLEGE OF SCIENCE & TECHNOLOGY-LA PAZ,61.54%
