SCHOOL,% PASSED
ABRA VALLEY COLLEGE,0.00%
ADAMSON UNIVERSITY,61.40%
AKLAN STATE UNIVERSITY-KALIBO,0.00%
AQUINAS UNIVERSITY,31.82%
ARAULLO UNIVERSITY,0.00%
ATENEO DE DAVAO UNIVERSITY,90.00%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),60.00%
BATANGAS STATE UNIVERSITY - ALANGILAN,62.00%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),50.00%
BICOL STATE COLLEGE OF APPLIED SCIENCES AND TECH- (FOR CSPC),64.29%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,70.00%
BICOL UNIVERSITY-DARAGA,0.00%
BICOL UNIVERSITY-LEGAZPI,64.41%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,65.38%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,57.58%
CAGAYAN DE ORO COLLEGE,21.74%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,60.00%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),90.00%
CEBU INSTITUTE OF TECHNOLOGY - UNIVERSITY,61.40%
CENTRAL COLLEGES OF THE PHILIPPINES,30.77%
COLUMBAN COLLEGE-OLONGAPO CITY,40.00%
DE LA SALLE UNIVERSITY- COLLEGE OF SAINT BENILDE,83.33%
DE LA SALLE UNIVERSITY- DASMARIÑAS,85.71%
DIVINE WORD COLLEGE OF CALAPAN,100.00%
DIVINE WORD COLLEGE OF LAOAG,71.43%
DON BOSCO TECHNICAL COLLEGE-MANDALUYONG,83.33%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,52.05%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,45.45%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,44.83%
FAR EASTERN UNIVERSITY- MANILA,46.67%
FEATI UNIVERSITY,16.67%
FOUNDATION UNIVERSITY,66.67%
HOLY ANGEL UNIVERSITY,61.76%
ILOILO SCIENCE & TECH. UNIV.(FOR WVCST)-MAIN CAMPUS,50.00%
ISABELA STATE UNIVERSITY- ILAGAN,100.00%
LA CONSOLACION COLLEGE- BACOLOD CITY,37.50%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,30.00%
LYCEUM OF ILIGAN FOUNDATION,33.33%
MANUEL L. QUEZON UNIVERSITY,27.78%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,29.41%
MAPUA INSTITUTE OF TECHNOLOGY-MANILA,81.48%
MINDANAO POLYTECHNIC STATE COLLEGE (DMMMPSC),50.00%
MINDANAO UNIVERSITY OF SCIENCE & TECHNOLOGY-CDO,59.09%
MINDANAO UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.00%
NATIONAL COLLEGE OF SCIENCE & TECHNOLOGY-DASMARINAS,50.00%
NATIONAL UNIVERSITY-MANILA,51.72%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,66.67%
NORTHWESTERN UNIVERSITY,55.56%
"NOTRE DAME OF DADIANGAS UNIVERSITY, INC",100.00%
NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY- CABANATUAN),30.77%
PALAWAN STATE UNIVERSITY-P. PRINCESA,60.00%
PAMANTASAN NG LUNGSOD NG MAYNILA,56.52%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN-STA. MESA,72.00%
RIZAL TECHNOLOGICAL UNIVERSITY,60.00%
SAINT JOSEPH INSTITUTE OF TECHNOLOGY,25.00%
SAINT LOUIS COLLEGE OF SAN FERNANDO,66.67%
SAINT LOUIS UNIVERSITY,67.86%
SAINT MARY'S UNIVERSITY,100.00%
SORSOGON STATE COLLEGE- SORSOGON,50.00%
SURIGAO EDUCATION CENTER,16.67%
TARLAC STATE UNIVERSITY (TARLAC COLLEGE OF TECH.),47.22%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-MANILA,40.38%
TECHNOLOGICAL INSTITUTE OF THE PHILIPPINES-QUEZON CITY,57.97%
TECHNOLOGICAL UNIVERSITY OF THE PHILIPPINES-MANILA,86.84%
UNIVERSITY OF ANTIQUE-SIBALOM,66.67%
UNIVERSITY OF BAGUIO,62.50%
UNIVERSITY OF BOHOL,44.44%
UNIVERSITY OF LA SALETTE- SANTIAGO,0.00%
UNIVERSITY OF LUZON (LUZON COLL.),14.29%
UNIVERSITY OF MINDANAO- DAVAO CITY,38.78%
UNIVERSITY OF MINDANAO- GUIANGA JUNIOR COLLEGE,100.00%
UNIVERSITY OF NORTHEASTERN PHILIPPINES,16.67%
