SCHOOL,% PASSED
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,50.00%
ABRA VALLEY COLLEGE,0.00%
ADAMSON UNIVERSITY,25.45%
ALDERSGATE COLLEGE,100.00%
ANDRES BONIFACIO COLLEGE,36.36%
ANGELES UNIVERSITY FOUNDATION,50.00%
AQUINAS UNIVERSITY,18.18%
ARAULLO UNIVERSITY,16.67%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,40.00%
ATENEO DE DAVAO UNIVERSITY,100.00%
ATENEO DE NAGA,75.00%
AURORA STATE COLLEGE OF TECHNOLOGY,40.00%
BAGUIO CENTRAL UNIVERSITY,14.29%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),100.00%
BATAAN HEROES MEMORIAL COLLEGE,0.00%
BATAAN PENINSULA STATE UNIVERSITY- BALANGA (for.BATAAN P.S),35.29%
BATANGAS STATE UNIVERSITY- BATANGAS CITY,54.55%
BICOL UNIVERSITY IND'L TECH.(BUCIT)- LEGAZPI,100.00%
BICOL UNIVERSITY-LEGAZPI,40.63%
BOHOL INSTITUTE OF TECHNOLOGY- TAGBILARAN CITY,0.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)-TAGBILARAN,44.44%
BULACAN STATE UNIVERSITY (for.BCAT)- MALOLOS,30.56%
CAGAYAN DE ORO COLLEGE,58.33%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,35.71%
CAMARINES NORTE STATE COLLEGE- DAET,33.33%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,21.05%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),60.00%
CARLOS C. HILADO MEMORIAL STATE COLLEGE-TALISAY,100.00%
CATANDUANES STATE COLLEGES- VIRAC,46.67%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),30.77%
CEBU INSTITUTE OF TECHNOLOGY,39.74%
CENTRAL COLLEGES OF THE PHILIPPINES,40.00%
CENTRAL LUZON STATE UNIVERSITY,61.11%
CENTRAL MAGUINDANAO INSTITUTE,0.00%
CENTRAL MINDANAO COLLEGES,14.29%
CENTRAL MINDANAO UNIVERSITY,58.33%
CENTRAL PHILIPPINE UNIVERSITY,41.67%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),0.00%
COLEGIO DE KIDAPAWAN(for N.COTABATO IT),0.00%
COLEGIO DE LA PURISIMA CONCEPCION,16.67%
COLUMBAN COLLEGE-OLONGAPO CITY,50.00%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),31.82%
CORE GATEWAY COLLEGE (for.THE COLL.OF THE REP),0.00%
COTABATO CITY STATE POLYTECHNIC COLLEGE,5.56%
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,28.57%
DE LA SALLE UNIVERSITY-DASMARIÑAS,47.62%
DE LA SALLE UNIVERSITY-MANILA,80.00%
DIVINE WORD COLLEGE OF CALAPAN,30.00%
DIVINE WORD COLLEGE OF LAOAG,25.00%
DIVINE WORD COLLEGE OF LEGAZPI,13.33%
DIVINE WORD UNIVERSITY-TACLOBAN,0.00%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,25.00%
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY-SAN FERNANDO,0.00%
EAST CENTRAL COLLEGE,0.00%
EASTERN SAMAR STATE COLLEGE- BORONGAN,46.15%
EASTERN SAMAR STATE COLLEGE- GUIUAN CAMPUS,50.00%
EASTERN VISAYAS STATE UNIVERSITY (for.LIT)TACLOBAN,25.71%
EMILIO AGUINALDO COLLEGE- DASMARINAS,0.00%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,16.00%
FAR EASTERN UNIVERSITY-MANILA,20.00%
FAR EASTERN UNIVERSITY-NICANOR REYES MEDICAL FOUNDATION,0.00%
FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),23.53%
FEATI UNIVERSITY,11.11%
FELLOWSHIP BAPTIST COLLEGE,25.00%
FEU-EAST ASIA COLLEGE,65.31%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,0.00%
GARCIA COLLEGE OF TECHNOLOGY,45.45%
GOLDEN GATE COLLEGES,0.00%
GOLDEN WEST COLLEGES,0.00%
GUAGUA NATIONAL COLLEGES,33.33%
HOLY ANGEL UNIVERSITY,31.25%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),85.71%
HOLY TRINITY COLLEGE OF PUERTO PRINCESA,0.00%
ISABELA STATE UNIVERSITY-ECHAGUE,25.00%
ISABELA STATE UNIVERSITY-ILAGAN,60.00%
JOHN PAUL COLLEGE,0.00%
JOSE MARIA COLLEGE,50.00%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-DAPITAN,100.00%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION-LA SALLE),28.57%
LAGUNA COLLEGE,50.00%
