SCHOOL,% PASSED
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,11.11%
ADAMSON UNIVERSITY,29.41%
AKLAN STATE UNIVERSITY-KALIBO,84.62%
ALDERSGATE COLLEGE,16.67%
ALEJANDRO COLLEGE,0.00%
ANDRES BONIFACIO COLLEGE,32.00%
ANGELES UNIVERSITY FOUNDATION,50.00%
AQUINAS UNIVERSITY,6.67%
ARAULLO UNIVERSITY,11.11%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,14.29%
ATENEO DE DAVAO UNIVERSITY,70.59%
ATENEO DE NAGA UNIVERSITY,40.00%
AURORA STATE COLLEGE OF TECHNOLOGY,33.33%
BAGUIO CENTRAL UNIVERSITY,7.14%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),25.00%
BATAAN HEROES MEMORIAL COLLEGE,50.00%
BATAAN PENINSULA STATE UNIVERSITY- BALANGA (for.BATAAN P.S),32.73%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),54.35%
BICOL UNIVERSITY IND'L TECH.(BUCIT)- LEGAZPI,33.33%
BICOL UNIVERSITY-LEGAZPI,32.43%
BOHOL INSTITUTE OF TECHNOLOGY- TAGBILARAN CITY,0.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)-TAGBILARAN,63.89%
BULACAN STATE UNIVERSITY (for.BCAT)- MALOLOS,50.00%
CAGAYAN DE ORO COLLEGE,0.00%
CAGAYAN STATE UNIVERSITY-CARITAN,100.00%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,58.82%
CAMARINES NORTE STATE COLLEGE- DAET,76.19%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,35.00%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),22.22%
CARLOS A. HILADO MEMORIAL STATE COLLEGE-TALISAY,82.35%
CATANDUANES STATE COLLEGES- VIRAC,40.96%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),44.44%
CEBU INSTITUTE OF TECHNOLOGY,31.58%
CEBU TECHNOLOGICAL UNIVERSITY- MAIN (for.CSCST),83.33%
CENTRAL COLLEGES OF THE PHILIPPINES,50.00%
CENTRAL LUZON STATE UNIVERSITY,55.00%
CENTRAL MINDANAO COLLEGES,0.00%
CENTRAL MINDANAO UNIVERSITY,45.00%
CENTRAL PHILIPPINE UNIVERSITY,57.69%
COLEGIO DE LA PURISIMA CONCEPCION,5.56%
COLUMBAN COLLEGE-OLONGAPO CITY,61.11%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),23.08%
COTABATO CITY STATE POLYTECHNIC COLLEGE,7.50%
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,44.44%
DE LA SALLE UNIVERSITY-DASMARIÑAS,50.00%
DE LA SALLE UNIVERSITY-MANILA,66.67%
DIVINE WORD COLLEGE OF CALAPAN,50.00%
DIVINE WORD COLLEGE OF LAOAG,40.00%
DIVINE WORD COLLEGE OF LEGAZPI,22.58%
DIVINE WORD UNIVERSITY-TACLOBAN,0.00%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,49.25%
EAST CENTRAL COLLEGE,50.00%
EASTERN SAMAR STATE COLLEGE- BORONGAN,30.30%
EASTERN SAMAR STATE COLLEGE- GUIUAN CAMPUS,42.86%
EASTERN SAMAR STATE UNIVERSITY- MAYDOLONG(for. MAYDOLONG NAS),50.00%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,26.40%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,16.67%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,26.47%
FAR EASTERN UNIVERSITY-MANILA,0.00%
FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),45.83%
FEATI UNIVERSITY,0.00%
FELLOWSHIP BAPTIST COLLEGE,62.50%
FEU-EAST ASIA COLLEGE,23.68%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,7.14%
GARCIA COLLEGE OF TECHNOLOGY,60.53%
GOLDEN WEST COLLEGES,0.00%
GUAGUA NATIONAL COLLEGES,9.09%
HOLY ANGEL UNIVERSITY,50.79%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),80.77%
HOLY TRINITY COLLEGE OF PUERTO PRINCESA,0.00%
IFUGAO STATE UNIVERSITY (for. IFUGAO SCAF)-LAGAWE,20.00%
INTERNATIONAL HARVARDIAN UNIVERSITY,0.00%
ISABELA STATE UNIVERSITY-ECHAGUE,41.38%
ISABELA STATE UNIVERSITY-ILAGAN,58.82%
