SCHOOL,% PASSED
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,16.67%
ABRA VALLEY COLLEGE,0.00%
ADAMSON UNIVERSITY,47.57%
AKLAN STATE UNIVERSITY-KALIBO,66.67%
ALDERSGATE COLLEGE,0.00%
ANDRES BONIFACIO COLLEGE,24.39%
ANGELES UNIVERSITY FOUNDATION,75.00%
ANNUNCIATION COLLEGE,100.00%
APAYAO STATE COLLEGE- CONNER,0.00%
AQUINAS UNIVERSITY,50.00%
ARAULLO UNIVERSITY,45.45%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,15.38%
ATENEO DE DAVAO UNIVERSITY,95.83%
ATENEO DE NAGA UNIVERSITY,64.52%
AURORA STATE COLLEGE OF TECHNOLOGY,30.00%
BAGUIO CENTRAL UNIVERSITY,10.81%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),30.77%
BATAAN HEROES MEMORIAL COLLEGE,20.00%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),28.40%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,100.00%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),52.50%
BICOL STATE COLLEGE OF APPLIED SCIENCES AND TECH- (FOR CSPC),0.00%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,0.00%
BICOL UNIVERSITY-LEGAZPI,47.42%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,50.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,76.67%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,58.27%
CAGAYAN DE ORO COLLEGE,40.91%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,49.35%
CAMARINES NORTE STATE COLLEGE-DAET,70.21%
CAMARINES NORTE STATE COLLEGE-LABO,100.00%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,52.24%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),20.00%
CARLOS A. HILADO MEMORIAL STATE COLLEGE-TALISAY,88.00%
CATANDUANES STATE UNIVERSITY - VIRAC,63.16%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),52.78%
CEBU INSTITUTE OF TECHNOLOGY,48.55%
CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for.CSCST),22.73%
CENTRAL COLLEGES OF THE PHILIPPINES,17.65%
CENTRAL LUZON STATE UNIVERSITY,50.72%
CENTRAL MINDANAO COLLEGES,11.11%
CENTRAL MINDANAO UNIVERSITY,46.43%
CENTRAL PHILIPPINE ADVENTIST COLLEGE,50.00%
CENTRAL PHILIPPINE UNIVERSITY,50.00%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),0.00%
COLEGIO DE LA PURISIMA CONCEPCION,21.74%
COLUMBAN COLLEGE-OLONGAPO CITY,31.25%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),39.39%
COTABATO CITY STATE POLYTECHNIC COLLEGE,11.46%
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,32.00%
DE LA SALLE UNIVERSITY- DASMARIÑAS,54.17%
DE LA SALLE UNIVERSITY-MANILA,67.27%
DIVINE WORD COLLEGE OF CALAPAN,52.63%
DIVINE WORD COLLEGE OF LAOAG,15.00%
DIVINE WORD COLLEGE OF LEGAZPI,29.55%
DIVINE WORD UNIVERSITY- TACLOBAN,0.00%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,49.79%
EAST CENTRAL COLLEGE,0.00%
EASTERN SAMAR STATE UNIVERSITY - BORONGAN,16.28%
EASTERN SAMAR STATE UNIVERSITY - GUIUAN CAMPUS,13.79%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-ORMOC CAMPUS,6.06%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-TANAUAN CAMPUS,50.00%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,29.93%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,0.00%
