SCHOOL,
,% PASSED
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,10.00%
ABRA VALLEY COLLEGE,0.00%
ADAMSON UNIVERSITY,53.77%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,0.00%
AKLAN STATE UNIVERSITY- KALIBO,33.33%
ALDERSGATE COLLEGE,23.08%
ANDRES BONIFACIO COLLEGE,13.51%
ANGELES UNIVERSITY FOUNDATION,62.50%
APAYAO STATE COLLEGE- CONNER,20.00%
AQUINAS UNIVERSITY,15.00%
ARAULLO UNIVERSITY,29.41%
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,0.00%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,40.00%
ATENEO DE DAVAO UNIVERSITY,42.86%
ATENEO DE NAGA UNIVERSITY,45.83%
AURORA STATE COLLEGE OF TECHNOLOGY,20.00%
BAGUIO CENTRAL UNIVERSITY,36.36%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),20.69%
BATAAN HEROES MEMORIAL COLLEGE,25.00%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),31.19%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,0.00%
BATANGAS STATE UNIVERSITY - ALANGILAN,54.22%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),100.00%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,0.00%
BICOL UNIVERSITY-LEGAZPI,36.07%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,0.00%
"BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)-
TAGBILARAN",60.00%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,42.68%
CAGAYAN DE ORO COLLEGE,48.72%
CAGAYAN STATE UNIVERSITY- CARITAN,0.00%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,48.05%
CAMARINES NORTE STATE COLLEGE-DAET,37.50%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,54.84%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),27.78%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,40.00%
CARLOS A. HILADO MEMORIAL STATE COLLEGE-TALISAY,33.33%
CATANDUANES STATE UNIVERSITY - VIRAC,50.00%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),40.74%
CEBU INSTITUTE OF MEDICINE,0.00%
CEBU INSTITUTE OF TECHNOLOGY - UNIVERSITY,46.67%
"CEBU STATE COLLEGE OF
SCIENCE & TECHNOLOGY SYSTEM(for.CSAT)",0.00%
CEBU TECHNOLOGICAL UNIVERSITY-DANAO (for.CSCST),33.33%
CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for.CSCST),38.46%
CEBU TECHNOLOGICAL UNIVERSITY-TUBURAN (for.CSCST),0.00%
CENTRAL COLLEGES OF THE PHILIPPINES,21.15%
CENTRAL LUZON STATE UNIVERSITY,49.67%
CENTRAL MINDANAO COLLEGES,11.76%
CENTRAL MINDANAO UNIVERSITY,62.26%
CENTRAL PHILIPPINE ADVENTIST COLLEGE,66.67%
CENTRAL PHILIPPINE UNIVERSITY,74.47%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),0.00%
COLEGIO DE LA PURISIMA CONCEPCION,21.21%
COLEGIO DE MONTALBAN (FOR. PAMANTASAN NG MONTALBAN),0.00%
COLEGIO DE SAN ANTONIO DE PADUA,20.00%
COLEGIO DE SAN JUAN DE LETRAN-INTRAMUROS,60.00%
"COLEGIO DE SEBASTIAN- PAMPANGA, INC - PAMPANGA",100.00%
COLEGIO SAN AGUSTIN- BACOLOD CITY,50.00%
COLUMBAN COLLEGE-OLONGAPO CITY,29.17%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),31.82%
COTABATO CITY STATE POLYTECHNIC COLLEGE,18.07%
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,31.58%
DE LA SALLE UNIVERSITY- DASMARIÑAS,84.62%
DE LA SALLE UNIVERSITY-MANILA,90.29%
DIVINE WORD COLLEGE OF CALAPAN,46.15%
DIVINE WORD COLLEGE OF LAOAG,21.43%
DIVINE WORD COLLEGE OF LEGAZPI,20.51%
DIVINE WORD UNIVERSITY- TACLOBAN,0.00%
"DON HONORIO VENTURA TECHNOLOGICAL STATE
UNIVERSITY",24.11%
EASTERN SAMAR STATE UNIVERSITY - BORONGAN,27.54%
EASTERN SAMAR STATE UNIVERSITY - GUIUAN CAMPUS,47.37%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-ORMOC CAMPUS,22.58%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-TANAUAN CAMPUS,20.00%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,42.11%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,33.33%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,26.32%
FAR EASTERN UNIVERSITY- MANILA,50.00%
FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),18.75%
FEATI UNIVERSITY,14.29%
FELLOWSHIP BAPTIST COLLEGE,17.65%
"FEU-INSTITUTE OF
TECHNOLOGY(FOR. FEU-EAST ASIA COLL)",63.18%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,22.22%
GARCIA COLLEGE OF TECHNOLOGY,46.67%
GUAGUA NATIONAL COLLEGES,0.00%
HOLY ANGEL UNIVERSITY,50.00%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),77.78%
HOLY TRINITY COLLEGE OF PUERTO PRINCESA,8.33%
IFUGAO STATE UNIVERSITY (for. IFUGAO SCAF)-LAGAWE,30.00%
INTERNATIONAL SCHOOL OF ASIA & THE PACIFIC-TABUK BRANCH,20.00%
ISABELA STATE UNIVERSITY- ECHAGUE,25.97%
ISABELA STATE UNIVERSITY- ILAGAN,71.11%
JOHN PAUL COLLEGE,36.36%
JOSE MARIA COLLEGE,13.64%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-DAPITAN,37.04%
JOSEFINA H. CERILLES STATE COLLEGE-GUIPOS,0.00%
KALINGA STATE UNIVERSITY(FOR KALINGA APAYAO STATE COLL),23.08%
