SCHOOL,PASSED,FAILED,TOTAL,% PASSED,PASSED,FAILED,TOTAL,% PASSED,PASSED,FAILED,TOTAL,% PASSED
ABADA COLLEGE,19,12,31,61.29%,1,16,17,5.88%,20,28,48,41.67%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- DAGUPAN,0,0,0,0.00%,0,1,1,0.00%,0,1,1,0.00%
ABRA VALLEY COLLEGE,12,40,52,23.08%,7,17,24,29.17%,19,57,76,25.00%
ABUYOG COMMUNITY COLLEGE,6,27,33,18.18%,0,4,4,0.00%,6,31,37,16.22%
ACADEMIA DE SAN LORENZO DEMA-ALA,3,1,4,75.00%,0,0,0,0.00%,3,1,4,75.00%
"AGONCILLO COLLEGE, INC",0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
AGUSAN INSTITUTE OF TECHNOLOGY,10,8,18,55.56%,5,11,16,31.25%,15,19,34,44.12%
AJUY POLYTECHNIC COLLEGE,13,18,31,41.94%,1,7,8,12.50%,14,25,39,35.90%
AKLAN COLLEGE,15,7,22,68.18%,0,1,1,0.00%,15,8,23,65.22%
ALDERSGATE COLLEGE,5,5,10,50.00%,3,0,3,100.00%,8,5,13,61.54%
ALFELOR SR. MEMORIAL COLLEGE,1,4,5,20.00%,0,0,0,0.00%,1,4,5,20.00%
ANDRES BONIFACIO COLLEGE,17,34,51,33.33%,9,77,86,10.47%,26,111,137,18.98%
ANGELES UNIVERSITY FOUNDATION,36,4,40,90.00%,2,4,6,33.33%,38,8,46,82.61%
ARAULLO UNIVERSITY,73,36,109,66.97%,22,34,56,39.29%,95,70,165,57.58%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,21,14,35,60.00%,11,36,47,23.40%,32,50,82,39.02%
ASIAN INSTITUTE OF MANAGEMENT,1,0,1,100.00%,0,0,0,0.00%,1,0,1,100.00%
ATENEO DE DAVAO UNIVERSITY,0,0,0,0.00%,1,1,2,50.00%,1,1,2,50.00%
BAGO CITY COLLEGE,84,129,213,39.44%,11,43,54,20.37%,95,172,267,35.58%
BAGUIO CENTRAL UNIVERSITY,12,10,22,54.55%,3,4,7,42.86%,15,14,29,51.72%
BALITE INSTITUTE OF TECHNOLOGY,0,0,0,0.00%,0,1,1,0.00%,0,1,1,0.00%
BASILAN STATE COLLEGE,5,15,20,25.00%,3,17,20,15.00%,8,32,40,20.00%
BATAAN HEROES MEMORIAL COLLEGE,17,2,19,89.47%,0,3,3,0.00%,17,5,22,77.27%
BATANGAS STATE UNIVERSITY- ARASOF-NASUGBU,11,6,17,64.71%,1,6,7,14.29%,12,12,24,50.00%
BATANGAS STATE UNIVERSITY- BATANGAS CITY,2,1,3,66.67%,0,0,0,0.00%,2,1,3,66.67%
BENGUET STATE UNIVERSITY-LA TRINIDAD,0,1,1,0.00%,0,0,0,0.00%,0,1,1,0.00%
BICOL COLLEGE,60,57,117,51.28%,16,76,92,17.39%,76,133,209,36.36%
BICOL INSTITUTE OF SCIENCE & TECHNOLOGY,0,0,0,0.00%,0,1,1,0.00%,0,1,1,0.00%
BOHOL INSTITUTE OF TECHNOLOGY-JAGNA,3,1,4,75.00%,1,2,3,33.33%,4,3,7,57.14%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,7,11,18,38.89%,9,21,30,30.00%,16,32,48,33.33%
