SCHOOL,% PASSED
ABADA COLLEGE,47.73%
ABRA VALLEY COLLEGE,15.24%
ABUBAKAR COMPUTER LEARNING CENTER,25.00%
ABUYOG COMMUNITY COLLEGE,18.06%
ACADEMIA DE SAN LORENZO DEMA-ALA,41.67%
ACES POLYTECHNIC COLLEGE - PANABO CITY,33.33%
"AGONCILLO COLLEGE, INC",0.00%
AGUSAN INSTITUTE OF TECHNOLOGY,3.33%
AJUY POLYTECHNIC COLLEGE,33.33%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,42.31%
AKLAN STATE UNIVERSITY- NATIONAL COLLEGE OF FISHERIES,75.00%
AKLAN STATE UNIVERSITY-NEW WASHINGTON,53.85%
ALDERSGATE COLLEGE,33.33%
ALFELOR SR. MEMORIAL COLLEGE,30.00%
"ALPHA CENTAURI EDUCATIONAL SYSTEM, INC.-LUCENA CITY",90.91%
ALTAVAS COLLEGE,10.00%
AMANDO COPE COLLEGE,90.91%
ANDRES BONIFACIO COLLEGE,27.45%
ANGELES UNIVERSITY FOUNDATION,76.36%
"ANTONIO R. PACHECO COLLEGE, INC",0.00%
ARAULLO UNIVERSITY,55.22%
ARELLANO UNIVERSITY-MALABON,100.00%
ARELLANO UNIVERSITY-MANILA,35.71%
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,57.14%
ASIAN COLLEGE OF SCIENCE & TECHNOLOGY-QC,0.00%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,26.24%
BAGO CITY COLLEGE,30.23%
BAGUIO CENTRAL UNIVERSITY,45.65%
BALABAGAN TRADE SCHOOL,0.00%
BALITE INSTITUTE OF TECHNOLOGY,0.00%
BASILAN STATE COLLEGE,11.45%
BATAAN HEROES MEMORIAL COLLEGE,48.28%
BATANGAS STATE UNIVERSITY (for. JPLPC)-MALVAR,52.00%
BATANGAS STATE UNIVERSITY- ARASOF-NASUGBU,37.50%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),70.27%
BESTLINK COLLEGE OF THE PHILS(FOR BESTLINK INST OF IT),33.33%
BICOL COLLEGE,25.10%
BOHOL INSTITUTE OF TECHNOLOGY-JAGNA,40.00%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,19.15%
BOHOL INSTITUTE OF TECHNOLOGY-TALIBON,13.16%
BOHOL NORTHERN STAR COLLEGE,6.67%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,48.15%
BUTUAN CITY COLLEGES,0.00%
CABANATUAN CITY COLLEGES,0.00%
CAGAYAN DE ORO COLLEGE,60.66%
CAGAYAN STATE UNIVERSITY- APARRI,80.00%
CAGAYAN STATE UNIVERSITY- GONZAGA,42.86%
CAGAYAN STATE UNIVERSITY- PIAT,77.78%
CAGAYAN STATE UNIVERSITY- SANCHEZ MIRA,88.00%
CAGAYAN VALLEY COLLEGES OF QUIRINO,22.22%
CAGAYAN VALLEY COLLEGES OF TUGUEGARAO,0.00%
CALABANGA POLYTECHNIC COLLEGE,40.00%
"CALAYAN EDUCATIONAL FOUNDATION INC.(for.
MED.CTR.LUCENA)",91.67%
"CAMARINES NORTE SCHOOL OF LAWS, ARTS & SCIENCES",26.51%
CAMARINES SUR STATE AGRICULTURAL COLLEGE- PASACAO,0.00%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),65.12%
CAPIZ STATE UNIVERSITY (PANAY SPC)-DAYAO CAMPUS,22.67%
CAPIZ STATE UNIVERSITY (PANAY SPC)-DUMARAO,22.41%
CARLOS A. HILADO MEMORIAL STATE COLLEGE-TALISAY,66.67%
CARLOS HILADO STATE COLLEGE OF FISHERIES-BINALBAGAN,52.87%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),93.75%
CEBU ROOSEVELT MEMORIAL COLLEGES,14.55%
CEGUERRA INSTITUTE OF SCIENCE & TECHNOLOGY,33.33%
CENTRAL BICOL STATE UNIV. OF AGRICULTURE-(for.CSSAC)-PILI,0.00%
CENTRAL BICOL STATE UNIV. OF AGRICULTURE-(for.CSSAC)- SIPOCOT,29.49%
CENTRAL COLLEGES OF THE NORTH,0.00%
CENTRAL ILOCANDIA COLLEGE OF SCIENCE & TECHNOLOGY,25.12%
CENTRAL LUZON COLLEGE OF SCIENCE & TECHNOLOGY- OLONGAPO,64.29%
CENTRAL LUZON COLLEGE OF SCIENCE & TECHNOLOGY-SAN FERNANDO,34.44%
CENTRAL MINDANAO COLLEGES,17.35%
"CENTRO COLEGIO DE TARLAC- BAMBAN,TARLAC",0.00%
CHRIST THE KING COLLEGE OF MARANDING,31.82%
CHRIST THE KING COLLEGE- GINGOOG CITY,67.65%
CHRISTIAN COLLEGE OF TANAUAN,17.65%
CHRISTIAN POLYTECHNIC INSTITUTE OF CATANDUANES,62.16%
COLEGIO DE AMORE,29.17%
COLEGIO DE KIDAPAWAN(for N.COTABATO IT),28.57%
COLEGIO DE LA PURISIMA CONCEPCION,37.93%
COLEGIO DE LAS NAVAS,9.09%
COLEGIO DE SAN ANTONIO DE PADUA,26.00%
COLEGIO DE SAN GABRIEL ARCANGEL,23.08%
"COLEGIO DE SAN JUAN, INC.",23.81%
"COLEGIO DE SAN LORENZO RUIZ DE MANILA, INC.",8.33%
COLEGIO DE STA. CATALINA DE ALEJANDRIA,20.00%
COLEGIO DE STO. NIÑO DE JASAAN,4.35%
COLLEGE OF SAINT LAWRENCE,42.86%
COMPUTER ARTS & TECHNOLOGY SCHOOL-OLD ALBAY,21.43%
CONCEPCION HOLY CROSS COLLEGE,45.00%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),67.65%
CORDILLERA A+ COMPUTER TECHNOLOGY COLLEGE,37.50%
CORDILLERA CAREER DEVELOPMENT COLLEGE,65.25%
"CRIMINAL JUSTICE COLLEGE, INC.",37.50%
CRISTAL e-COLLEGE-PANGLAO CAMPUS,45.00%
CS COLLEGES OF TABUK,100.00%
DANIEL B. PENA MEMORIAL COLLEGE FOUNDATION,10.53%
DANSALAN POLYTECHNIC COLLEGE,26.32%
DATA CENTER COLLEGE OF THE PHILIPPINES-BANGUED,8.33%
DATA CENTER COLLEGE OF THE PHILIPPINES-LAOAG CITY,75.56%
DAVAO CENTRAL COLLEGE,30.43%
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,68.48%
DAVAO WINCHESTER COLLEGES,53.33%
DE LA SALLE UNIVERSITY- DASMARIÑAS,45.16%
"DIPOLOG MEDICAL CENTER COLLEGE FOUNDATION, INC",30.56%
DIVINE WORD COLLEGE OF CALAPAN,69.57%
DIVINE WORD UNIVERSITY- TACLOBAN,0.00%
DON CARLOS POLYTECHNIC COLLEGE,30.00%
DON JOSE ECLEO MEMORIAL EDUCATIONAL FOUNDATION,80.00%
DR. AURELIO MENDOZA MEMORIAL COLLEGES,17.65%
DR. GLORIA D. LACSON COLLEGES,20.69%
DR. P. OCAMPO COLLEGES,25.00%
DUMAGUETE CATHEDRAL COLLEGE,0.00%
EASTERN SAMAR STATE UNIVERSITY - BORONGAN,100.00%
EASTERN SAMAR STATE UNIVERSITY-MAYDOLONG(for. MAYDOLONG NAS),51.22%
EASTERN VISAYAS CENTRAL COLLEGE,11.11%
EDUCATIONAL SYSTEM TECHNOLOGICAL INSTITUTE,20.45%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,43.90%
EMILIO AGUINALDO COLLEGE- MANILA,62.86%
ERHARD SYSTEMS TECHNOLOGICAL INSTITUTE,22.43%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,40.74%
FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),100.00%
FERNANDEZ COLLEGE OF ARTS & TECHNOLOGY,28.97%
FILAMER CHRISTIAN COLLEGE,42.86%
FIRST ASIA INSTITUTE OF TECHNOLOGY & HUMANITIES,36.84%
FLORENCIO L. VARGAS COLLEGE- ABULUG,21.74%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,15.38%
FULLBRIGHT COLLEGE,14.61%
GOLDEN WEST COLLEGES,19.64%
GOV. ALFONSO D. TAN MEMORIAL COLLEGE,37.50%
GUIMARAS STATE COLLEGE (GUIMARAS POLY. COLL.),34.21%
H. G. BAQUIRAN COLLEGE,16.67%
"HARDAM FURIGAY COLLEGES FOUNDATION, INC",0.00%
HEADSTART COLLEGE OF COTABATO,8.04%
HERCOR COLLEGE,19.46%
HMIJ-FOUNDATION PHILIPPINE ISLAMIC COLLEGE,0.00%
HOLY ANGEL UNIVERSITY,65.45%
HOLY CHILD COLLEGE OF BUTUAN,80.00%
HOLY CROSS COLLEGE-STA. ROSA,50.00%
HOLY CROSS OF DAVAO COLLEGE,51.90%
HOLY INFANT JESUS COLLEGE,0.00%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),40.00%
HOLY SPIRIT FOUNDATION OF LEYTE,28.00%
HOLY TRINITY COLLEGE OF GENERAL SANTOS CITY,43.55%
HOLY TRINITY COLLEGE OF PUERTO PRINCESA,15.56%
"ICCT COLLEGES FOUNDATION,INC(INST.OF CREATIVE COMP TECH INC)",17.72%
IFUGAO STATE UNIVERSITY (for. IFUGAO SCAF)-LAMUT,88.89%
IFUGAO STATE UNIVERSITY (for. IFUGAO SCAF)-POTIA,64.52%
ILIGAN CAPITOL COLLEGE,25.71%
"ILIGAN MEDICAL CENTER COLLEGE, INC.",42.25%
I-LINK COLLEGE OF SCIENCE & TECHNOLOGY-MIDSAYAP N. COT.,61.22%
ILOILO DOCTORS' COLLEGE,35.90%
ILOILO DOCTORS COLLEGE OF MEDICINE,0.00%
INNOVATIVE COLLEGE OF SCIENCE & TECHNOLOGY,48.08%
INSTITUTE OF BUSINESS SCIENCE & MEDICAL ARTS,50.00%
INTERNATIONAL SCHOOL OF ASIA & THE PACIFIC,49.02%
INTERNATIONAL SCHOOL OF ASIA & THE PACIFIC-TABUK BRANCH,33.33%
INTERWORLD COLLEGE OF SCIENCE & TECHNOLOGY,13.46%
INTERWORLD COLLEGES FOUNDATION-TARLAC CITY (ICT),7.14%
IRANUN FOUNDATION COLLEGE INC. - LANAO DEL SUR,0.00%
IRENE B. ANTONIO TECHNOLOGICAL COLLEGE,20.00%
ISABELA COLLEGE OF ARTS & TECHNOLOGY,6.56%
ISABELA COLLEGES (for.ISABELA C.F),5.41%
ISABELA STATE UNIVERSITY- ANGADANAN (for.A AGRO-IND COL.),26.83%
ISABELA STATE UNIVERSITY- CABAGAN,39.89%
ISABELA STATE UNIVERSITY- CAUAYAN (for.C.POLY.COLL.),58.62%
ISABELA STATE UNIVERSITY- ECHAGUE,60.32%
ISABELA STATE UNIVERSITY- JONES CAMPUS,73.33%
ISABELA STATE UNIVERSITY- ROXAS,9.76%
JAMIATUL PHILIPPINE AL-ISLAMIA,23.08%
JOHN PAUL COLLEGE,65.22%
JOHN PAUL II COLLEGE,33.33%
JOSE RIZAL MEMORIAL STATE COLLEGE-RIZAL,0.00%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-DAPITAN,35.16%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-DIPOLOG,33.16%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-SIOCON CAMPUS,42.31%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-TAMPILISAN CAMPUS,20.27%
JOSE RIZAL UNIVERSITY (for.JRC),52.94%
JOSEFINA  H. CERILLES STATE COLLEGE-GUIPOS,15.79%
JOSEFINA H. CERILLES STATE COLLEGE-BAYOG(for.WMSU),0.00%
JOSEFINA H. CERILLES STATE COLLEGE-DUMINGAG,18.18%
JOSEFINA H. CERILLES STATE COLLEGE-MAHAYAG,0.00%
JOSEFINA H. CERILLES STATE COLLEGE-MAIN-MATI(JHCPC),31.25%
KALINGA APAYAO STATE COLLEGE (KALINGA COMM. COLL.),70.69%
KALINGA COLLEGES OF SCIENCE AND TECHNOLOGY,24.75%
KHADIJAH MOHAMMAD ISLAMIC ACADEMY - MARAWI CITY,0.00%
"KING'S COLL. OF THE PHILIPPINES-BAMBANG INC.(ELC, INC)",93.55%
KING'S COLLEGE OF THE PHILIPPINES INC.- BENGUET (for E.L.C),91.07%
"KURIOS CHRISTIAN COLLEGE FOUNDATION- MAGALLANES,CAVITE",83.33%
LA CARLOTA CITY COMMUNITY COLLEGE,26.10%
LA CONCEPCION COLLEGE- BULACAN,37.21%
LA CONSOLACION COLLEGE- ISABELA,0.00%
LA FINN'S SCHOLASTICA (FOR LUCNAS),0.00%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION-LA SALLE),76.92%
LACSON COLLEGE,14.29%
LAGUNA STATE POLYTECHNIC UNIVERSITY-LOS BAÑOS,48.98%
LAGUNA STATE POLYTECHNIC UNIVERSITY-SINILOAN,43.86%
LAGUNA STATE POLYTECHNIC UNIV-SN PABLO(LSPC),66.67%
LAGUNA STATE POLYTECHNIC UNIV-STA CRUZ (LSPC),68.00%
"LAKE LANAO COLLEGE, INC.",14.81%
"LANAO CENTRAL COLLEGE,INC.- MARAWI CITY LANAO DEL SUR",0.00%
LANAO SCHOOL OF SCIENCE & TECHNOLOGY,80.00%
LEMERY COLLEGES,25.00%
LEYTE COLLEGES,17.04%
LEYTE STATE SCHOOL OF FISHERIES-TOLOSA,0.00%
LICEO DE CAGAYAN UNIVERSITY,57.14%
LIPA CITY COLLEGES,18.87%
"LUNA GOCO COLLEGES, INC (for.LUNA GOCO MCCI)",25.00%
LUZONIAN UNIVERSITY FOUNDATION-LUCENA CITY,20.00%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,25.00%
LYCEUM NORTHWESTERN-F.T. DUQUE COLLEGE-URDANETA,50.00%
LYCEUM OF ALABANG (for. NCST),30.61%
LYCEUM OF APARRI,27.63%
LYCEUM OF CEBU- CEBU CITY,0.00%
LYCEUM OF NORTHERN LUZON,30.10%
"LYCEUM OF THE PHILIPPINES UNIVERSITY-BATANGAS,INC",13.43%
LYCEUM OF TUAO,23.68%
"LYCEUM OF WESTERN LUZON- ZAMBALES,INC-BOTOLAN ZAMBALES",71.43%
"LYCEUM SUBIC BAY, INC.",62.50%
M. V. GALLEGO FOUNDATION COLLEGES,25.77%
MAASIN CITY COLLEGE,0.00%
"MADRIDEJOS COMMUNITY COLLEGE-MADRIDEJOS, CEBU CITY",0.00%
MAHARDIKA INSTITUTE OF TECHNOLOGY,8.11%
MAILA ROSARIO COLLEGE - TUGUEGARAO CITY,45.45%
MALLIG PLAINS COLLEGES(for.W.ISABELA PC),9.52%
MANDAUE CITY COLLEGE- MANDAUE CITY,25.00%
MANILA LAW COLLEGE,25.00%
MANUEL L. QUEZON UNIVERSITY,26.88%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,46.97%
MARBEL SCHOOL OF SCIENCE AND TECHNOLOGY - (FOR.MSFT),28.57%
MARY THE QUEEN COLLEGE OF SCIENCE & TECHNOLOGY,43.75%
MASBATE COLLEGES,3.80%
MATER DEI COLLEGE-BOHOL,57.50%
MATI POLYTECHNIC INSTITUTE,11.76%
MATS COLLEGE OF TECHNOLOGY,18.18%
MEDICAL COLLEGE OF NORTHERN PHILIPPINES,0.00%
MEDINA COLLEGE-IPIL,0.00%
METRO DAGUPAN COLLEGES,56.52%
METRO MANILA COLLEGE,36.26%
METROPOLITAN COLLEGE OF SCIENCE & TECHONOLOGY,25.00%
MINDANAO ARTS & TECHNOLOGICAL INSTITUTE,33.33%
"MINDANAO AUTONOMOUS COLLEGE, FOUNDATION INC.",3.03%
MINDORO STATE COLLEGE OF AGRICULTURE & TECHNOLOGY- BONGABONG,18.52%
MINDORO STATE COLLEGE OF AGRICULTURE & TECHNOLOGY- CALAPAN,53.70%
MISAMIS ORIENTAL INSTITUTE OF SCIENCE & TECHNOLOGY,24.56%
MISAMIS UNIVERSITY-OROQUIETA UNIT,61.11%
MISAMIS UNIVERSITY-OZAMIS CITY,27.84%
MOUNT CARMEL COLLEGE-BALER,33.82%
MOUNT MORIAH COLLEGE- CAMOTES,30.43%
MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-BONTOC,47.66%
MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-TADIAN,55.56%
NAGA COLLEGE FOUNDATION,45.86%
NATIONAL COLLEGE OF SCIENCE & TECHNOLOGY-DASMARINAS,18.39%
NAVAL STATE UNIVERSITY (for.NAVAL INST) BILIRAN,16.67%
NAVAL STATE UNIVERSITY (for.NAVAL INST)-NAVAL,26.11%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-BAIS CAMPUS,30.19%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-BAYAWAN,16.44%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,57.76%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-GUIHULNGAN,23.08%
NEGROS ORIENTAL STATE UNIVERSITY-MABINAY,31.43%
NEGROS ORIENTAL STATE UNIVERSITY-SIATON,41.30%
NEGROS STATE COLLEGE OF AGRICULTURE (OCC. AGR'L COLL),22.22%
NEW NORTHERN MINDANAO COLLEGE,25.00%
NORTH CENTRAL MINDANAO COLLEGES (CMTI),32.73%
NORTH LUZON PHILIPPINES STATE COLLEGE- CANDON,62.26%
NORTHEASTERN COLLEGE,27.54%
NORTHEASTERN MINDANAO COLL.,46.48%
NORTHERN COTABATO COLLEGES FOUNDATION INC.,0.00%
NORTHERN ILOCANDIA COLLEGE OF SCIENCE & TECHNOLOGY(NICOSAT),27.91%
NORTHERN ILOILO POLYTECHNIC COLLEGE-SARA,32.65%
NORTHERN ILOILO POLYTECHNIC STATE COLLEGE-AJUY,40.96%
NORTHERN MINDANAO COLLEGE,31.25%
NORTHERN NEGROS STATE COLLEGE OF SCIENCE & TECHNOLOGY,28.00%
NORTHERN PHILS. COLL. FOR MARITIME & TECHNOLOGICAL STUDIES,16.67%
"NORTHERN PHILS. COLL. FOR MARITIME, SCIENCE & TECH (NPMTI)",29.03%
NORTHERN SAMAR ACADEMY,0.00%
NORTHERN ZAMBALES COLLEGE (for.VDRC)-MASINLOC,47.22%
NORTHWEST SAMAR STATE UNIVERSITY (FOR.TIBURCIO TANCINCO),15.79%
NORTHWEST SAMAR STATE U-SN JORGE CAMPUS(FOR.SSCAF),4.76%
NORTHWESTERN UNIVERSITY,36.29%
NORTHWESTERN VISAYAN COLLEGES,23.46%
NOTRE DAME OF JOLO COLLEGE,14.58%
NOTRE DAME OF MARBEL UNIVERSITY,100.00%
NOTRE DAME OF MIDSAYAP COLLEGE,54.84%
NOTRE DAME OF SALAMAN COLLEGE,14.29%
NOTRE DAME OF TACURONG COLLEGE,35.29%
NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY- CABANATUAN),37.50%
NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY-SAN ISIDRO),100.00%
"NUEVO ZAMBOANGA COLLEGE, INC.- ZAMBOANGA CITY",72.73%
OCCIDENTAL MINDORO STATE COLLEGE,12.38%
OLIVAREZ COLLEGE-PARAÑAQUE,60.00%
OLIVAREZ COLLEGE-TAGAYTAY CITY,42.86%
OSIAS COLLEGES,24.76%
OSMENA COLLEGE-MASBATE,18.84%
OUR LADY OF FATIMA UNIVERSITY-QC,50.00%
OUR LADY OF FATIMA UNIVERSITY-VALENZUELA,46.83%
OUR LADY OF LOURDES COLLEGE,21.21%
OUR LADY OF LOURDES COLLEGE FOUNDATION,33.98%
OUR LADY OF LOURDES TECHNOLOGICAL COLLEGE,18.64%
OUR LADY OF MERCY COLLEGE- BORONGAN,14.71%
OUR LADY OF THE PILLAR COLLEGE-CAUAYAN SAN MIGUEL BRANCH,55.56%
"OUR LADY OF THE PILLAR'S COLLEGE-SN FERMIN, CAUAYAN",60.00%
"PAGADIAN CAPITOL COLLEGE, INC (FOR PAG. COLL OF CRIM)",19.21%
PALAWAN STATE UNIVERSITY-P. PRINCESA,85.71%
PAMANTASAN NG LUNGSOD NG MARIKINA,67.21%
PAMANTASAN NG LUNGSOD NG MUNTINLUPA (MPC),30.73%
PANGASINAN MERCHANT MARINE ACADEMY,4.76%
PANGASINAN STATE UNIVERSITY- BINMALEY,71.05%
PANPACIFIC UNIVERSITY NORTH PHILIPPINES (PANG.CST),41.44%
PANPACIFIC UNIVERSITY NORTH PHILIPPINES-TAYUG CAMPUS INC.,41.67%
PARANG FOUNDATION COLLEGE,12.50%
PARTIDO COLLEGE,7.77%
PARTIDO STATE UNIVERSITY- (GOA)GAO,0.00%
PASSI CITY COLLEGE,43.59%
PATRIA SABLE CORPUS COLLEGE,15.38%
PERPETUAL HELP COLLEGE OF PANGASINAN,25.00%
PHILIPPINE CHRISTIAN UNIVERSITY-MANILA,0.00%
PHILIPPINE COLLEGE FOUNDATION,24.32%
PHILIPPINE COLLEGE OF CRIMINOLOGY,26.19%
PHILIPPINE COLLEGE OF HEALTH & SCIENCES,30.56%
PHILIPPINE COLLEGE OF NORTHWESTERN LUZON,100.00%
PHILIPPINE COLLEGE OF SCIENCE & TECHNOLOGY- CALASIAO,33.85%
PHILIPPINE COMPUTER COLLEGE,27.03%
PHILIPPINE LAW ENFORCEMENT COLLEGE,21.05%
PHILIPPINE LAW SCHOOL- LACSON COLLEGE,0.00%
PILI CAPITAL EDUCATIONAL CENTER - CAM SUR,30.43%
PIMSAT COLLEGES,47.37%
"PLT COLLEGE, INC",67.38%
"PLT COLLEGE., INC - GUINOBATAN, ALBAY",50.00%
POLYTECHNIC COLLEGE OF DAVAO DEL SUR,40.91%
POLYTECHNIC COLLEGE OF LA UNION,56.92%
POLYTECHNIC STATE COLLEGE OF ANTIQUE-SIBALOM,7.69%
PROFESSIONAL ACADEMY OF THE PHILIPPINES,11.59%
QUIRINO POLYTECHNIC COLLEGE,69.70%
QUIRINO STATE COLLEGE,54.84%
