SCHOOL,% PASSED
ABADA COLLEGE,36.84%
ABELLANA NATIONAL SCHOOL,0.00%
ABRA VALLEY COLLEGE,20.00%
ABUBAKAR COMPUTER LEARNING CENTER,0.00%
ABUYOG COMMUNITY COLLEGE,18.42%
ACADEMIA DE SAN LORENZO DEMA-ALA,50.00%
ACES POLYTECHNIC COLLEGE - PANABO CITY,46.15%
ADAMSON UNIVERSITY,0.00%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,0.00%
"AGONCILLO COLLEGE, INC",0.00%
AGUSAN INSTITUTE OF TECHNOLOGY,20.00%
AJUY POLYTECHNIC COLLEGE,0.00%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,14.29%
AKLAN STATE UNIVERSITY- KALIBO,0.00%
"AKLAN STATE UNIVERSITY-
NATIONAL COLLEGE OF FISHERIES",40.00%
AKLAN STATE UNIVERSITY-NEW WASHINGTON,14.29%
ALDERSGATE COLLEGE,27.27%
ALFELOR SR. MEMORIAL COLLEGE,47.06%
"ALPHA CENTAURI EDUCATIONAL SYSTEM, INC.-LUCENA CITY",28.57%
ALTAVAS COLLEGE,26.67%
AMANDO COPE COLLEGE,100.00%
ANDRES BONIFACIO COLLEGE,19.35%
ANDRES SORIANO MEMORIAL COLLEGE,0.00%
ANGELES UNIVERSITY FOUNDATION,55.56%
"ANTONIO R. PACHECO COLLEGE, INC",45.00%
ARAULLO UNIVERSITY,65.00%
ARELLANO UNIVERSITY - MANDALUYONG,16.67%
ARELLANO UNIVERSITY-MALABON,33.33%
ARELLANO UNIVERSITY-PASIG,36.36%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,26.97%
BAGO CITY COLLEGE,34.17%
BAGUIO CENTRAL UNIVERSITY,78.26%
BALABAGAN TRADE SCHOOL,23.08%
BALITE INSTITUTE OF TECHNOLOGY,33.33%
BASILAN STATE COLLEGE,27.71%
BATAAN HEROES MEMORIAL COLLEGE,61.54%
BATANGAS STATE UNIVERSITY - ALANGILAN,100.00%
BATANGAS STATE UNIVERSITY (for. JPLPC)-MALVAR,58.33%
BATANGAS STATE UNIVERSITY- ARASOF-NASUGBU,58.33%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),25.00%
BESTLINK COLLEGE OF THE PHILS(FOR BESTLINK INST OF IT),34.73%
BICOL COLLEGE,50.54%
BOHOL INSTITUTE OF TECHNOLOGY-JAGNA,40.74%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,35.71%
BOHOL INSTITUTE OF TECHNOLOGY-TALIBON,28.00%
BOHOL NORTHERN STAR COLLEGE,36.36%
BUENAVISTA COMMUNITY COLLEGE,50.00%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,35.00%
CAGAYAN DE ORO COLLEGE,83.33%
CAGAYAN STATE UNIVERSITY- ANDREWS CAMPUS(TUG),0.00%
CAGAYAN STATE UNIVERSITY- APARRI,67.39%
CAGAYAN STATE UNIVERSITY- GONZAGA,58.33%
CAGAYAN STATE UNIVERSITY- PIAT,33.33%
CAGAYAN STATE UNIVERSITY- SANCHEZ MIRA,50.00%
CAGAYAN VALLEY COLLEGES OF QUIRINO,0.00%
CAGAYAN VALLEY COLLEGES OF TUGUEGARAO,38.46%
"CALAYAN EDUCATIONAL FOUNDATION INC.(for.
MED.CTR.LUCENA)",75.00%
"CAMARINES NORTE SCHOOL OF LAWS, ARTS & SCIENCES",43.42%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),78.26%
CAPIZ STATE UNIVERSITY - PONTEVEDRA CAMPUS,100.00%
CAPIZ STATE UNIVERSITY (PANAY SPC)-DAYAO CAMPUS,43.94%
CAPIZ STATE UNIVERSITY (PANAY SPC)-DUMARAO,15.38%
CARLOS HILADO STATE COLLEGE OF FISHERIES-BINALBAGAN,24.53%
"CARTHEL SCIENCE
EDUCATIONAL FOUNDATION,INC. (for.OLRA)",100.00%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),87.50%
CAVITE WEST POINT COLLEGE,44.44%
CEBU MARY IMMACULATE COLLEGE,0.00%
CEBU ROOSEVELT MEMORIAL COLLEGES,25.81%
"CEGUERA TECHNOLOGICAL
COLLEGES,INC(FOR CEGUERA I.S.T.)",0.00%
CENTRAL BICOL STATE UNIV. OF AGRICULTURE-(for.CSSAC)-SIPOC,43.94%
CENTRAL ILOCANDIA COLLEGE OF SCIENCE & TECHNOLOGY,27.40%
"CENTRAL LUZON COLLEGE OF
SCIENCE & TECHNOLOGY- OLONGAPO",0.00%
"CENTRAL LUZON COLLEGE OF
SCIENCE & TECHNOLOGY-SAN FERNANDO",38.30%
CENTRAL MINDANAO COLLEGES,46.43%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A) - MAIN,14.71%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR NSCA) - ILOG,100.00%
"CENTRAL PHILIPPINE STATE
UNIVERSITY -(FOR NSCA) - CANDONI",0.00%
"CENTRAL PHILIPPINE STATE
UNIVERSITY -(FOR NSCA) -SN CARLOS",20.45%
"CENTRAL PHILIPPINE STATE
UNIVERSITY -(FOR NSCA)- HINIGARAN",11.43%
"CENTRAL PHILIPPINE STATE
UNIVERSITY -(FOR NSCA)- VICTORIAS",18.18%
CHRIST THE KING COLLEGE OF MARANDING,27.50%
CHRIST THE KING COLLEGE- GINGOOG CITY,20.00%
CHRISTIAN COLLEGE OF TANAUAN,0.00%
CHRISTIAN POLYTECHNIC INSTITUTE OF CATANDUANES,48.15%
COLAND SYSTEMS TECHNOLOGY - COTABATO CITY,50.00%
COLEGIO DE AMORE,44.12%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),100.00%
COLEGIO DE KIDAPAWAN(for N.COTABATO IT),48.72%
COLEGIO DE LA PURISIMA CONCEPCION,15.79%
COLEGIO DE LAS NAVAS,25.00%
COLEGIO DE SAN ANTONIO DE PADUA,37.25%
COLEGIO DE SAN GABRIEL ARCANGEL,44.44%
"COLEGIO DE SAN JUAN, INC.",25.71%
"COLEGIO DE SAN LORENZO RUIZ DE MANILA, INC.",40.00%
"COLEGIO DE STA. ANA DE
VICTORIAS - NEGROS OCCIDENTAL",60.00%
COLEGIO DE STA. CATALINA DE ALEJANDRIA,40.00%
"COLEGIO DE STA. LOURDES OF LEYTE FOUNDATION, INC",0.00%
COLEGIO DE STO. NIÑO DE JASAAN,27.27%
COLLEGE OF SAINT LAWRENCE,32.26%
COLLEGE OF ST. CATHERINE,83.33%
"COLLEGE OF SUBIC MONTESSORI, INC.-STA ISABEL",23.08%
"COMPUTER ARTS &
TECHNOLOGY SCHOOL-OLD ALBAY",50.00%
CONCEPCION HOLY CROSS COLLEGE,26.92%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),50.00%
CORDILLERA A+ COMPUTER TECHNOLOGY COLLEGE,12.50%
CORDILLERA CAREER DEVELOPMENT COLLEGE,72.50%
"CRIMINAL JUSTICE COLLEGE, INC.",80.00%
CRISTAL e-COLLEGE-PANGLAO CAMPUS,42.86%
"CRONASIA FOUNDATION COLLEGE, INC -GENERAL SANTOS",58.33%
DANIEL B. PENA MEMORIAL COLLEGE FOUNDATION,44.83%
DANSALAN POLYTECHNIC COLLEGE,13.18%
DATA CENTER COLLEGE OF THE PHILIPPINES-BANGUED,35.71%
DATA CENTER COLLEGE OF THE PHILIPPINES-LAOAG CITY,75.86%
DATU IBRAHIM PAGLAS MEMORIAL COLLEGE,11.11%
DAVAO CENTRAL COLLEGE,54.76%
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,38.94%
