SCHOOL,% PASSED
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,0.00%
ADAMSON UNIVERSITY,25.64%
ALDERSGATE COLLEGE,25.00%
ALEJANDRO COLLEGE,0.00%
ANDRES BONIFACIO COLLEGE,33.33%
AURORA STATE COLLEGE OF TECHNOLOGY,0.00%
BATAAN HEROES MEMORIAL COLLEGE,0.00%
"BATAAN PENINSULA STATE UNIVERSITY-
BALANGA (for.BATAAN P.S)",25.00%
"BATANGAS STATE UNIVERSITY-BATANGAS
CITY (PBMIT)",61.29%
BICOL UNIVERSITY- LEGAZPI,25.53%
"BOHOL INSTITUTE OF TECHNOLOGY-
TAGBILARAN CITY",0.00%
"BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)-
TAGBILARAN",75.00%
"BULACAN STATE
UNIVERSITY (for.BCAT)- MALOLOS",38.89%
CAGAYAN DE ORO COLLEGE,0.00%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,80.00%
"CAMARINES SUR POLYTECHNIC
COLLEGE-NABUA",37.50%
"CAMARINES SUR
POLYTECHNIC COLLEGES(BICAT)-NAGA",8.33%
CAMIGUIN POLYTECHNIC STATE COLLEGE,0.00%
"CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN
CAMPUS",26.67%
"CAVITE STATE
UNIVERSITY (CAVITE C.A.T)-ROSARIO",50.00%
CEBU INSTITUTE OF TECHNOLOGY,41.79%
SCHOOL,
,% PASSED
"CEBU STATE COLLEGE OF SCIENCE &
TECHNOLOGY SYSTEM(for.CSAT)",0.00%
CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for.CSCST),66.67%
CENTRAL COLLEGES OF THE PHILIPPINES,16.67%
CENTRAL MINDANAO UNIVERSITY,100.00%
CENTRAL PHILIPPINE UNIVERSITY,71.43%
COLEGIO DE LA PURISIMA CONCEPCION,50.00%
COLEGIO DE SAN JUAN DE LETRAN-CALAMBA,12.50%
"DE LA SALLE UNIVERSITY-
DASMARIÑAS",40.00%
DE LA SALLE UNIVERSITY-LIPA,50.00%
"DE LA SALLE-ARANETA UNIVERSITY,INC (GAUF)",0.00%
DIVINE WORD COLLEGE OF LEGAZPI,71.43%
DIVINE WORD UNIVERSITY-TACLOBAN,0.00%
"DON HONORIO VENTURA
TECHNOLOGICAL STATE UNIVERSITY",33.33%
"DON MARIANO MARCOS MEMORIAL STATE
UNIVERSITY-SAN FERNANDO",38.46%
DR. CARLOS S. LANTING COLLEGE-ALBAY,0.00%
EASTERN SAMAR STATE COLLEGE-BORONGAN,0.00%
"EASTERN VISAYAS
STATE UNIVERSITY (for.LIT)TACLOBAN",47.83%
"EULOGIO (AMANG) RODRIGUEZ INSTITUTE
OF SCIENCE & TECHNOLOGY",37.50%
F. L. VARGAS COLLEGE- ABULUG,50.00%
FAR EASTERN UNIVERSITY-MANILA,0.00%
FEATI UNIVERSITY,0.00%
FEU-EAST ASIA COLLEGE,53.33%
FLORENCIO L. VARGAS COLLEGE-TUGUEGARAO,0.00%
GARCIA COLLEGE OF TECHNOLOGY,81.82%
GOLDEN GATE COLLEGES,14.29%
SCHOOL,
,% PASSED
HOLY ANGEL UNIVERSITY,60.00%
ISABELA STATE UNIVERSITY-ILAGAN,50.00%
"JOSE RIZAL MEMORIAL
STATE UNIVERSITY- DAPITAN",25.00%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION- LA SALLE),100.00%
"LEYTE INSTITUTE OF TECHNOLOGY-ORMOC
CAMPUS",0.00%
LICEO DE CAGAYAN UNIVERSITY,0.00%
"LYCEUM NORTHWESTERN-
DAGUPAN CITY",42.86%
LYCEUM OF ILIGAN FOUNDATION,0.00%
"LYCEUM OF THE
PHILIPPINES UNIVERSITY-MANILA",33.33%
"LYCEUM OF THE PHILIPPINES-LAGUNA
(for.LYCEUM INST.OF TECH)",66.67%
MANUEL L. QUEZON UNIVERSITY,0.00%
"MANUEL S. ENVERGA
UNIV. FOUNDATION- LUCENA CITY",57.14%
MAPUA INSTITUTE OF TECHNOLOGY-MANILA,59.42%
MARIANO MARCOS STATE UNIVERSITY- BATAC,38.89%
MARINDUQUE STATE COLLEGE-BOAC,60.00%
MATS COLLEGE OF TECHNOLOGY,50.00%
"MINDANAO
POLYTECHNIC STATE COLLEGE (DMMMPSC)",0.00%
"MINDANAO STATE UNIVERSITY-GEN.
SANTOS CITY",66.67%
"MINDANAO STATE UNIVERSITY-ILIGAN INSTITUTE OF
TECHNOLOGY",93.33%
"MINDANAO STATE
UNIVERSITY-MARAWI CITY",100.00%
MINDANAO UNIVERSITY OF SCIENCE & TECHNOLOGY-CDO,50.00%
MISAMIS INSTITUTE OF TECHNOLOGY,0.00%
MISAMIS UNIVERSITY- OZAMIS CITY,33.33%
SCHOOL,
,% PASSED
MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-TADIAN,20.00%
"NATIONAL COLLEGE OF SCIENCE & TECHNOLOGY-SAN
FERNANDO",0.00%
NATIONAL UNIVERSITY- MANILA,25.00%
"NAVAL STATE
UNIVERSITY (for.NAVAL INST) BILIRAN",0.00%
NAVAL STATE UNIVERSITY (for.NAVAL INST)-NAVAL,57.14%
"NEGROS ORIENTAL STATE UNIVERSITY
(CVPC)-DUMAGUETE",66.67%
NEW ERA UNIVERSITY,40.00%
"NORTHERN PHILS. COLL. FOR MARITIME & TECHNOLOGICAL
STUDIES",100.00%
"NORTHWEST SAMAR STATE UNIVERSITY (FOR.TIBURCIO
TANCINCO)",66.67%
NORTHWESTERN UNIVERSITY,14.29%
"NOTRE DAME OF DADIANGAS
UNIVERSITY, INC",100.00%
NOTRE DAME OF MARBEL UNIVERSITY,33.33%
NOTRE DAME UNIVERSITY,75.00%
"NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY-
CABANATUAN)",21.43%
"NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY-SAN
ISIDRO)",0.00%
"NUEVA VIZCAYA STATE
UNIVERSITY (NVPC)- BAMBANG",50.00%
PALAWAN STATE UNIVERSITY-P. PRINCESA,35.29%
PAMANTASAN NG LUNGSOD NG MAYNILA,85.71%
"PAMANTASAN NG LUNGSOD NG
VALENZUELA",33.33%
PANGASINAN STATE UNIVERSITY-URDANETA,37.50%
SCHOOL,
,% PASSED
PANPACIFIC UNIVERSITY NORTH PHILIPPINES (PANG.CST),0.00%
PATRIA SABLE CORPUS COLLEGE,0.00%
