SCHOOL,% PASSED
ABADA COLLEGE,100.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- RECTO,100.00%
ABELLANA NATIONAL SCHOOL,0.00%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,66.67%
ACCESS COMPUTER & TECHNICAL COLLEGE-MANILA,75.00%
ADAMSON UNIVERSITY,83.33%
AGRO-INDUSTRIAL FOUNDATION COLLEGES OF THE PHILIPPINES,0.00%
AGUSAN DEL SUR COLLEGE,0.00%
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,100.00%
AKLAN STATE UNIVERSITY-KALIBO,66.67%
ALDERSGATE COLLEGE,100.00%
ALEJANDRO COLLEGE,100.00%
AMA COMPUTER COLLEGE- DAVAO CITY,0.00%
AMA COMPUTER COLLEGE- LEGAZPI CAMPUS,100.00%
AMA COMPUTER LEARNING COLLEGE-DAET,0.00%
"AMA COMPUTER UNIVERSITY- PROJ. 8, QC",0.00%
AMANDO COPE COLLEGE,0.00%
ANDRES BONIFACIO COLLEGE,66.67%
ANDRES SORIANO MEMORIAL COLLEGE,100.00%
ANGELES UNIVERSITY FOUNDATION,100.00%
AQUINAS UNIVERSITY,100.00%
ARELLANO UNIVERSITY-PASIG,100.00%
AURORA STATE COLLEGE OF TECHNOLOGY,77.78%
BAGO CITY COLLEGE,100.00%
BALANGA COMMUNITY COLLEGE,100.00%
BALICUATRO COLLEGE OF ARTS & TRADES,100.00%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),100.00%
BANTAYAN SOUTHERN INSTITUTE,100.00%
BATAAN HEROES MEMORIAL COLLEGE,66.67%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),72.41%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,100.00%
BATANGAS STATE UNIVERSITY - LIPA,100.00%
BATANGAS STATE UNIVERSITY - ROSARIO,100.00%
BATANGAS STATE UNIVERSITY - ALANGILAN,92.11%
BATANGAS STATE UNIVERSITY - BALAYAN,40.00%
BATANGAS STATE UNIVERSITY (for. JPLPC)-MALVAR,25.00%
BATANGAS STATE UNIVERSITY- ARASOF-NASUGBU,100.00%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),85.71%
BENGUET CENTRAL COLLEGE,0.00%
BENGUET STATE UNIVERSITY-LA TRINIDAD,0.00%
BESTLINK COLLEGE OF THE PHILS(FOR BESTLINK INST OF IT),0.00%
BETI COLLEGE OF TECHNOLOGY,33.33%
BICOL STATE COLLEGE OF APPLIED SCIENCES AND TECH- (FOR CSPC),74.07%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,63.16%
BICOL UNIVERSITY-LEGAZPI,88.64%
BICOL UNIVERSITY-POLANGUI,50.00%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,50.00%
BOHOL INSTITUTE OF TECHNOLOGY-TALIBON,0.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- CALAPE,83.33%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- CANDIJAY,50.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- CLARIN,100.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,80.00%
BOHOL NORTHERN STAR COLLEGE,0.00%
BULACAN COMMUNITY COLLEGE,100.00%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,69.23%
CABANATUAN CITY COLLEGES,100.00%
CAGAYAN DE ORO COLLEGE,71.43%
CAGAYAN STATE UNIVERSITY- ANDREWS CAMPUS(TUG),0.00%
CAGAYAN STATE UNIVERSITY- CARITAN,0.00%
