SCHOOL,% PASSED
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,33.33%
ADAMSON UNIVERSITY,60.00%
ALDERSGATE COLLEGE,50.00%
ALEJANDRO COLLEGE,0.00%
AMA COMPUTER COLLEGE- DAVAO CITY,0.00%
ANDRES BONIFACIO COLLEGE,25.00%
ATENEO DE DAVAO UNIVERSITY,100.00%
AURORA STATE COLLEGE OF TECHNOLOGY,0.00%
BATAAN HEROES MEMORIAL COLLEGE,0.00%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),28.13%
BATANGAS STATE UNIVERSITY - ALANGILAN,66.67%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),88.31%
BICOL STATE COLLEGE OF APPLIED SCIENCES AND TECH- (FOR CSPC),32.14%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,0.00%
BICOL UNIVERSITY-LEGAZPI,38.89%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,0.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,85.00%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,36.17%
CAGAYAN DE ORO COLLEGE,25.00%
CAGAYAN STATE UNIVERSITY- CARITAN,0.00%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,0.00%
CAMARINES NORTE STATE COLLEGE-DAET,20.00%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,0.00%
CAMIGUIN POLYTECHNIC STATE COLLEGE,66.67%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,33.33%
"CARAGA STATE UNIVERSITY- CABADBARAN, AGUSAN DEL NORTE",0.00%
CAVITE STATE UNIVERSITY (CAVITE C.A.T)-ROSARIO,50.00%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),40.00%
CEBU INSTITUTE OF TECHNOLOGY,56.25%
CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for.CSCST),29.63%
CEBU TECHNOLOGICAL UNIVERSITY-TUBURAN (for.CSCST),0.00%
CENTRAL COLLEGES OF THE PHILIPPINES,30.00%
CENTRAL MINDANAO UNIVERSITY,66.67%
CENTRAL PHILIPPINE UNIVERSITY,75.00%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),10.00%
COLEGIO DE LA PURISIMA CONCEPCION,0.00%
COLEGIO DE SAN ANTONIO DE PADUA,60.00%
COLEGIO DE SAN JUAN DE LETRAN-ABUCAY,50.00%
COLEGIO DE SAN JUAN DE LETRAN-CALAMBA,28.57%
COLUMBAN COLLEGE-OLONGAPO CITY,16.67%
COMPUTER ARTS & TECHNOLOGY SCHOOL-OLD ALBAY,0.00%
DE LA SALLE UNIVERSITY- DASMARIÑAS,66.67%
DE LA SALLE UNIVERSITY-LIPA,100.00%
DEVERA INSTITUTE OF TECHNOLOGY,0.00%
DIVINE WORD COLLEGE OF LAOAG,25.00%
DIVINE WORD COLLEGE OF LEGAZPI,11.11%
DMMA COLLEGE OF SOUTHERN PHILIPPINES (for.DAVAO MERCHANT MA),0.00%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,15.00%
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY- SAN FERNANDO,40.00%
DON MARIANO MARCOS STATE U- OPEN UNIVERSITY,0.00%
DR. CARLOS S. LANTING COLLEGE-ALBAY,0.00%
EASTERN SAMAR STATE UNIVERSITY - BORONGAN,15.79%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-ORMOC CAMPUS,33.33%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,19.44%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,0.00%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,23.08%
FAR EASTERN UNIVERSITY- MANILA,0.00%
FAR EASTERN UNIVERSITY- NICANOR REYES MEDICAL FOUNDATION,0.00%
FEATI UNIVERSITY,0.00%
FEU-INSTITUTE OF TECHNOLOGY(FOR. FEU-EAST ASIA COLL),62.22%
FLORENCIO L. VARGAS COLLEGE- ABULUG,0.00%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,25.00%
GARCIA COLLEGE OF TECHNOLOGY,80.00%
GOLDEN GATE COLLEGES,30.00%
HOLY ANGEL UNIVERSITY,80.00%
ILOILO SCIENCE & TECH. UNIV.(FOR WVCST)-MAIN CAMPUS,40.00%
