SCHOOL,%PASSED
"ABRA ST ATEINST. Of  SCIENCE &
TECH.(ABRA IST)-8ANGUEO",50.00%
ADAMSON UNIVERSITY,46.88%
ALOERSGATE COU.EGE,14.29%
ANDRESBONIFACIO COLLEGE,36.00%
ATENEO OE DAVAOUNIVERSITY,50.00%
"BALUI AGUNIVERSITY (8AUUAG
COUEGES)",50.00%
"BATAAN HEROES MEMORIAL
COUEGE",22.22%
"BATAANPENINSULA STATE
UNIVERSrTY- -MAINCAMPUS",60.00%
"BATANGASSTATE UNfVERSITY •
ALANGILAN",68.45%
"BICOl. STATECOLLEGE Of
APPUE.D sere.ices & TECH.",62.90%
"BICOl. UNIVERSITY INO't
TECH.(BUCIT)<.EGAZPI",37.50%
BICOl. UNIVERSITY-LEGAZPI,42.86%
"BOHOLINSTITUTE OF
TECHNOLOOY-TAGBI.ARAN",20.00%
BOHOLISLAND STATE UNIVERSITY-TAGSILARAN,85.29%
"BULACAN STATE UNIVERSITY (-
MALOLOS",64.21%
CA.GAVAN OEOROCOLLEGE,67.86%
CA.GAVAN STATE UNrvE.RSrTV• TUGUE GARAO,65.22%
"CA.GAVAN VALLEY COLLEGES Of
TUGUEGARAO",0.00%
CAM&.RINESNORTE STATE COUEGE-OAET,65.63%
CAM&.RINES SUR POLYTECHNIC COUEGE-NABUA,44.90%
"CAMIGUIN POLYTECHNIC STATE
COUEGE",26.32%
"CAPIZ STATE UNN'ERSITY
(CITXPSPC}MAIN CAMPUS",56.52%
"CA.RAGA STATE UNIVERSITY• CABADBARAN, AGUSAN DEL
NORTE",75.00%
"CAVITESTATEUNIVERSITY(DON
SEVERINO AGR\.. COlL)",87.50%
"CEBU INSTITUTE Of
TECHNOLOGY· UNIVERSITY",59.18%
CEBU STATE COi.LEGE Of SCIENCE&TECHNOLOOY SYSTEM,0.00%
"CEBU TECHNOLOGICAL
UNIVERSrTY-OANAO(for.CSCST)",66.67%
"CEBU TECHNOLOGICAL
UNIVERSrTY--MAIN (b'  .CSCST)",35.00%
"CEBU TECHNOLOGICAL
UNIVERSITY•TUBURAN(for.CSCST)",100.00%
"CENTRAL COi.LEGE$ OF THE
PHL  IPPINES",0.00%
CENTRALMINDANAOUNM. RSITY,71.74%
CENTRALPHILIPPINE UNN'ERSITY,93.33%
CENTRALPHILIPPINES STATE UNIVERSrTY-•MAIN  CAMPUS,60.00%
"COLEGIOOE OAGUPAN
(fo<.CO t,l>UTRONIXCOU)",40.00%
COLEGIO OE LAPURISIMA CONCEPCION,16.67%
"COLEGIO OE SAN ANTONIO OE
PADUA",50.00%
COLEGIOOE SAN GABRIEL ARCANGEL,66.67%
"COLEGIOOE SAN JUAN OE
LETRAN-CAlAMBA",40.00%
"COLEGIO OE SAN JUAN OE
LETRAN-INTRAMUROS",66.67%
"COLUMBANCOLLEGE-OLONGAPO
CITY",33.33%
"COMPUTER ARTS &
TECHNOLOGY SCHOOL-OLD ALBAY",0.00%
"OE LA SALLEUNIVERSITY•
DASMARl AS",57.69%
OE LA SALLEUNIVERSITY-LIPA,48.10%
DEVERAINSTITUTEOF TECHNOLOGY,0.00%
"DIVINE WORDCOLLEGE OF
BANGUED",0.00%
DIVINE WORDCOLLEGE OF LAOAG,0.00%
"DIVINE WORDCOLLEGE OF
LEGAZPI",36.84%
DONBOSCO COLLEGE-MAKATI,0.00%
DONBOSCO TECHNOLOGY CENTER-CEBU CITY,0.00%
DONHONORIO VENTURA TECHNOLOGICAL STATE UNfV.,17.65%
DONMARIANO MARCOS STATE UNIVERSITY-OPENUNIVERSITY,0.00%
EASTERN SAMAA STATE UNIVERSITY.SORONGAN,54.56%
EASTERNVISAYAS STATE UNrv. (FOR.L.1.T.)-ORMOC CAMPtJS,25.00%
EASTERNVISAYAS STATE UNIVERSITY(for.l.lT)TACLOBAN,28.57%
EMl..10AGUINALDO COLLEGE· DASMARl AS,50.00%
"EULOOIO(AMANG) RODRIGUEZ
INSTITUTE Of  SCIENCE & TECH.",22.86%
"FAR EASTERNUNIVERSITY•
MANILA",50.00%
FEATI UN IVERSITY,50.00%
"FEUINSTITUTEOF TECHNOLOGY
(fo<FEU-E.A.C. )",70.91%
FLORENCIO L. VARGASCOLLEGE· TUGUEGARAO,7.69%
"GARCIA COLLEGE OF
TECHNOLOGY",53.97%
GOLDENGATE COLLEGES,0.00%
HOLY ANGELUNIVERSITY,58.97%
"ILOl.0   SCIENCE& TECHNOLOGY UNIVERSrTY(FOAW.V.C.S.T.·MAIN
ll",58.90%
"ISABEtA STATEUNIVERSITY·
ILAGAN",52.05%
JOSE RIZALMEMORIAL STATE UNIVERSrTY-OAPITAN,52.63%
"LA PATRIACOU. INC.(FOR
PATRIASABLECORPUS COLL INC.l",48.28%
"LA SALLE UNJVERSITY
(for.Ml  MA.CONCEPCK>N-LA SALLE)",85.71%
LAGUNA STATE POLYTECHNIC UNIVERSITY·SANPABLO(LSPC),47.62%
LAGUNA STATEPOLYTECHNIC UNIVERSITY-STAT. CRUZ(LSPC),26.92%
LICEO OECAGAYAN UNIVERSITY,23.81%
LYCEUM NORTHWESTERN UNIVERSITY-OAGUPANCITY,0.00%
LYCEUMOFALABANG (for. NCST),0.00%
LYCEUM OFIUGANFOUNDATION,0.00%
LYCEUM OF THE PHILIPPINES· CAVITE,90.00%
LYCEUM OF THE PHILIPPINES UNIVERSITY-MANI.A,0.00%
LYCEUM OF THE PHILIPPINES- LAGUNA,66.67%
