SCHOOL,% PASSED
ADAMSON UNIVERSITY,18.07%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,20.00%
AEMILIANUM INSTITUTE,0.00%
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,0.00%
"AMA COMPUTER COLLEGE DASMARINAS, CAVITE, INC.",0.00%
"AMA COMPUTER COLLEGE-BINAN, LAGUNA",0.00%
AMA COMPUTER COLLEGE- CALAMBA,0.00%
AMA COMPUTER COLLEGE- DAVAO CITY,0.00%
AMA COMPUTER COLLEGE-EAST RIZAL,0.00%
AMA COMPUTER COLLEGE- LEGAZPI CAMPUS,0.00%
AMA COMPUTER COLLEGE-LIPA CITY,0.00%
AMA COMPUTER COLLEGE- MAKATI CITY,0.00%
AMA COMPUTER COLLEGE- OLONGAPO CITY,0.00%
"AMA COMPUTER COLLEGE-SAN FERNANDO, PAMPANGA",0.00%
AMA COMPUTER COLLEGE- SANTIAGO CITY,100.00%
AMA COMPUTER COLLEGE- TACLOBAN,0.00%
AMA COMPUTER COLLEGE- TARLAC CITY,0.00%
"AMA COMPUTER UNIVERSITY- PROJ. 8, QC",25.00%
ANDRES BONIFACIO COLLEGE,0.00%
ANGELES UNIVERSITY FOUNDATION,0.00%
AQUINAS UNIVERSITY,25.00%
ASIA PACIFIC COLLEGE,33.33%
ATENEO DE DAVAO UNIVERSITY,45.45%
ATENEO DE MANILA UNIVERSITY- Q.C.,100.00%
ATENEO DE NAGA UNIVERSITY,41.18%
ATENEO DE ZAMBOANGA,0.00%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),0.00%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),30.77%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),33.33%
BICOL UNIVERSITY-POLANGUI,33.33%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,0.00%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,41.27%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,55.56%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,22.22%
CAMARINES SUR POLYTECHNIC COLLEGES(BISCAST)-NAGA,28.57%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),27.27%
CARAGA STATE UNIVERSITY- BUTUAN CITY,50.00%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),28.57%
CEBU INSTITUTE OF TECHNOLOGY,22.22%
CENTRAL COLLEGES OF THE PHILIPPINES,20.00%
CENTRAL PHILIPPINE UNIVERSITY,50.00%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),13.16%
COLEGIO DE SAN JUAN DE LETRAN-ABUCAY,50.00%
COLEGIO DE SAN JUAN DE LETRAN-CALAMBA,11.11%
COLEGIO SAN AGUSTIN-BACOLOD CITY,25.00%
COLLEGE OF TECHNOLOGICAL SCIENCES-CEBU,0.00%
COLUMBAN COLLEGE-OLONGAPO CITY,22.22%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),42.86%
DE LA SALLE UNIVERSITY- DASMARIÑAS,55.56%
DE LA SALLE UNIVERSITY-LIPA,39.13%
DE LA SALLE UNIVERSITY-MANILA,52.34%
DIVINE WORD COLLEGE OF CALAPAN,33.33%
DON BOSCO TECHNICAL COLLEGE-MANDALUYONG,35.29%
"DON BOSCO TECHNOLOGY CENTER- PUNTA PRINCESA,CEBU",46.15%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,24.14%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,23.64%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,0.00%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,30.00%
FAR EASTERN UNIVERSITY- MANILA,0.00%
FEATI UNIVERSITY,0.00%
FELLOWSHIP BAPTIST COLLEGE,25.00%
FEU-INSTITUTE OF TECHNOLOGY(FOR. FEU-EAST ASIA COLL),40.79%
FILAMER CHRISTIAN COLLEGE,0.00%
FIRST ASIA INSTITUTE OF TECHNOLOGY & HUMANITIES,71.43%
FULLBRIGHT COLLEGE,18.18%
GRACE CHRISTIAN COLLEGE - QC,0.00%
HOLY ANGEL UNIVERSITY,31.82%
HOLY CROSS OF DAVAO COLLEGE,30.00%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),25.00%
"ICCT COLLEGES FOUNDATION,INC(INST.OF CREATIVE COMP TECH INC)",0.00%
JOHN PAUL II COLLEGE,0.00%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION-LA SALLE),38.46%
LAGUNA STATE POLYTECHNIC UNIV-SN PABLO(LSPC),40.00%
LAGUNA STATE POLYTECHNIC UNIV-STA CRUZ (LSPC),36.36%
LICEO DE CAGAYAN UNIVERSITY,20.00%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,25.00%
LYCEUM OF NORTHERN LUZON,0.00%
"LYCEUM OF THE PHILIPPINES - GEN TRIAS, CAVITE",40.00%
"LYCEUM OF THE PHILIPPINES UNIVERSITY-BATANGAS,INC",60.00%
LYCEUM OF THE PHILIPPINES UNIVERSITY-MANILA,0.00%
LYCEUM OF THE PHILIPPINES- LAGUNA (for.LYCEUM INST.OF TECH),33.33%
"LYCEUM SUBIC BAY, INC.",50.00%
MALAYAN COLLEGES LAGUNA,46.67%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,0.00%
MAPUA INSTITUTE OF TECHNOLOGY-MANILA,50.39%
MARIANO MARCOS STATE UNIVERSITY-BATAC,15.79%
MARINDUQUE STATE COLLEGE- BOAC,25.00%
MATS COLLEGE OF TECHNOLOGY,42.86%
MICROCITY COMPUTER COLLEGES FOUNDATION,0.00%
MINDANAO POLYTECHNIC STATE COLLEGE (DMMMPSC),100.00%
MINDANAO STATE UNIVERSITY- (MAIGO SAT),0.00%
MINDANAO STATE UNIVERSITY- GEN. SANTOS CITY,61.11%
MINDANAO STATE UNIVERSITY- ILIGAN INSTITUTE OF TECHNOLOGY,53.57%
MINDANAO STATE UNIVERSITY- MARAWI CITY,100.00%
MINDANAO UNIVERSITY OF SCIENCE & TECHNOLOGY-CDO,61.54%
MINDANAO UNIVERSITY OF SCIENCE AND TECHNOLOGY,0.00%
NATIONAL COLLEGE OF SCIENCE & TECHNOLOGY-DASMARINAS,0.00%
NATIONAL UNIVERSITY-MANILA,28.57%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,83.33%
NEW ERA UNIVERSITY,27.27%
NORTHWEST SAMAR STATE UNIVERSITY (FOR.TIBURCIO TANCINCO),0.00%
NORTHWESTERN UNIVERSITY,0.00%
"NOTRE DAME OF DADIANGAS UNIVERSITY, INC",30.00%
NOTRE DAME OF KIDAPAWAN COLLEGE,100.00%
NOTRE DAME OF MARBEL UNIVERSITY,20.00%
NOTRE DAME UNIVERSITY,50.00%
NUEVA VIZCAYA STATE UNIVERSITY (NVPC)-BAMBANG,0.00%
PAMANTASAN NG CABUYAO,100.00%
PAMANTASAN NG LUNGSOD NG MAYNILA,47.06%
PAMANTASAN NG LUNGSOD NG PASIG,25.00%
PANPACIFIC UNIVERSITY NORTH PHILIPPINES (PANG.CST),0.00%
PATRIA SABLE CORPUS COLLEGE,16.67%
PHILIPPINE COLLEGE OF SCIENCE & TECHNOLOGY- CALASIAO,0.00%
POLYTECHNIC INSTITUTE OF TABACO,0.00%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-BATAAN,33.33%
