SCHOOL,% PASSED
ABADA COLLEGE,15.63%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- CABANATUAN,0.00%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,7.34%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-LAGANGILANG,10.00%
ABRA VALLEY COLLEGE,6.67%
ABUBAKAR COMPUTER LEARNING CENTER,0.00%
ABUYOG COMMUNITY COLLEGE,6.00%
ACADEMIA DE SAN LORENZO DEMA-ALA,0.00%
ACES TAGUM COLLEGE,11.76%
ADAMSON UNIVERSITY,37.50%
ADELPHI COLLEGE,10.94%
ADIONG MEMORIAL COLLEGE FOUNDATION,0.00%
ADIONG MEMORIAL POLYTECHNIC STATE COLLEGE,3.64%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,33.33%
AEMILIANUM INSTITUTE,0.00%
"AGONCILLO COLLEGE, INC",6.67%
AGRO-INDUSTRIAL FOUNDATION COLLEGES OF THE PHILIPPINES,0.00%
AGUSAN COLLEGES,3.70%
AGUSAN DEL SUR COLLEGE,1.27%
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,9.17%
AGUSAN INSTITUTE OF TECHNOLOGY,10.00%
AJUY POLYTECHNIC COLLEGE,0.00%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,11.54%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,4.76%
AKLAN STATE UNIVERSITY-IBAJAY,3.85%
AKLAN STATE UNIVERSITY- NATIONAL COLLEGE OF FISHERIES,0.00%
AKLAN STATE UNIVERSITY-NEW WASHINGTON,0.00%
ALANGALANG AGRO INDUSTRIAL SCHOOL,0.00%
ALDERSGATE COLLEGE,0.00%
ALEJANDRO COLLEGE,0.00%
"ALEMARZ SCH. OF SCIENCE & TECH FOUND INC.- VALENCIA,BUKIDNON",0.00%
ALFELOR SR. MEMORIAL COLLEGE,6.06%
ALITAGTAG COLLEGE,0.00%
"ALPHA CENTAURI EDUCATIONAL SYSTEM, INC.-LUCENA CITY",0.00%
ALTAVAS COLLEGE,0.00%
AMANDO COPE COLLEGE,0.00%
ANDRES BONIFACIO COLLEGE,21.05%
ANDRES SORIANO COLLEGE,6.38%
ANDRES SORIANO MEMORIAL COLLEGE,18.18%
ANGELES UNIVERSITY FOUNDATION,0.00%
ANNUNCIATION COLLEGE,0.00%
"ANTONIO R. PACHECO COLLEGE, INC",2.34%
APAYAO STATE COLLEGE- CONNER,2.86%
APAYAO STATE COLLEGE-LUNA CAMPUS,15.38%
