SCHOOL,% PASSED
ABADA COLLEGE,9.46%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,15.69%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-LAGANGILANG,22.35%
ABRA VALLEY COLLEGE,5.13%
ABUBAKAR COMPUTER LEARNING CENTER,0.00%
ABUYOG COMMUNITY COLLEGE,13.13%
ACADEMIA DE SAN LORENZO DEMA-ALA,11.11%
ACES TAGUM COLLEGE,20.93%
ADAMSON UNIVERSITY,53.33%
ADELPHI COLLEGE,2.70%
ADIONG MEMORIAL COLLEGE FOUNDATION,0.00%
ADIONG MEMORIAL POLYTECHNIC STATE COLLEGE,1.39%
"ADVENTIST COLLEGE OF TECHNOLOGY,INC.(FOR MATUTUM VIEW CH.)",2.94%
"ADVENTIST MED. CENTER COLL.- ILIGAN CITY,INC(MSHC, INC)",0.00%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,45.00%
AEMILIANUM INSTITUTE,2.70%
"AGONCILLO COLLEGE, INC",21.43%
AGRO-INDUSTRIAL FOUNDATION COLLEGES OF THE PHILIPPINES,0.00%
AGUSAN COLLEGES,5.43%
AGUSAN DEL SUR COLLEGE,16.96%
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,43.58%
AGUSAN INSTITUTE OF TECHNOLOGY,0.00%
AJUY POLYTECHNIC COLLEGE,0.00%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,20.69%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,38.55%
AKLAN STATE UNIVERSITY-IBAJAY,41.24%
AKLAN STATE UNIVERSITY- NATIONAL COLLEGE OF FISHERIES,0.00%
AKLAN STATE UNIVERSITY-NEW WASHINGTON,0.00%
AL BANGSAMORO SHARI'AH AND PROFESSIONAL EDUC. COLL - MARAWI,0.00%
ALDERSGATE COLLEGE,16.67%
ALEJANDRO COLLEGE,0.00%
"ALEMARZ SCH. OF SCIENCE & TECH FOUND INC.- VALENCIA,BUKIDNON",0.00%
ALFELOR SR. MEMORIAL COLLEGE,12.79%
"ALPHA CENTAURI EDUCATIONAL SYSTEM, INC.-LUCENA CITY",25.00%
ALTAVAS COLLEGE,6.67%
AMA COMPUTER COLLEGE- LUCENA CITY,0.00%
"AMA COMPUTER COLLEGE-SAN FERNANDO, PAMPANGA",100.00%
AMANDO COPE COLLEGE,45.00%
ANDRES BONIFACIO COLLEGE,16.67%
ANDRES SORIANO COLLEGE,10.77%
ANDRES SORIANO MEMORIAL COLLEGE,22.41%
ANGELES UNIVERSITY FOUNDATION,53.33%
ANNUNCIATION COLLEGE,4.35%
"ANTONIO R. PACHECO COLLEGE, INC",3.16%
APAYAO STATE COLLEGE- CONNER,12.77%
APAYAO STATE COLLEGE-LUNA CAMPUS,11.83%
AQUINAS UNIVERSITY,30.43%
ARAULLO UNIVERSITY,19.52%
ARELLANO UNIVERSITY - MANDALUYONG,0.00%
ARELLANO UNIVERSITY-MALABON,22.22%
ARELLANO UNIVERSITY-MANILA,15.38%
ARELLANO UNIVERSITY-PASAY,0.00%
ARELLANO UNIVERSITY-PASIG,13.33%
"ARRIESGADO COLLEGE FOUNDATION, INC.",47.83%
AS - SALIHEIN INTEGRATED SCHOOL FOUNDATION-LANAO,11.11%
ASBURRY COLLEGE,15.29%
"ASIA COLLEGE OF ADVANCE STUDIES IN ARTS, SCIENCES & TECH.",1.99%
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,0.00%
ASIA SCHOOL OF ARTS & SCIENCES,9.52%
ASIAN COLLEGE OF SCIENCE & TECHNOLOGY-BALIUAG,0.00%
ASIAN COLLEGE OF SCIENCE & TECHNOLOGY-CDO,25.00%
ASIAN COLLEGE OF TECHNOLOGY,32.00%
ASIAN COLLEGES AND TECHNOLOGICAL INST. INC- NORTH COTABATO,0.00%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,9.26%
ASIAN INSTITUTE OF TECHNOLOGY AND EDUCATION,0.00%
ASIAN SEMINARY OF CHRISTIAN MINISTRIES,100.00%
ASSUMPTION COLLEGE OF DAVAO,31.25%
ASSUMPTION COLLEGE OF NABUNTURAN,41.67%
ASSUMPTION COLLEGE-MAKATI,100.00%
ATENEO DE DAVAO UNIVERSITY,90.00%
ATENEO DE NAGA UNIVERSITY,70.37%
ATENEO DE ZAMBOANGA UNIVERSITY,57.14%
AURORA PIONEERS MEMORIAL COLLEGE,0.00%
AURORA STATE COLLEGE OF TECHNOLOGY,80.00%
"AVE MARIA COLLEGE - VALLESVILLE-FATIMA, LILOY ZDN",7.14%
BAAO COMMUNITY COLLEGE,22.89%
BACOLOD CITY COLLEGE,58.33%
BAGANGA COLLEGE,0.00%
BAGO CITY COLLEGE,24.35%
BAGUIO BENGUET CHRISTIAN COLLEGES METRO BAGUIO INC.(ICCMBI),23.53%
BAGUIO CENTRAL UNIVERSITY,6.98%
"BAGUIO CITY ACADEMY COLLEGES, INC-BAGUIO CITY,BENGUET",20.00%
BALABAGAN TRADE SCHOOL,0.00%
BALETE COMMUNITY COLLEGE,4.17%
BALITE INSTITUTE OF TECHNOLOGY,0.00%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),14.63%
"BALIWAG POLYTECHNIC COLLEGE-BALIUAG, BULACAN",29.73%
"BALUD MUNICIPAL COLLEGE- BALUD, MASBATE",5.34%
BANTAYAN SOUTHERN INSTITUTE,18.00%
BAPTIST VOICE BIBLE COLLEGE,20.00%
BAROTAC NUEVO POLYTECHNIC COLLEGE,100.00%
BASILAN STATE COLLEGE,7.99%
BATAAN PENINSULA STATE U- ABUCAY(FOR BATAAN NAT'L AGR'L SCH),0.00%
"BATAAN PENINSULA STATE U- DINALUPIHAN-(FOR BATAAN SC,TC)",20.07%
BATAAN PENINSULA STATE UNIVERSITY-BAGAC,8.70%
BATAAN PENINSULA STATE U- ORANI (FOR BPSC),40.51%
BATANES POLYTECHNIC COLLEGE,21.43%
BATANGAS EASTERN COLLEGES(FOR BATAGAS EASTERN ACA.),14.58%
BATANGAS STATE UNIVERSITY - LIPA,0.00%
BATANGAS STATE UNIVERSITY - ROSARIO,26.53%
BATANGAS STATE UNIVERSITY - SAN JUAN,0.00%
BATANGAS STATE UNIVERSITY - ALANGILAN,50.00%
BATANGAS STATE UNIVERSITY (for. JPLPC)-MALVAR,20.00%
BATANGAS STATE UNIVERSITY- ARASOF-NASUGBU,20.45%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),41.67%
BATO INSTITUTE OF SCIENCE & TECHNOLOGY,21.82%
BATUAN COLLEGES INC.,14.29%
BAYAWAN COLLEGE,0.00%
"BENEDICTO COLLEGE, INC.",50.00%
BENGUET STATE UNIVERSITY- BOKOD,32.00%
BENGUET STATE UNIVERSITY- BUGUIAS-LOO,14.81%
BENGUET STATE UNIVERSITY-LA TRINIDAD,51.05%
BERNARDO COLLEGE,4.17%
BESTLINK COLLEGE OF THE PHILS(FOR BESTLINK INST OF IT),21.43%
BICOL COLLEGE,15.03%
"BICOL MERCHANT MARINE COLLEGE, INC.",0.00%
BICOL STATE COLLEGE OF APPLIED SCIENCES AND TECH- (FOR CSPC),45.16%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,100.00%
BICOL UNIVERSITY-DARAGA,55.69%
BICOL UNIVERSITY-GUBAT,48.78%
BICOL UNIVERSITY-LEGAZPI,51.35%
BICOL UNIVERSITY-POLANGUI,49.54%
BICOL UNIVERSITY-TABACO,0.00%
BINALATONGAN COMMUNITY COLLEGE,24.37%
BINALBAGAN CATHOLIC COLLEGE,24.44%
BINANGONAN CATHOLIC COLLEGE,5.88%
"BLANCIA CARREON COLLEGE FOUNDATION, INC.",5.26%
"BLESSED MOTHER COLLEGE, INC",33.33%
BLESSED TRINITY COLLEGE,14.29%
BOHOL INSTITUTE OF TECHNOLOGY-CARMEN,0.00%
BOHOL INSTITUTE OF TECHNOLOGY-JAGNA,24.00%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,12.50%
BOHOL INSTITUTE OF TECHNOLOGY-TALIBON,14.52%
BOHOL INTERNATIONAL LEARNING COLLEGE - BOHOL,0.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- BILAR,68.57%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- CALAPE,58.82%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- CANDIJAY,62.26%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- CLARIN,48.98%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,84.93%
BOHOL NORTHERN STAR COLLEGE,13.46%
BOHOL NORTHWESTERN COLLEGE,14.63%
BOHOL WISDOM COLLEGE,38.10%
"BOTOLAN COMMUNITY COLLEGE - BOTOLAN, ZAMBALES",23.53%
BROKENSHIRE COLLEGE,22.00%
"BROKENSHIRE COLLEGE- SOCSKSARGEN, INC",33.33%
BUBONG MARZOK MEMORIAL COLLEGE FOUNDATION,0.00%
BUCAS GRANDE FOUNDATION COLLEGE,9.76%
BUENAVISTA COMMUNITY COLLEGE,33.93%
BUKIDNON MIDLAND COLLEGE,0.00%
BUKIDNON STATE COLLEGE (EXTERNAL STUDIES) TANDAG,0.00%
BUKIDNON STATE UNIVERSITY- (FOR BUKIDNON STATE COLL)- MAIN,29.43%
BUKIG NATIONAL AGRICULTURAL & TECHNICAL SCHOOL,0.00%
BULACAN AGRICULTURAL STATE COLLEGE,33.33%
BULACAN STATE UNIVERSITY - HAGONOY,24.00%
BULACAN STATE UNIVERSITY - MENESES CAMPUS,8.11%
BULACAN STATE UNIVERSITY - SARMIENTO CAMPUS,24.71%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,33.69%
BULACAN STATE UNIVERSITY- BUSTOS,18.29%
