SCHOOL,% PASSED
ADAMSON UNIVERSITY,78.95%
ANDRES BONIFACIO COLLEGE,0.00%
ATENEO DE DAVAO UNIVERSITY,100.00%
AURORA STATE COLLEGE OF TECHNOLOGY,50.00%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),0.00%
BATAAN HEROES MEMORIAL COLLEGE,25.00%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),44.19%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,0.00%
BATANGAS STATE UNIVERSITY - ALANGILAN,100.00%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),98.51%
BICOL STATE COLLEGE OF APPLIED SCIENCES AND TECH- (FOR CSPC),33.33%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,0.00%
BICOL UNIVERSITY-LEGAZPI,80.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,75.00%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,43.48%
CAGAYAN DE ORO COLLEGE,60.00%
CAMARINES NORTE STATE COLLEGE-DAET,0.00%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,50.00%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),100.00%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,75.00%
CEBU INSTITUTE OF TECHNOLOGY,54.88%
CEBU STATE COLLEGE OF SCIENCE & TECHNOLOGY SYSTEM(for.CSAT),66.67%
CEBU TECHNOLOGICAL UNIVERSITY-DANAO (for.CSCST),0.00%
CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for.CSCST),44.12%
CENTRAL COLLEGES OF THE PHILIPPINES,33.33%
CENTRAL MINDANAO UNIVERSITY,100.00%
CENTRAL PHILIPPINE UNIVERSITY,100.00%
COLEGIO DE SAN ANTONIO DE PADUA,33.33%
COLEGIO DE SAN JUAN DE LETRAN-CALAMBA,37.04%
COLEGIO SAN AGUSTIN-BACOLOD CITY,61.11%
DE LA SALLE UNIVERSITY- DASMARIÑAS,50.00%
DE LA SALLE UNIVERSITY-MANILA,88.00%
"DE LA SALLE-ARANETA UNIVERSITY,INC (GAUF)",0.00%
DON BOSCO TECHNICAL COLLEGE-MANDALUYONG,70.00%
"DON BOSCO TECHNOLOGY CENTER- PUNTA PRINCESA,CEBU",66.67%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,23.81%
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY- SAN FERNANDO,53.13%
"DR. YANGA'S COLLEGES, INC",50.00%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-ORMOC CAMPUS,25.00%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,25.93%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,16.67%
FEATI UNIVERSITY,14.29%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,0.00%
FOREIGN UNIVERSITY,100.00%
GARCIA COLLEGE OF TECHNOLOGY,47.62%
GOLDEN GATE COLLEGES,24.00%
HOLY ANGEL UNIVERSITY,75.00%
