SCHOOL,% PASSED
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,37.50%
ADAMSON UNIVERSITY,85.71%
ANDRES BONIFACIO COLLEGE,66.67%
ATENEO DE DAVAO UNIVERSITY,100.00%
AURORA STATE COLLEGE OF TECHNOLOGY,20.00%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),50.00%
BATAAN HEROES MEMORIAL COLLEGE,33.33%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),64.35%
BATANGAS STATE UNIVERSITY - ALANGILAN,89.58%
BICOL STATE COLLEGE OF APPLIED SCIENCES AND TECH- (FOR CSPC),57.75%
BICOL UNIVERSITY IND'L TECH.(BUCIT)-LEGAZPI,66.67%
BICOL UNIVERSITY-LEGAZPI,87.18%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,50.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,83.33%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,77.59%
CAGAYAN DE ORO COLLEGE,80.00%
CAMARINES NORTE STATE COLLEGE-DAET,100.00%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,70.15%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),25.00%
CAPIZ STATE UNIVERSITY (CIT)(PSPC)-MAIN CAMPUS,47.62%
CEBU INSTITUTE OF TECHNOLOGY,66.33%
CEBU TECHNOLOGICAL UNIVERSITY-DANAO (for.CSCST),61.54%
CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for.CSCST),65.57%
CEBU TECHNOLOGICAL UNIVERSITY-TUBURAN (for.CSCST),50.00%
CENTRAL COLLEGES OF THE PHILIPPINES,36.36%
CENTRAL MINDANAO UNIVERSITY,95.00%
CENTRAL PHILIPPINE STATE UNIVERSITY -(FOR N.S.C.A) - MAIN,60.00%
CENTRAL PHILIPPINE UNIVERSITY,85.71%
COLEGIO DE SAN ANTONIO DE PADUA,100.00%
COLEGIO DE SAN JUAN DE LETRAN-CALAMBA,64.71%
COLEGIO SAN AGUSTIN-BACOLOD CITY,65.79%
DE LA SALLE UNIVERSITY- DASMARIÑAS,100.00%
DE LA SALLE UNIVERSITY-MANILA,89.19%
DON BOSCO TECHNICAL COLLEGE-MANDALUYONG,65.00%
"DON BOSCO TECHNOLOGY CENTER- PUNTA PRINCESA,CEBU",65.00%
DON HONORIO VENTURA TECHNOLOGICAL STATE UNIVERSITY,42.86%
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY- SAN FERNANDO,56.63%
"DR. YANGA'S COLLEGES, INC",62.50%
EASTERN VISAYAS STATE UNIV. (for. L.I.T.)-ORMOC CAMPUS,57.69%
EASTERN VISAYAS STATE UNIVERSITY (for.L.I.T.)TACLOBAN,68.42%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,33.33%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,26.67%
FEATI UNIVERSITY,0.00%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,27.27%
GARCIA COLLEGE OF TECHNOLOGY,38.89%
GOLDEN GATE COLLEGES,31.43%
"GREEN VALLEY COLLEGE FOUNDATION, INC",0.00%
HOLY ANGEL UNIVERSITY,88.41%
ILOILO SCIENCE & TECH. UNIV.(FOR WVCST)-MAIN CAMPUS,82.61%
LAGUNA STATE POLYTECHNIC UNIV-STA CRUZ (LSPC),75.00%
"LAGUNA UNIVERSITY-STA CRUZ, LAGUNA",33.33%
LAS PIÑAS COLLEGE,100.00%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,28.57%
"LYCEUM OF THE PHILIPPINES - GEN TRIAS, CAVITE",75.00%
LYCEUM OF THE PHILIPPINES UNIVERSITY-MANILA,0.00%
MALAYAN COLLEGES LAGUNA,97.92%
MANUEL L. QUEZON UNIVERSITY,35.71%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,31.58%
MAPUA INSTITUTE OF TECHNOLOGY-MANILA,82.00%
MARIANO MARCOS STATE UNIVERSITY-BATAC,70.00%
MARINERS POLYTECHNIC COLLEGE FOUNDATION-RAWIS,40.00%
MATS COLLEGE OF TECHNOLOGY,40.00%
MINDANAO POLYTECHNIC COLLEGE,52.17%
MINDANAO STATE UNIVERSITY- GEN. SANTOS CITY,92.00%
MINDANAO STATE UNIVERSITY- MARAWI CITY,68.18%
MINDANAO UNIVERSITY OF SCIENCE & TECHNOLOGY-CDO,95.00%
MISAMIS UNIVERSITY-OZAMIS CITY,66.67%
NATIONAL UNIVERSITY-MANILA,66.67%
NAVAL STATE UNIVERSITY (for.NAVAL INST)-NAVAL,60.00%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,88.24%
NEW ERA UNIVERSITY,62.96%
NORTHERN ILOILO POLYTECHNIC STATE COLLEGE-ESTANCIA,44.44%
NORTHERN PHILS. COLL. FOR MARITIME & TECHNOLOGICAL STUDIES,30.00%
"NORTHERN PHILS. COLL. FOR MARITIME, SCIENCE & TECH (NPMTI)",0.00%
NORTHWEST SAMAR STATE UNIVERSITY (FOR.TIBURCIO TANCINCO),87.50%
NORTHWESTERN UNIVERSITY,33.33%
NOTRE DAME UNIVERSITY,100.00%
NUEVA ECIJA UNIVERSITY OF SCIENCE & TECHNOLOGY- CABANATUAN),59.09%
NUEVA VIZCAYA STATE UNIVERSITY (NVPC)-BAMBANG,88.10%
"PALAWAN POLYTECHNIC COLLEGE, INC.",50.00%
PALAWAN STATE UNIVERSITY-P. PRINCESA,50.00%
PALOMPON INSTITUTE OF TECHNOLOGY-PALOMPON,72.73%
PAMANTASAN NG LUNGSOD NG MAYNILA,96.43%
PANGASINAN STATE UNIVERSITY- URDANETA,100.00%
PHILIPPINE COLLEGE OF SCIENCE & TECHNOLOGY-CALASIAO,36.36%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN-STA. MESA,82.79%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MARAGONDON,74.19%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-TAGUIG,91.30%
