SCHOOL,% PASSED
ABRA VALLEY COLLEGE,12.00%
ABUBAKAR COMPUTER LEARNING CENTER,0.00%
ADAMSON UNIVERSITY,100.00%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,68.75%
AGO FOUNDATION COLLEGE,0.00%
AGO MEDICAL & EDUCATIONAL CENTER-BICOL CHRISTIAN COLL.OF MED,14.29%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,0.00%
AKLAN POLYTECHNIC INSTITUTE,0.00%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,14.29%
ALDERSGATE COLLEGE,30.00%
AMA COMPUTER COLLEGE- BAGUIO CITY,25.00%
AMA COMPUTER COLLEGE- MAKATI CITY,0.00%
AMA SCHOOL OF MEDICINE-EAST RIZAL,60.00%
AMANDO COPE COLLEGE,14.29%
ANDRES BONIFACIO COLLEGE,100.00%
ANGELES UNIVERSITY FOUNDATION,100.00%
AQUINAS UNIVERSITY,40.91%
ARAULLO UNIVERSITY,27.78%
ARELLANO UNIVERSITY-MANILA,33.33%
ARELLANO UNIVERSITY-PASAY,38.46%
ARELLANO UNIVERSITY-PASIG,38.46%
"ARRIESGADO COLLEGE FOUNDATION, INC.",9.26%
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,23.08%
ASIAN COLLEGE OF SCIENCE & TECHNOLOGY-QC,33.33%
ASIAN COLLEGE OF TECHNOLOGY,25.00%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,60.00%
ATENEO DE DAVAO UNIVERSITY,78.57%
ATENEO DE NAGA UNIVERSITY,71.43%
ATENEO DE ZAMBOANGA,80.67%
BACARRA MEDICAL CENTER SCHOOL OF MIDWIFERY & COLL OF NURSING,0.00%
BAGUIO CENTRAL UNIVERSITY,15.63%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),80.00%
BASILAN STATE COLLEGE,14.29%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),28.00%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,17.39%
BATANGAS STATE UNIVERSITY- ARASOF-NASUGBU,22.22%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),100.00%
"BENEDICTO COLLEGE, INC.",14.29%
BENGUET STATE UNIVERSITY-LA TRINIDAD,0.00%
BICOL COLLEGE,33.33%
BICOL UNIVERSITY-DARAGA,0.00%
BICOL UNIVERSITY-LEGAZPI,84.47%
BICOL UNIVERSITY-POLANGUI,46.67%
BICOL UNIVERSITY-TABACO,70.83%
"BLANCIA CARREON COLLEGE FOUNDATION, INC.",18.18%
"BLESSED MOTHER COLLEGE, INC",7.69%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,25.00%
"BRENT HOSPITAL & COLLEGES, INC.-ZAMBOANGA CITY",25.00%
BROKENSHIRE COLLEGE,23.08%
"BROKENSHIRE COLLEGE- SOCSKSARGEN, INC",20.00%
BUKIDNON STATE COLLEGE- MALAYBALAY,16.67%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,0.00%
BUTUAN DOCTORS COLLEGE (BUTUAN DR. HSP. SCH. OF NRSNG.),15.56%
CAGAYAN DE ORO COLLEGE,11.76%
CAGAYAN STATE UNIVERSITY- GONZAGA,25.00%
CALAMBA DOCTORS' COLLEGE(FOR. CDH ALLIED MEDICAL COLLEGES),30.00%
"CALAYAN EDUCATIONAL FOUNDATION INC.(for.
MED.CTR.LUCENA)",12.50%
CALI PARAMEDICAL COLLEGE FOUNDATION,0.00%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,52.00%
CAMIGUIN POLYTECHNIC STATE COLLEGE,33.33%
CANOSSA COLLEGE,50.00%
CAPITOL MEDICAL CENTER COLLEGES,46.15%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),44.79%
CAPIZ STATE UNIVERSITY - PONTEVEDRA CAMPUS,0.00%
"CARTHEL SCIENCE EDUCATIONAL FOUNDATION,INC. (for.OLRA)",0.00%
CATANDUANES STATE UNIVERSITY - VIRAC,86.05%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),50.00%
CEBU CITY MEDICAL CENTER (CC GEN HOSP),92.59%
CEBU DOCTORS UNIVERSITY,93.55%
CEBU INSTITUTE OF TECHNOLOGY,50.00%
CEBU NORMAL UNIVERSITY (CEBU STATE COLLEGE),100.00%
CEBU SACRED HEART COLLEGE,0.00%
CENTRAL COLLEGES OF THE PHILIPPINES,0.00%
CENTRAL ILOCANDIA COLLEGE OF SCIENCE & TECHNOLOGY,20.00%
CENTRAL LUZON COLLEGE OF SCIENCE & TECHNOLOGY- OLONGAPO,10.00%
CENTRAL LUZON COLLEGE OF SCIENCE & TECHNOLOGY-SAN FERNANDO,0.00%
CENTRAL LUZON DOCTOR'S HOSPITAL EDUCATIONAL INSTITUTION,25.00%
CENTRAL PHILIPPINE ADVENTIST COLLEGE,65.22%
CENTRAL PHILIPPINE UNIVERSITY,50.00%
CENTRO ESCOLAR UNIVERSITY- MAKATI,73.08%
CENTRO ESCOLAR UNIVERSITY- MALOLOS,100.00%
