SCHOOL,% PASSED
ABRA VALLEY COLLEGE,37.21%
ABUBAKAR COMPUTER LEARNING CENTER,5.88%
ADAMSON UNIVERSITY,93.75%
"ADVENTIST MED. CENTER COLL.- ILIGAN CITY,INC(MSHC, INC)",50.00%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,75.00%
AGO FOUNDATION COLLEGE,27.27%
"AGO MEDICAL & EDUCATIONAL CENTER-BICOL CHRISTIAN
COLL.OF MED",10.71%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,63.64%
AKLAN POLYTECHNIC INSTITUTE,83.33%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,78.95%
ALDERSGATE COLLEGE,56.25%
AMA COMPUTER COLLEGE- BAGUIO CITY,0.00%
AMA COMPUTER COLLEGE-EAST RIZAL,25.00%
AMA COMPUTER COLLEGE- MAKATI CITY,0.00%
AMA SCHOOL OF MEDICINE-EAST RIZAL,66.67%
AMANDO COPE COLLEGE,47.37%
ANDRES BONIFACIO COLLEGE,100.00%
ANGELES UNIVERSITY FOUNDATION,50.00%
AQUINAS UNIVERSITY,36.36%
ARAULLO UNIVERSITY,33.33%
ARELLANO UNIVERSITY-MANILA,51.52%
ARELLANO UNIVERSITY-PASAY,56.67%
ARELLANO UNIVERSITY-PASIG,70.00%
"ARRIESGADO COLLEGE FOUNDATION, INC.",38.10%
ASIA PACIFIC COLLEGE OF ADVANCED STUDIES,40.00%
ASIAN COLLEGE OF SCIENCE & TECHNOLOGY-QC,40.00%
ASIAN COLLEGE OF TECHNOLOGY,33.33%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,25.00%
ATENEO DE DAVAO UNIVERSITY,66.67%
ATENEO DE NAGA UNIVERSITY,100.00%
ATENEO DE ZAMBOANGA UNIVERSITY,72.73%
BAGUIO CENTRAL UNIVERSITY,37.70%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),66.67%
BASILAN STATE COLLEGE,78.08%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),74.63%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,25.53%
BATANGAS STATE UNIVERSITY- ARASOF-NASUGBU,58.33%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),76.00%
"BENEDICTO COLLEGE, INC.",16.67%
BENGUET STATE UNIVERSITY-LA TRINIDAD,98.51%
BICOL COLLEGE,22.22%
BICOL UNIVERSITY-LEGAZPI,69.23%
BICOL UNIVERSITY-POLANGUI,80.00%
BICOL UNIVERSITY-TABACO,57.14%
"BLANCIA CARREON COLLEGE FOUNDATION, INC.",13.04%
"BLESSED MOTHER COLLEGE, INC",0.00%
BOHOL INSTITUTE OF TECHNOLOGY-TAGBILARAN CITY,50.00%
"BRENT HOSPITAL & COLLEGES, INC.-ZAMBOANGA CITY",38.01%
BROKENSHIRE COLLEGE,35.71%
"BROKENSHIRE COLLEGE- SOCSKSARGEN, INC",75.00%
"BUKIDNON STATE UNIVERSITY- (FOR BUKIDNON STATE COLL)-
MAIN",96.43%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,80.21%
"BUTUAN DOCTORS COLLEGE (BUTUAN DR. HSP. SCH. OF
NRSNG.)",50.00%
CAGAYAN DE ORO COLLEGE,66.67%
"CALAMBA DOCTORS' COLLEGE(FOR. CDH ALLIED
MEDICAL COLLEGES)",70.83%
"CALAYAN EDUCATIONAL FOUNDATION INC.(for.
MED.CTR.LUCENA)",40.00%
CALI PARAMEDICAL COLLEGE FOUNDATION,0.00%
CAMARINES SUR POLYTECHNIC COLLEGE-NABUA,72.22%
CAMIGUIN POLYTECHNIC STATE COLLEGE,0.00%
CANOSSA COLLEGE,62.50%
CAPITOL MEDICAL CENTER COLLEGES,85.00%
CAPITOL UNIVERSITY (for.CAGAYAN CAPITOL COLL.),40.48%
CAPIZ STATE UNIVERSITY - PONTEVEDRA CAMPUS,40.00%
"CARTHEL SCIENCE
EDUCATIONAL FOUNDATION,INC. (for.OLRA)",14.29%
CATANDUANES STATE UNIVERSITY - VIRAC,12.50%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),89.09%
CEBU CITY MEDICAL CENTER (CC GEN HOSP),88.24%
CEBU DOCTORS UNIVERSITY,97.22%
CEBU INSTITUTE OF TECHNOLOGY - UNIVERSITY,70.00%
CEBU NORMAL UNIVERSITY (CEBU STATE COLLEGE),100.00%
CEBU SACRED HEART COLLEGE,50.00%
CENTRAL COLLEGES OF THE PHILIPPINES,100.00%
CENTRAL ILOCANDIA COLLEGE OF SCIENCE & TECHNOLOGY,11.11%
"CENTRAL LUZON COLLEGE OF
SCIENCE & TECHNOLOGY- OLONGAPO",14.29%
CENTRAL LUZON DOCTOR'S HOSPITAL EDUCATIONAL INSTITUTION,79.59%
CENTRAL MINDANAO UNIVERSITY,100.00%
CENTRAL PHILIPPINE ADVENTIST COLLEGE,100.00%
CENTRAL PHILIPPINE UNIVERSITY,95.42%
"CENTRO ESCOLAR LAS PIÑAS, INC. - LAS PINAS",0.00%
CENTRO ESCOLAR UNIVERSITY- MAKATI,75.00%
CENTRO ESCOLAR UNIVERSITY- MALOLOS,75.00%
CENTRO ESCOLAR UNIVERSITY- MANILA,37.50%
CHINESE GENERAL HOSPITAL COLLEGES,100.00%
CHRIST THE KING COLLEGE- GINGOOG CITY,91.67%
CHRIST THE KING OF CALBAYOG,64.10%
CITY COLLEGE OF TAGAYTAY,100.00%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),70.59%
COLEGIO DE KIDAPAWAN(for N.COTABATO IT),42.11%
COLEGIO DE SAN ANTONIO DE PADUA,26.67%
COLEGIO DE SAN JUAN DE LETRAN-CALAMBA,50.00%
"COLEGIO DE SAN LORENZO RUIZ DE MANILA, INC.",22.64%
"COLEGIO DE SANTA MONICA, INC",40.00%
"COLEGIO DE STA. LOURDES OF LEYTE FOUNDATION, INC",91.67%
COLEGIO SAN AGUSTIN- BACOLOD CITY,89.47%
COLLEGE OF MAASIN,94.74%
COLLEGE OF OUR LADY OF MT. CARMEL,57.14%
COLLEGE OF ST. JOHN-ROXAS,45.45%
COLLEGE OF TECHNOLOGICAL SCIENCES-CEBU,0.00%
COLLEGE OF THE HOLY SPIRIT OF MANILA,100.00%
COLLEGE OF THE IMMACULATE CONCEPTION-CABANATUAN,40.00%
COLUMBAN COLLEGE- OLONGAPO CITY,60.00%
CONCORDIA COLLEGE,25.00%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),85.71%
CORDILLERA CAREER DEVELOPMENT COLLEGE,71.43%
"COTABATO FOUNDATION COLLEGE OF SCIENCE &
TECHNOLOGY",0.00%
COTABATO MEDICAL FOUNDATION COLLEGE,33.77%
"DAVAO DOCTORS COLLEGE, INC.",69.90%
DAVAO MEDICAL SCHOOL FOUNDATION,73.68%
"DAVAO ORIENTAL STATE COLLEGE OF SCIENCE &
TECHNOLOGY",71.43%
"DE LA SALLE MED. & HEALTH
SCIENCES INST.(FOR.DLSU- DASMA HSC)",100.00%
DE LA SALLE UNIVERSITY-LIPA,87.50%
"DE LOS SANTOS-STI
COLLEGE,INC-(DELOS SANTOS S.N.)",42.11%
DE OCAMPO MEMORIAL COLLEGE,5.26%
DEE HWA LIONG COLLEGE FOUNDATION,14.29%
"DIPOLOG MEDICAL CENTER COLLEGE FOUNDATION, INC",43.75%
DIVINE WORD COLLEGE OF BANGUED,34.62%
DIVINE WORD COLLEGE OF LAOAG,68.75%
DIVINE WORD COLLEGE OF LEGAZPI,33.33%
DIVINE WORD COLLEGE OF SAN JOSE,0.00%
"DMMA COLLEGE OF SOUTHERN
PHILIPPINES (for.DAVAO MERCHANT MA)",17.65%
"DMMC INSTITUTE OF HEALTH SCIENCES, INC",12.50%
"DOMINICAN COLLEGE-SAN JUAN, MM",57.14%
"DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY-
AGOO",73.47%
DR. CARLOS S. LANTING COLLEGE-Q. C.,45.33%
"DR. DOMINGO B. TAMONDONG
MEM. SCH., INC. SCH. OF MIDWIFERY",11.11%
"DR. GLORIA D. LACSON FOUND.
COLLEGES OF CABANATUAN CITY,INC.",0.00%
"DR. GLORIA D. LACSON FOUNDATION COLLEGES, INC.",26.67%
DR. P. OCAMPO COLLEGES,17.86%
"DR. YANGA'S COLLEGES, INC",55.10%
EASTER COLLEGE INC,64.71%
EASTERN SAMAR STATE UNIVERSITY - BORONGAN,93.33%
EASTERN VISAYAS CENTRAL COLLEGE,20.00%
"EASTWOODS PROFESSIONAL COLLEGE OF SCI & TECH- BALANGA,BATAAN",50.00%
ECUMENICAL CHRISTIAN COLLEGE,16.67%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,51.52%
EMILIO AGUINALDO COLLEGE- MANILA,50.94%
ESCUELA DE NUESTRA SEÑORA DE LA SALETTE,18.18%
FAR EASTERN UNIVERSITY- MANILA,89.66%
"FAR EASTERN UNIVERSITY-
NICANOR REYES MEDICAL FOUNDATION",57.14%
FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),76.09%
FELIPE R. VERALLO MEMORIAL FOUNDATION,10.00%
FELLOWSHIP BAPTIST COLLEGE,20.00%
FERNANDEZ COLLEGE OF ARTS & TECHNOLOGY,25.00%
FILAMER CHRISTIAN COLLEGE,64.94%
FIRST ASIA INSTITUTE OF TECHNOLOGY & HUMANITIES,40.00%
FIRST CITY PROVIDENTIAL COLLEGE (for.FRANCISCO H.C.),40.00%
FLORENCIO L. VARGAS COLLEGE- ABULUG,0.00%
FLORENCIO L. VARGAS COLLEGE- TUGUEGARAO,21.43%
FOUNDATION UNIVERSITY,50.00%
GALANG MEDICAL CENTER,0.00%
GENERAL SANTOS DOCTORS' MEDICAL SCHOOL FOUNDATION,57.14%
GLOBAL CITY INNOVATIVE COLLEGE,80.00%
GOLDEN GATE COLLEGES,10.00%
GOLDEN WEST COLLEGES,17.65%
GORDON COLLEGE (for.OLONGAPO CITY COLL.),75.47%
GREAT SAVIOR COLLEGE,0.00%
GUAGUA NATIONAL COLLEGES,25.00%
GULLAS COLLEGE OF MEDICINE,0.00%
"HARDAM FURIGAY COLLEGES FOUNDATION, INC",18.03%
HOLY ANGEL UNIVERSITY,100.00%
HOLY CHILD COLLEGE OF BUTUAN,9.38%
HOLY CHILD SCHOOL OF DAVAO,16.67%
HOLY CROSS COLLEGE- PAMPANGA,0.00%
HOLY INFANT COLLEGE,49.09%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),51.52%
HOLY TRINITY COLLEGE OF PUERTO PRINCESA,82.35%
"ICCT COLLEGES FOUNDATION,INC(INST.OF
CREATIVE COMP TECH INC)",20.00%
"ILIGAN MEDICAL CENTER COLLEGE, INC.",61.54%
ILOILO DOCTORS' COLLEGE,70.73%
IMMACULATE CONCEPTION COLLEGE-ALBAY,17.07%
ISABELA STATE UNIVERSITY- ECHAGUE,70.00%
ISABELA STATE UNIVERSITY- ILAGAN,48.48%
ISABELO B. CALINGASAN MEMORIAL INSTITUTE,0.00%
"J. P. SIOSON COLLEGES, INC.",37.50%
JAMIATU MARAWI AL-ISLAMIA FOUNDATION,18.57%
JOHN PAUL II COLLEGE,42.50%
"JOSE C. FELICIANO COLLEGE FOUNDATION, INC (for. JCF SST)",50.00%
JOSE RIZAL MEMORIAL STATE UNIVERSITY-DAPITAN,69.23%
JOSE RIZAL UNIVERSITY (for.JRC),52.63%
JOSEFINA H. CERILLES STATE COLLEGE-PAGADIAN,57.50%
L. F. GONZALES COLLEGE OF SCIENCE & TECHNOLOGY,0.00%
LA CONSOLACION COLLEGE- CALOOCAN,0.00%
LA CONSOLACION COLLEGE-DAET,50.00%
LA CONSOLACION COLLEGE- MANILA,58.33%
LA CONSOLACION UNIVERSITY PHILIPPINES(for. U.REGINA CARMELI),23.08%
LA FINN'S SCHOLASTICA (FOR LUCNAS),13.33%
LA FORTUNA COLLEGE,0.00%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION-LA SALLE),77.78%
LADY OF LOURDES HOSPITAL & COLLEGES OF CAYBIGA,0.00%
LAGUNA COLLEGE,61.90%
LAGUNA NORTHWESTERN COLLEGE,0.00%
LAGUNA STATE POLYTECHNIC UNIV-STA CRUZ (LSPC),89.66%
LANAO ISLAMIC PARAMEDICAL COLLEGE -MARAWI CITY,0.00%
LANAO SCHOOL OF SCIENCE & TECHNOLOGY,11.76%
LARMEN DE GUIA MEMORIAL COLLEGE,14.29%
LICEO DE CAGAYAN UNIVERSITY,65.28%
LIPA CITY COLLEGES,31.58%
LORMA COLLEGE,79.31%
LOURDES COLLEGE,75.00%
LPU-ST CABRINI SCHOOL OF HEALTH SCIENCES INC.-CALAMBA,50.00%
"LUNA GOCO COLLEGES, INC (for.LUNA GOCO MCCI)",69.23%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,47.76%
LYCEUM NORTHWESTERN-F.T. DUQUE COLLEGE-URDANETA,11.11%
LYCEUM OF APARRI,38.71%
LYCEUM OF ILIGAN FOUNDATION,30.77%
LYCEUM OF NORTHERN LUZON,10.81%
"LYCEUM OF THE PHILIPPINES UNIVERSITY-BATANGAS,INC",57.14%
LYCEUM OF THE PHILIPPINES- LAGUNA (for.LYCEUM INST.OF TECH),30.00%
M. V. GALLEGO FOUNDATION COLLEGES,28.57%
MAASIN CITY COLLEGE,100.00%
MABINI COLLEGE-DAET,35.71%
MAHARDIKA INSTITUTE OF TECHNOLOGY,25.74%
MANILA ADVENTIST COLLEGE(FOR MLA ADV. MCSMA),64.29%
MANILA CENTRAL UNIVERSITY- CALOOCAN CITY,47.22%
MANILA CENTRAL UNIVERSITY- MANILA,0.00%
"MANILA TYTANA COLLEGES, INC (for. MANILA DOCTORS COLL)",62.50%
MANUEL S. ENVERGA UNIV. FOUNDATION-CANDELARIA,50.00%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,66.67%
MAPANDI MEMORIAL COLLEGE,16.42%
MARIAM SCHOOL OF NURSING,16.67%
MARIANO MARCOS STATE UNIVERSITY-BATAC,92.81%
"MARIE-BERNARDE COLLEGE, INC (for.ST BERNADETTE C.H.S)",33.33%
MARINDUQUE STATE COLLEGE- BOAC,58.33%
MARTINEZ MEMORIAL COLLEGE,25.00%
MARY CHILES COLLEGE (for.GEN. HOSP. SCH. OF NRSNG. & MID.),40.00%
MARYHILL COLLEGE,88.89%
MASBATE COLLEGES,0.00%
MATER DEI COLLEGE-BOHOL,87.50%
MATI DOCTORS COLLEGE,28.57%
MEDICAL COLLEGE OF NORTHERN PHILIPPINES,73.33%
"MEDICI DI MAKATI COLLEGE,INC (FOR MAKATI MED. CNTR COLL)",87.50%
MEDINA COLLEGE-IPIL,8.54%
MEDINA COLLEGE-OZAMIS CITY,10.00%
MEDINA COLLEGE-PAGADIAN (for.ST.JOHN GEN. HOSP.& COLL.),10.19%
"METRO SUBIC COLLEGES, INC.",100.00%
"METROPOLITAN MEDICAL
CENTER OF COLLEGE OF ARTS, SCIE & TECH",71.43%
MINA DE ORO INSTITUTE OF SCIENCE & TECHNOLOGY,0.00%
"MINDANAO AUTONOMOUS COLLEGE, FOUNDATION INC.",27.91%
"MINDANAO INSTITUTE OF HEALTHCARE
PROFESSIONALS,INC",38.71%
MINDANAO MEDICAL FOUNDATION COLLEGE,16.00%
MINDANAO STATE UNIVERSITY- BUUG,0.00%
"MINDANAO STATE UNIVERSITY-
ILIGAN INSTITUTE OF TECHNOLOGY",92.47%
MINDANAO STATE UNIVERSITY- MARAWI CITY,88.89%
MISAMIS UNIVERSITY-OZAMIS CITY,43.21%
MONDRIAAN AURA COLLEGE,100.00%
MOUNT CARMEL COLLEGE- BULACAN,0.00%
MOUNTAIN PROV. STATE POLYTECHNIC COLLEGE-BONTOC,22.22%
MOUNTAIN VIEW COLLEGE,33.33%
NAGA COLLEGE FOUNDATION,21.43%
NATIONAL UNIVERSITY-BAGUIO CITY,21.05%
NATIONAL UNIVERSITY-MANILA,100.00%
