SCHOOL,% PASSED
ADAMSON UNIVERSITY,0.00%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,100.00%
ATENEO DE DAVAO UNIVERSITY,40.00%
ATENEO DE MANILA UNIVERSITY- Q.C.,87.50%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),0.00%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,50.00%
CENTRO ESCOLAR UNIVERSITY- MANILA,0.00%
DE LA SALLE UNIVERSITY-MANILA,100.00%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,0.00%
FAR EASTERN UNIVERSITY- MANILA,25.00%
LAGUNA COLLEGE OF BUSINESS & ARTS,0.00%
"LYCEUM OF THE PHILIPPINES UNIVERSITY-BATANGAS,INC",60.00%
MINDANAO STATE UNIVERSITY- ILIGAN INSTITUTE OF TECHNOLOGY,0.00%
"MIRIAM COLLEGE (for.MARYKNOLL COLL.FDTN,INC)",0.00%
PAMANTASAN NG LUNGSOD NG MAYNILA,100.00%
PHILIPPINE WOMEN'S UNIVERSITY-MANILA,100.00%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES- QUEZON CAMPUS,0.00%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN-STA. MESA,11.11%
SAINT FERDINAND COLLEGE- ILAGAN,0.00%
SAINT LOUIS UNIVERSITY,60.00%
SAINT PAUL UNIVERSITY- TUGUEGARAO,0.00%
SILLIMAN UNIVERSITY,0.00%
UNIVERSITY OF NEGROS OCCIDENTAL-RECOLETOS,0.00%
UNIVERSITY OF PERPETUAL HELP SYSTEM-LAGUNA,0.00%
UNIVERSITY OF SAN AGUSTIN,0.00%
UNIVERSITY OF SAN CARLOS,75.00%
UNIVERSITY OF SAN JOSE- RECOLETOS,100.00%
UNIVERSITY OF SANTO TOMAS,38.46%
UNIVERSITY OF THE CORDILLERAS (for.BAGUIO C.F.),100.00%
UNIVERSITY OF THE EAST-MANILA,0.00%
UNIVERSITY OF THE PHILIPPINES- DILIMAN,60.00%
XAVIER UNIVERSITY,100.00%
,
