SCHOOL,% PASSED
ADAMSON UNIVERSITY,68.66%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,63.16%
AMA COMPUTER COLLEGE- MAKATI CITY,100.00%
"AMA COMPUTER COLLEGE-STA. CRUZ, LAGUNA",0.00%
ANGELES UNIVERSITY FOUNDATION,75.00%
AQUINAS UNIVERSITY,78.57%
ARELLANO UNIVERSITY-MANILA,37.50%
ARELLANO UNIVERSITY-PASAY,50.00%
ARELLANO UNIVERSITY-PASIG,0.00%
ASIAN DEVELOPMENT FOUNDATION COLLEGE,0.00%
ASSUMPTION COLLEGE-MAKATI,60.00%
ATENEO DE DAVAO UNIVERSITY,70.49%
ATENEO DE MANILA UNIVERSITY- Q.C.,78.00%
ATENEO DE NAGA UNIVERSITY,54.43%
ATENEO DE ZAMBOANGA,36.54%
BALIUAG UNIVERSITY (BALIUAG COLLEGES),90.00%
BATAAN PENINSULA STATE U- MAIN CAMPUS(FOR BNSAT),40.00%
BATAAN PENINSULA STATE UNIVERSITY-BALANGA,50.00%
BATANGAS STATE UNIVERSITY - LIPA,41.38%
BATANGAS STATE UNIVERSITY (for. JPLPC)-MALVAR,23.08%
BATANGAS STATE UNIVERSITY- ARASOF-NASUGBU,60.00%
BATANGAS STATE UNIVERSITY- BATANGAS CITY (PBMIT),37.74%
BENGUET STATE UNIVERSITY-LA TRINIDAD,0.00%
BOHOL ISLAND STATE UNIVERSITY (FOR.CVSCAFT)- TAGBILARAN,71.43%
BROKENSHIRE COLLEGE,34.78%
"BROKENSHIRE COLLEGE- SOCSKSARGEN, INC",14.29%
BULACAN STATE UNIVERSITY (for.BCAT)-MALOLOS,47.89%
CAGAYAN STATE UNIVERSITY- ANDREWS CAMPUS(TUG),0.00%
CAGAYAN STATE UNIVERSITY- SANCHEZ MIRA,50.00%
CAGAYAN STATE UNIVERSITY- TUGUEGARAO,21.74%
"CALAYAN EDUCATIONAL FOUNDATION INC.(for.
MED.CTR.LUCENA)",50.00%
CANOSSA COLLEGE,18.75%
"CAP COLLEGE FOUNDATION, INC",0.00%
CAVITE STATE UNIVERSITY - SILANG CAMPUS,26.19%
CAVITE STATE UNIVERSITY (DON SEVERINO AGR'L. COLL.),35.29%
CAVITE STATE UNIVERSITY-IMUS,41.18%
CEBU DOCTORS UNIVERSITY,57.14%
CEBU INSTITUTE OF TECHNOLOGY,45.83%
CEBU NORMAL UNIVERSITY (CEBU STATE COLLEGE),64.22%
CENTRAL COLLEGES OF THE PHILIPPINES,41.67%
CENTRAL LUZON STATE UNIVERSITY,24.53%
CENTRAL MINDANAO UNIVERSITY,51.43%
CENTRAL PHILIPPINE UNIVERSITY,40.54%
CENTRO ESCOLAR UNIVERSITY- MAKATI,43.24%
CENTRO ESCOLAR UNIVERSITY- MALOLOS,56.25%
CENTRO ESCOLAR UNIVERSITY- MANILA,51.00%
CHINESE GENERAL HOSPITAL COLLEGES,100.00%
COLEGIO DE DAGUPAN (for.COMPUTRONIX COLL),100.00%
COLEGIO DE LA PURISIMA CONCEPCION,50.00%
COLEGIO DE SAN GABRIEL ARCANGEL,8.33%
COLEGIO DE SAN JUAN DE LETRAN-ABUCAY,40.00%
COLEGIO DE SAN JUAN DE LETRAN-CALAMBA,42.50%
COLEGIO DE SAN JUAN DE LETRAN-INTRAMUROS,70.00%
COLEGIO DE SAN LORENZO,100.00%
"COLEGIO DE SEBASTIAN- PAMPANGA, INC - PAMPANGA",75.00%
COLEGIO SAN AGUSTIN-BACOLOD CITY,63.64%
COLLEGE OF ST. JOHN-ROXAS,33.33%
COLLEGE OF THE HOLY SPIRIT OF MANILA,50.00%
COLLEGE OF THE HOLY SPIRIT OF TARLAC,42.86%
COR JESU COLLEGE (HOLY CROSS OF DIGOS),40.00%
COTABATO CITY STATE POLYTECHNIC COLLEGE,20.00%
DALUBHASAAN NG LUNGSOD NG SAN PABLO,11.11%
"DAVAO DOCTORS COLLEGE, INC.",46.67%
DE LA SALLE UNIVERSITY- DASMARIÑAS,53.91%
DE LA SALLE UNIVERSITY-LIPA,47.37%
DE LA SALLE UNIVERSITY-MANILA,76.67%
"DE LA SALLE-ARANETA UNIVERSITY,INC (GAUF)",47.62%
DIVINE WORD COLLEGE OF CALAPAN,38.46%
DIVINE WORD COLLEGE OF LEGAZPI,38.64%
DIVINE WORD COLLEGE OF URDANETA,100.00%
"DMMC INSTITUTE OF HEALTH SCIENCES, INC",100.00%
DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY- AGOO,50.00%
DR. CARLOS S. LANTING COLLEGE-Q. C.,30.00%
"DR. YANGA'S COLLEGES, INC",25.00%
EMILIO AGUINALDO COLLEGE- DASMARIÑAS,35.71%
EMILIO AGUINALDO COLLEGE- MANILA,36.36%
EULOGIO (AMANG) RODRIGUEZ INSTITUTE OF SCIENCE & TECHNOLOGY,29.03%
FAR EASTERN COLLEGE - SILANG,85.71%
FAR EASTERN UNIVERSITY- MANILA,48.17%
FATHER SATURNINO URIOS UNIVERSITY (URIOS COLL),0.00%
"FATIMA MEDICAL SCIENCE FOUNDATION, INC.-QUEZON CITY",50.00%
"FATIMA MEDICAL SCIENCE FOUNDATION, INC.-VALENZUELA",0.00%
FIRST ASIA INSTITUTE OF TECHNOLOGY & HUMANITIES,26.92%
FOREIGN UNIVERSITY,100.00%
GENERAL SANTOS DOCTORS' MEDICAL SCHOOL FOUNDATION,33.33%
HOLY ANGEL UNIVERSITY,56.41%
HOLY CROSS OF DAVAO COLLEGE,23.33%
HOLY NAME UNIVERSITY (for.DIVINE WORD-TAGBILARAN),40.00%
"ICCT COLLEGES FOUNDATION,INC(INST.OF CREATIVE COMP TECH INC)",0.00%
ILOCOS SUR POLYTECHNIC STATE COLLEGE-TAGUDIN,0.00%
ILOILO DOCTORS' COLLEGE,50.00%
ISABELA STATE UNIVERSITY- ECHAGUE,0.00%
"JESUS REIGNS CHRISTIAN COLLEGE FOUNDATION, INC",20.00%
JOSE MARIA COLLEGE,0.00%
LA CONSOLACION COLLEGE- BINAN,33.33%
LA CONSOLACION COLLEGE- MANILA,25.00%
LA CONSOLACION UNIVERSITY PHILIPPINES(for. U.REGINA CARMELI),0.00%
LA SALLE COLLEGE-ANTIPOLO(LA SALLE SCHOOL),27.78%
LA SALLE UNIVERSITY (for.IMMA.CONCEPCION-LA SALLE),62.50%
LAGUNA COLLEGE,0.00%
LAGUNA COLLEGE OF BUSINESS & ARTS,25.00%
LAGUNA STATE POLYTECHNIC UNIVERSITY-SINILOAN,18.18%
LAGUNA STATE POLYTECHNIC UNIV-SN PABLO(LSPC),30.43%
LAGUNA STATE POLYTECHNIC UNIV-STA CRUZ (LSPC),42.86%
LAS PIÑAS COLLEGE,0.00%
LICEO DE CAGAYAN UNIVERSITY,28.57%
LIPA CITY COLLEGES,41.67%
LORMA COLLEGE,37.50%
LOURDES COLLEGE,0.00%
LYCEUM NORTHWESTERN UNIV- DAGUPAN CITY,37.50%
LYCEUM OF ALABANG (for. NCST),20.00%
"LYCEUM OF THE PHILIPPINES - GEN TRIAS, CAVITE",58.70%
"LYCEUM OF THE PHILIPPINES UNIVERSITY-BATANGAS,INC",62.86%
LYCEUM OF THE PHILIPPINES UNIVERSITY-MANILA,50.00%
LYCEUM OF THE PHILIPPINES- LAGUNA (for.LYCEUM INST.OF TECH),100.00%
MAKATI MEDICAL CENTER (for. RTRMS),33.33%
MANILA CENTRAL UNIVERSITY- CALOOCAN CITY,60.00%
"MANILA TYTANA COLLEGES, INC (for. MANILA DOCTORS COLL)",68.57%
MANUEL L. QUEZON UNIVERSITY,25.00%
MANUEL S. ENVERGA UNIV. FOUNDATION-LUCENA CITY,33.33%
MAPUA INSTITUTE OF TECHNOLOGY-MANILA,100.00%
MARTINEZ MEMORIAL COLLEGE,33.33%
METRO MANILA COLLEGE,50.00%
MEYCAUAYAN COLLEGE,55.56%
MINDANAO STATE UNIVERSITY- ILIGAN INSTITUTE OF TECHNOLOGY,68.97%
MINDANAO STATE UNIVERSITY- MARAWI CITY,66.67%
MINDORO STATE COLLEGE OF AGRICULTURE & TECHNOLOGY- CALAPAN,37.50%
"MIRIAM COLLEGE (for.MARYKNOLL COLL.FDTN,INC)",60.61%
MISAMIS UNIVERSITY-OZAMIS CITY,50.00%
MONDRIAAN AURA COLLEGE,53.85%
NATIONAL COLLEGE OF SCIENCE & TECHNOLOGY-DASMARINAS,0.00%
NATIONAL TEACHER'S COLLEGE,41.18%
NEGROS ORIENTAL STATE UNIVERSITY (CVPC)-DUMAGUETE,50.00%
NEW ERA UNIVERSITY,33.11%
NEW SINAI SCHOOL AND COLLEGES STA. ROSA INC-STA ROSA LAGUNA,0.00%
NORTHERN LUZON ADVENTIST COLLEGE,0.00%
NORTHWESTERN UNIVERSITY,0.00%
"NOTRE DAME OF DADIANGAS UNIVERSITY, INC",26.92%
NOTRE DAME OF JOLO COLLEGE,0.00%
NOTRE DAME OF MARBEL UNIVERSITY,30.00%
NOTRE DAME UNIVERSITY,55.00%
OLIVAREZ COLLEGE-PARAÑAQUE,60.00%
OSIAS COLLEGES,0.00%
OUR LADY OF FATIMA UNIVERSITY-ANTIPOLO CITY,49.02%
OUR LADY OF FATIMA UNIVERSITY-QC,35.29%
OUR LADY OF FATIMA UNIVERSITY-VALENZUELA,53.76%
OUR LADY OF LOURDES COLLEGE FOUNDATION,75.00%
PALAWAN STATE UNIVERSITY-P. PRINCESA,74.07%
PAMANTASAN NG CABUYAO,50.00%
PAMANTASAN NG LUNGSOD NG MAYNILA,81.58%
PAMANTASAN NG LUNGSOD NG MUNTINLUPA (MPC),25.00%
PAMANTASAN NG LUNGSOD NG VALENZUELA,50.00%
PANPACIFIC UNIVERSITY NORTH PHILIPPINES (PANG.CST),0.00%
PASIG CATHOLIC COLLEGE,0.00%
PHILIPPINE CHRISTIAN UNIVERSITY-DASMARINAS,0.00%
PHILIPPINE CHRISTIAN UNIVERSITY-MANILA,43.75%
PHILIPPINE COLLEGE OF HEALTH & SCIENCES,0.00%
PHILIPPINE NORMAL UNIVERSITY- MANILA,45.65%
PHILIPPINE WOMEN'S UNIVERSITY-MANILA,26.09%
PHILIPPINE WOMEN'S UNIVERSITY-QUEZON CITY,33.33%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN-STA. MESA,71.59%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-STA. ROSA,47.06%
POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-STO. TOMAS,57.14%
RAMON MAGSAYSAY MEMORIAL COLLEGES,42.86%
RAMON MAGSAYSAY TECHNOLOGICAL UNIVERSITY-IBA,31.82%
RIVERSIDE COLLEGE,31.03%
RIZAL MEMORIAL COLLEGE,0.00%
RIZAL TECHNOLOGICAL UNIVERSITY,45.99%
ROOSEVELT COLLEGE-CAINTA,0.00%
"SACRED HEART COLLEGE OF LUCENA CITY, INC.",30.00%
"SAINT ANNE COLLEGE LUCENA, INC.",100.00%
SAINT DOMINIC SAVIO COLLEGE,0.00%
SAINT FERDINAND COLLEGE- ILAGAN,0.00%
SAINT FRANCIS OF ASSISI COLLEGE,16.67%
SAINT JOHN COLLEGE-CALAMBA,40.00%
SAINT JOSEPH COLLEGE OF BULACAN,0.00%
SAINT JOSEPH INSTITUTE OF TECHNOLOGY,9.09%
SAINT JOSEPH'S COLLEGE OF QUEZON CITY,22.22%
SAINT JUDE COLLEGE-MANILA,100.00%
SAINT LOUIS COLLEGE OF SAN FERNANDO,59.09%
SAINT LOUIS UNIVERSITY,56.96%
SAINT MARY'S COLLEGE-TAGUM,33.33%
SAINT MARY'S UNIVERSITY,56.76%
SAINT MICHAEL'S COLLEGE- ILIGAN CITY,60.00%
SAINT PAUL UNIVERSITY-ILOILO,42.86%
SAINT PAUL UNIVERSITY-MANILA,54.55%
SAINT PAUL UNIVERSITY-QUEZON CITY,35.48%
SAINT PAUL UNIVERSITY-SURIGAO,42.86%
SAINT PAUL UNIVERSITY- TUGUEGARAO,44.12%
SAINT SCHOLASTICA'S COLLEGE,67.39%
SAINT THERESA'S COLLEGE-CEBU,71.43%
SAINT THERESA'S COLLEGE- QUEZON CITY,100.00%
SAMAR STATE UNIVERSITY (SAMAR S.P.C.),15.38%
SAN BEDA COLLEGE,54.55%
"SAN BEDA COLLEGE OF ALABANG,INC.(ST.BENEDICT COLL)",44.44%
SAN PABLO COLLEGES,0.00%
SAN PEDRO COLLEGE OF BUSINESS ADMINISTRATION,25.00%
SAN PEDRO COLLEGE-DAVAO CITY,65.08%
"SAN SEBASTIAN COLLEGE- RECOLETOS,CANLUBANG",33.33%
"SAN SEBASTIAN COLLEGE- RECOLETOS,CAVITE",45.00%
"SAN SEBASTIAN COLLEGE- RECOLETOS,MANILA",37.93%
SANTA TERESA COLLEGE,0.00%
SANTO ROSARIO SAPANG PALAY COLLEGE,0.00%
SILLIMAN UNIVERSITY,62.16%
SOUTHEAST ASIAN COLLEGE (UDMC),50.00%
SOUTHERN LUZON STATE UNIVERSITY-LUCBAN (SLPC),34.33%
SOUTHVILLE INTERNATIONAL SCHOOL AND COLLEGES,43.75%
SOUTHWESTERN UNIVERSITY,38.10%
"ST. ALEXIUS COLLEGE (for.DOCTORS CHSF,INC)",33.33%
ST. DOMINIC COLLEGE OF ASIA (for. ST. DOMINIC C.A.S),21.43%
ST. JAMES COLLEGE OF QUEZON CITY,100.00%
"ST. JUDE COLLEGE-DASMARIÑAS, CAVITE, INC.",0.00%
ST. SCHOLASTICA'S COLLEGE- TACLOBAN,57.14%
"STI COLLEGES OF LUZON, INC",0.00%
TAGUIG CITY UNIVERSITY,43.48%
TARLAC COLLEGE OF AGRICULTURE,14.29%
TARLAC STATE UNIVERSITY (TARLAC COLLEGE OF TECH.),33.70%
TRINITY UNIVERSITY OF ASIA (TRINITY-QC),36.54%
UNCIANO COLLEGES & GENERAL HOSPITAL-MANILA,0.00%
UNIVERSIDAD DE MANILA (CITY COLL. OF MANILA),36.59%
UNIVERSIDAD DE SANTA ISABEL (COL DE STA ISABEL),20.00%
UNIVERSITY OF ANTIQUE-SIBALOM,50.00%
UNIVERSITY OF BAGUIO,28.57%
UNIVERSITY OF BATANGAS,71.43%
UNIVERSITY OF BATANGAS - LIPA,100.00%
UNIVERSITY OF BOHOL,33.33%
UNIVERSITY OF CALOOCAN CITY(for. CALOOCAN CITY P.C.),47.62%
UNIVERSITY OF CEBU,30.77%
UNIVERSITY OF ILOILO,33.33%
UNIVERSITY OF LA SALETTE- SANTIAGO,0.00%
UNIVERSITY OF LUZON (LUZON COLL.),33.33%
UNIVERSITY OF MAKATI,38.89%
UNIVERSITY OF MINDANAO- DAVAO CITY,44.44%
UNIVERSITY OF NEGROS OCCIDENTAL-RECOLETOS,29.41%
UNIVERSITY OF NORTHERN PHILIPPINES-VIGAN,30.00%
UNIVERSITY OF NUEVA CACERES,27.27%
UNIVERSITY OF PERPETUAL HELP RIZAL-CALAMBA CAMPUS,40.00%
UNIVERSITY OF PERPETUAL HELP RIZAL-MOLINO,12.50%
UNIVERSITY OF PERPETUAL HELP SYSTEM DALTA-LAS PINAS,30.00%
UNIVERSITY OF PERPETUAL HELP SYSTEM-GMA,42.86%
UNIVERSITY OF PERPETUAL HELP SYSTEM-LAGUNA,35.29%
UNIVERSITY OF PERPETUAL HELP-CAUAYAN CITY,0.00%
UNIVERSITY OF RIZAL SYSTEM- MORONG,20.00%
UNIVERSITY OF RIZAL SYSTEM- PILILLA,33.33%
UNIVERSITY OF RIZAL SYSTEM- RODRIGUEZ,100.00%
UNIVERSITY OF RIZAL SYSTEM- TANAY,0.00%
UNIVERSITY OF SAINT ANTHONY,33.33%
