SCHOOL,% PASSED
ABADA COLLEGE,48.91%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY- MALOLOS,0.00%
ABELLANA COLLEGE OF ARTS & TRADE,0.00%
ABELLANA NATIONAL SCHOOL,0.00%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,22.41%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-LAGANGILANG,25.00%
ABRA VALLEY COLLEGE,0.00%
ABUYOG COMMUNITY COLLEGE,50.00%
ACADEMIA DE SAN LORENZO DEMA-ALA,83.33%
ACCESS COMPUTER & TECHNICAL COLLEGE-MANILA,0.00%
ACES TAGUM COLLEGE,26.32%
ACI COMPUTER COLLEGE (for. ACTS),50.00%
"ACLC COLLEGE OF MANDAUE CITY, INC. - MANDAUE CITY",0.00%
ADAMSON UNIVERSITY,45.05%
ADELPHI COLLEGE,33.33%
ADIONG MEMORIAL COLLEGE FOUNDATION,0.00%
ADIONG MEMORIAL POLYTECHNIC STATE COLLEGE,17.39%
ADVENTIST INTERNATIONAL INSTITUTE OF ADVANCED STUDIES,0.00%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,45.76%
AEMILIANUM INSTITUTE,33.33%
AGO FOUNDATION COLLEGE,30.77%
AGO MEDICAL & EDUCATIONAL CENTER-BICOL CHRISTIAN COLL.OF MED,31.25%
"AGONCILLO COLLEGE, INC",50.00%
AGOO COMPUTER COLLEGE,0.00%
AGRO-INDUSTRIAL FOUNDATION COLLEGES OF THE PHILIPPINES,0.00%
AGUILAR COLLEGE FOUNDATION,0.00%
"AGUSAN BUSINESS & ART FOUNDATION, INC.",0.00%
AGUSAN COLLEGES,14.29%
AGUSAN DEL SUR COLLEGE,30.77%
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,25.45%
AGUSAN INSTITUTE OF TECHNOLOGY,13.33%
AJUY POLYTECHNIC COLLEGE,33.33%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,71.79%
AKLAN CATHOLIC COLLEGE- KALIBO,30.00%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,37.98%
AKLAN STATE UNIVERSITY-IBAJAY,64.56%
AKLAN STATE UNIVERSITY-KALIBO,17.09%
AKLAN STATE UNIVERSITY- MAKATO,41.03%
AKLAN STATE UNIVERSITY- NATIONAL COLLEGE OF FISHERIES,20.00%
AKLAN STATE UNIVERSITY-NEW WASHINGTON,18.18%
ALANGALANG AGRO INDUSTRIAL SCHOOL,0.00%
ALDERSGATE COLLEGE,25.00%
ALEJANDRO COLLEGE,0.00%
ALFELOR SR. MEMORIAL COLLEGE,17.65%
ALITAGTAG COLLEGE,35.71%
ALL NATIONS COLLEGE,100.00%
ALTAVAS COLLEGE,73.68%
"AMA COMPUTER COLLEGE DASMARINAS, CAVITE, INC.",50.00%
"AMA COMPUTER COLLEGE-BINAN, LAGUNA",25.00%
AMA COMPUTER COLLEGE- CABANATUAN CITY,0.00%
AMA COMPUTER COLLEGE- CAGAYAN DE ORO,0.00%
AMA COMPUTER COLLEGE- CALAMBA,50.00%
AMA COMPUTER COLLEGE- CALOOCAN CAMPUS,0.00%
AMA COMPUTER COLLEGE-CEBU CITY,0.00%
AMA COMPUTER COLLEGE- COTABATO CITY,0.00%
AMA COMPUTER COLLEGE- DAGUPAN CITY,0.00%
AMA COMPUTER COLLEGE- DAVAO CITY,60.00%
AMA COMPUTER COLLEGE-EAST RIZAL,40.00%
AMA COMPUTER COLLEGE-GEN SANTOS CAMPUS,100.00%
AMA COMPUTER COLLEGE-ILOILO CITY,75.00%
AMA COMPUTER COLLEGE-LA UNION,100.00%
AMA COMPUTER COLLEGE- LAOAG CITY,0.00%
AMA COMPUTER COLLEGE- LEGAZPI CAMPUS,0.00%
AMA COMPUTER COLLEGE- LUCENA CITY,100.00%
AMA COMPUTER COLLEGE- MAKATI CITY,100.00%
AMA COMPUTER COLLEGE-NAGA CITY,0.00%
AMA COMPUTER COLLEGE- SANTIAGO CITY,0.00%
"AMA COMPUTER COLLEGE-STA. CRUZ, LAGUNA",50.00%
AMA COMPUTER COLLEGE-STA. MESA,0.00%
AMA COMPUTER COLLEGE- TARLAC CITY,0.00%
AMA COMPUTER COLLEGE- TUGUEGARAO CITY,0.00%
AMA COMPUTER COLLEGE- ZAMBOANGA CITY,0.00%
AMA COMPUTER LEARNING CENTER-VALENCIA,0.00%
"AMA COMPUTER UNIVERSITY- PROJ. 8, QC",50.00%
AMANDO COPE COLLEGE,100.00%
ANDRES BONIFACIO COLLEGE,13.04%
