SCHOOL,% PASSED
ABADA COLLEGE,25.86%
ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCY-TACLOBAN,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY- MALOLOS,0.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY- URDANETA,100.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- CABANATUAN,100.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- CAINTA,100.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- RECTO,50.00%
ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS- TACLOBAN,100.00%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-BANGUED,14.63%
ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)-LAGANGILANG,26.09%
ABRA VALLEY COLLEGE,28.57%
ABUBAKAR COMPUTER LEARNING CENTER,0.00%
ABUYOG COMMUNITY COLLEGE,65.00%
ACADEMIA DE SAN LORENZO DEMA-ALA,20.00%
ACCESS COMPUTER & TECHNICAL COLLEGE-MANILA,0.00%
ACES POLYTECHNIC COLLEGE - PANABO CITY,0.00%
ACES TAGUM COLLEGE,15.15%
ACI COMPUTER COLLEGE (for. ACTS),50.00%
"ACLC COLLEGE OF MANDAUE CITY, INC. - MANDAUE CITY",100.00%
ADAMSON UNIVERSITY,47.62%
ADELPHI COLLEGE,0.00%
ADIONG MEMORIAL POLYTECHNIC STATE COLLEGE,10.34%
ADVENTIST UNIVERSITY OF THE PHILIPPINES,37.50%
AEMILIANUM INSTITUTE,20.00%
AGO FOUNDATION COLLEGE,23.81%
AGO MEDICAL & EDUCATIONAL CENTER-BICOL CHRISTIAN COLL.OF MED,61.11%
"AGONCILLO COLLEGE, INC",9.09%
AGOO COMPUTER COLLEGE,0.00%
AGRO-INDUSTRIAL FOUNDATION COLLEGES OF THE PHILIPPINES,0.00%
AGUILAR COLLEGE FOUNDATION,0.00%
"AGUSAN BUSINESS & ART FOUNDATION, INC.",0.00%
AGUSAN COLLEGES,10.53%
AGUSAN DEL SUR COLLEGE,25.00%
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,21.15%
AGUSAN INSTITUTE OF TECHNOLOGY,15.79%
AIE COLLEGE,0.00%
AJUY POLYTECHNIC COLLEGE,0.00%
AKLAN CATHOLIC COLLEGE-(FOR AKLAN COLLEGE)-KALIBO,36.36%
AKLAN POLYTECHNIC INSTITUTE,66.67%
AKLAN STATE UNIVERSITY(AKLAN S.C.A.)-BANGA,20.33%
AKLAN STATE UNIVERSITY-IBAJAY,26.32%
AKLAN STATE UNIVERSITY-KALIBO,24.14%
AKLAN STATE UNIVERSITY- MAKATO,15.22%
AKLAN STATE UNIVERSITY- NATIONAL COLLEGE OF FISHERIES,0.00%
AKLAN STATE UNIVERSITY-NEW WASHINGTON,16.13%
ALDERSGATE COLLEGE,54.55%
ALEJANDRO COLLEGE,25.00%
ALFELOR SR. MEMORIAL COLLEGE,29.63%
ALITAGTAG COLLEGE,14.29%
ALL NATIONS COLLEGE,0.00%
ALTAVAS COLLEGE,10.00%
AMA COMPUTER COLLEGE- BACOLOD CITY,0.00%
AMA COMPUTER COLLEGE- BAGUIO CITY,0.00%
"AMA COMPUTER COLLEGE-BINAN, LAGUNA",50.00%
AMA COMPUTER COLLEGE- CABANATUAN CITY,0.00%
AMA COMPUTER COLLEGE- CALAMBA,100.00%
AMA COMPUTER COLLEGE-CEBU CITY,50.00%
AMA COMPUTER COLLEGE- COTABATO CITY,0.00%
AMA COMPUTER COLLEGE- DAGUPAN CITY,0.00%
AMA COMPUTER COLLEGE- DAVAO CITY,57.14%
AMA COMPUTER COLLEGE-EAST RIZAL,50.00%
"AMA COMPUTER COLLEGE- FAIRVIEW, QC INC",100.00%
AMA COMPUTER COLLEGE-GEN SANTOS CAMPUS,0.00%
AMA COMPUTER COLLEGE-ILOILO CITY,100.00%
AMA COMPUTER COLLEGE-LA UNION,100.00%
AMA COMPUTER COLLEGE- LAOAG CITY,50.00%
AMA COMPUTER COLLEGE-LAS PIÑAS,100.00%
AMA COMPUTER COLLEGE- LEGAZPI CAMPUS,83.33%
AMA COMPUTER COLLEGE- LUCENA CITY,80.00%
AMA COMPUTER COLLEGE- MAKATI CITY,33.33%
AMA COMPUTER COLLEGE-NAGA CITY,100.00%
"AMA COMPUTER COLLEGE-STA. CRUZ, LAGUNA",40.00%
AMA COMPUTER COLLEGE-STA. MESA,0.00%
