Time Date,School,Course,Passing Rate
31122014,ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCYTACLOBAN,Bachelor of Science in Accountancy,50
30122018,ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCYTACLOBAN,Bachelor of Science in Accountancy,0
30122017,ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCYTACLOBAN,Bachelor of Science in Accountancy,0
31122015,ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCYTACLOBAN,Bachelor of Science in Accountancy,33.33
31122019,ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCYTACLOBAN,Bachelor of Science in Accountancy,0
30122015,ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCYTACLOBAN,Bachelor of Science in Accountancy,0
31122016,ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCYTACLOBAN,Bachelor of Science in Accountancy,0
31122017,ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCYTACLOBAN,Bachelor of Science in Accountancy,12.5
31122018,ABE INTERNATIONAL COLL. OF BUS. & ACCOUNTANCYTACLOBAN,Bachelor of Science in Accountancy,0
31122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY MALOLOS,Bachelor of Science in Accountancy,0
31122016,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY MALOLOS,Bachelor of Science in Accountancy,0
30122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY MALOLOS,Bachelor of Science in Accountancy,50
31122014,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY MALOLOS,Bachelor of Science in Accountancy,0
30122013,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY MALOLOS,Bachelor of Science in Accountancy,0
31122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY MALOLOS,Bachelor of Science in Accountancy,0
31122015,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY MALOLOS,Bachelor of Science in Accountancy,0
30122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
30122018,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
31122014,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
30122016,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
31122015,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,14.29
31122016,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
31122019,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
31122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
30122014,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
30122012,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,33.33
30122015,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,100
31122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
31122012,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
30122013,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
31122018,ABE INTERNATIONAL COLLEGE OF BUSINESS & ACCOUNTANCY URDANETA,Bachelor of Science in Accountancy,0
30122012,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS BACOLOD,Bachelor of Science in Accountancy,0
31122013,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS BACOLOD,Bachelor of Science in Accountancy,0
31122014,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS BACOLOD,Bachelor of Science in Accountancy,0
30122010,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CABANATUAN,Bachelor of Science in Accountancy,50
31122010,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CABANATUAN,Bachelor of Science in Accountancy,0
30122012,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CABANATUAN,Bachelor of Science in Accountancy,0
31122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CABANATUAN,Bachelor of Science in Accountancy,0
30122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,100
31122010,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,0
30122014,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,0
30122010,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,0
31122014,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,50
30122016,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,0
31122019,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,0
31122015,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,25
31122018,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,0
30122015,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,100
30122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,11.11
31122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,0
31122013,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,8.33
31122016,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,10
30122018,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Accountancy,0
30122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS DAGUPAN,Bachelor of Science in Accountancy,0
30122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS LUCENA,Bachelor of Science in Accountancy,0
31122015,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS RECTO,Bachelor of Science in Accountancy,0
31122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS RECTO,Bachelor of Science in Accountancy,0
30122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS RECTO,Bachelor of Science in Accountancy,0
