Time Date,School,Course,Passing Rate
31122017,ABRA VALLEY COLLEGE,Bachelor of Science in Architecture,0.0
30122018,ABRA VALLEY COLLEGE,Bachelor of Science in Architecture,0.0
30122019,ABRA VALLEY COLLEGE,Bachelor of Science in Architecture,50.00
31122018,ABRA VALLEY COLLEGE,Bachelor of Science in Architecture,0.0
30122019,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,50.82
30122017,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,65.0
31122017,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,51.11
30122018,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,61.4
30122011,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,44.71
30122016,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,39.58
30122015,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,54.84
30122013,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,48.15
30122012,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,52.83
31122016,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,51.22
31122013,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,43.75
31122018,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,53.09
31122010,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,42.0
31122012,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,43.48
30122014,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,47.54
31122015,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,59.76
31122014,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,54.55
31122011,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,54.67
30122010,ADAMSON UNIVERSITY,Bachelor of Science in Architecture,48.0
30122019,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,83.33
31122015,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,25.0
31122010,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,33.0
30122018,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,0.0
30122014,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,90.0
31122014,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,75.0
30122011,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,0.0
31122013,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,0.0
30122017,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,0.0
30122012,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,75.0
30122016,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,20.0
31122012,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,40.0
31122017,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,50.0
30122015,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,66.67
31122011,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,100.0
31122016,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,37.5
31122018,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,35.71
30122013,AKLAN STATE UNIVERSITYKALIBO,Bachelor of Science in Architecture,33.33
30122016,APAYAO STATE COLLEGELUNA CAMPUS,Bachelor of Science in Architecture,0.0
30122010,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,15.0
30122019,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,52.78
30122016,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,50.0
30122017,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,26.32
31122013,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,17.65
30122012,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,22.5
31122016,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,33.33
30122015,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,26.32
31122010,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,26.0
30122018,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,31.82
31122018,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,20.51
31122014,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,38.46
31122017,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,14.29
31122011,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,20.45
31122012,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,25.0
30122014,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,32.35
30122011,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,7.89
30122013,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,31.71
31122015,AQUINAS UNIVERSITY,Bachelor of Science in Architecture,30.0
30122019,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,0.00
30122016,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,0.0
31122011,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,45.45
30122018,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,0.0
31122016,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,33.33
30122017,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,0.0
30122012,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,0.0
31122010,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,25.0
30122011,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,8.33
30122010,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,25.0
31122018,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,0.0
30122015,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,20.0
31122015,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,0.0
31122014,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,60.0
30122014,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,0.0
31122012,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,14.29
30122013,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,14.29
31122017,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,0.0
31122013,ARAULLO UNIVERSITY,Bachelor of Science in Architecture,0.0
30122019,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,93.75
30122013,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,72.73
30122016,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,78.57
31122017,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,65.22
30122012,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,62.5
30122018,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,90.0
31122018,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,80.0
30122014,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,85.0
31122011,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,95.65
31122014,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,66.67
31122015,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,85.71
30122011,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,75.0
31122012,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,85.71
30122015,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,70.0
30122017,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,82.14
31122013,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,92.31
30122010,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,76.0
31122016,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,75.76
31122010,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Architecture,62.0
31122018,ATENEO DE ZAMBOANGA UNIVERSITY,Bachelor of Science in Architecture,100.0
31122010,BATAAN PENINSULA STATE COLLEGE BALANGA (BATAAN POLY.SC),Bachelor of Science in Architecture,46.0
30122010,BATAAN PENINSULA STATE COLLEGE BALANGA (BATAAN POLY.SC),Bachelor of Science in Architecture,63.0
30122018,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Architecture,60.0
30122019,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Architecture,75.00
30122016,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Architecture,50.0
31122015,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Architecture,68.75
31122017,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Architecture,48.84
31122016,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Architecture,53.66
30122017,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Architecture,50.0
31122018,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Architecture,55.32
30122015,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Architecture,66.67
