Time Date,School,Course,Passing Rate
31122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS BACOLOD,Bachelor of Science in Civil Engineering,0
30122016,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CABANATUAN,Bachelor of Science in Civil Engineering,0
31122018,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS TACLOBAN,Bachelor of Science in Civil Engineering,100
31122015,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,16.67
30122015,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,0
30122011,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,50
31122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,6.67
31122011,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,14.29
30122016,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,40
30122010,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,17
31122017,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,17.91
31122014,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,13.64
31122019,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,8.06
31122016,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,16.67
30122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,30
30122012,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,14.29
30122017,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,21.43
31122010,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,11.11
31122012,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,11.11
30122013,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,20
30122014,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,40
31122013,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,15.79
30122019,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Civil Engineering,10
31122016,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
31122014,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
31122010,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
31122015,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
31122017,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
31122018,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
31122019,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
30122014,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,50
30122015,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
30122011,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
30122018,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
31122011,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
30122017,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
30122019,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,0
31122013,ABRA VALLEY COLLEGE,Bachelor of Science in Civil Engineering,33.33
31122019,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,43.59
30122010,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,37
30122013,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,39.51
30122014,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,30.77
30122018,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,41.25
30122011,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,25.45
30122017,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,35.71
31122014,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,50
31122018,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,47.15
30122015,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,35
30122019,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,53.77
31122015,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,47.57
31122011,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,18.57
30122012,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,29.55
31122010,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,31.15
30122016,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,39.06
31122012,ADAMSON UNIVERSITY,Bachelor of Science in Civil Engineering,29.41
