Time Date,School,Course,Passing Rate
31122016,ABAD SANTOS EDUCATIONAL INSTITUTION,Bachelor of Science in Criminology,0.0
31122017,ABAD SANTOS EDUCATIONAL INSTITUTION,Bachelor of Science in Criminology,0.0
31122018,ABADA COLLEGE,Bachelor of Science in Criminology,21.74
30122012,ABADA COLLEGE,Bachelor of Science in Criminology,54.55
30122015,ABADA COLLEGE,Bachelor of Science in Criminology,40.0
30122014,ABADA COLLEGE,Bachelor of Science in Criminology,57.14
30122013,ABADA COLLEGE,Bachelor of Science in Criminology,60.0
30122011,ABADA COLLEGE,Bachelor of Science in Criminology,12.5
30122016,ABADA COLLEGE,Bachelor of Science in Criminology,26.32
30122017,ABADA COLLEGE,Bachelor of Science in Criminology,31.25
31122019,ABADA COLLEGE,Bachelor of Science in Criminology,48.65
31122013,ABADA COLLEGE,Bachelor of Science in Criminology,70.15
31122014,ABADA COLLEGE,Bachelor of Science in Criminology,73.42
31122015,ABADA COLLEGE,Bachelor of Science in Criminology,47.73
31122016,ABADA COLLEGE,Bachelor of Science in Criminology,38.71
30122010,ABADA COLLEGE,Criminology,30.0
31122017,ABADA COLLEGE,Bachelor of Science in Criminology,57.89
30122010,ABADA COLLEGE,Bachelor of Science in Criminology,30.0
30122018,ABADA COLLEGE,Bachelor of Science in Criminology,49.33
30122019,ABADA COLLEGE,Bachelor of Science in Criminology,36.84
31122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CABANATUAN,Bachelor of Science in Criminology,100.0
31122016,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Criminology,0.0
31122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS TACLOBAN,Bachelor of Science in Criminology,0.0
30122019,ABELLANA NATIONAL SCHOOL,Bachelor of Science in Criminology,0.0
30122017,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,8.45
31122019,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,21.21
31122018,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,25.88
30122014,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,24.53
31122016,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,14.74
31122015,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,15.24
31122014,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,26.14
30122015,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,17.14
31122013,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,25.56
30122016,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,13.16
30122019,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,20.0
30122011,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,3.85
30122010,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,15.0
30122010,ABRA VALLEY COLLEGE,Criminology,15.0
30122013,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,24.49
30122018,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,18.56
31122017,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,23.87
30122012,ABRA VALLEY COLLEGE,Bachelor of Science in Criminology,6.06
30122017,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,20.0
30122015,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,25.0
30122016,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,0.0
31122014,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,0.0
30122011,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,0.0
31122019,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,16.67
31122017,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,0.0
31122015,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,25.0
30122019,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,0.0
31122016,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,8.33
31122013,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,33.33
31122018,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,25.0
30122018,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,0.0
30122014,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Criminology,0.0
31122019,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,28.87
31122015,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,18.06
30122018,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,31.75
31122013,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,28.38
30122015,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,18.18
30122012,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,17.65
31122018,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,21.67
30122014,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,16.67
31122017,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,19.13
31122014,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,35.96
30122019,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,18.42
31122016,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,16.67
30122017,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,10.91
30122016,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,10.2
30122011,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,14.29
30122013,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Criminology,25.0
30122018,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,25.81
30122017,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,0.0
30122016,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,25.0
31122016,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,48.15
30122013,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,50.0
31122019,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,75.00
30122014,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,100.0
30122019,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,50.0
31122018,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,17.65
31122015,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,41.67
30122012,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,0.0
31122014,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,71.43
31122017,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,60.87
31122013,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,83.33
30122015,ACADEMIA DE SAN LORENZO DEMAALA,Bachelor of Science in Criminology,0.0
31122017,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,38.89
30122019,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,46.15
31122014,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,0.0
30122016,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,53.33
31122016,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,36.59
31122019,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,27.59
30122015,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,37.5
31122018,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,50.0
30122014,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,50.0
31122013,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,80.0
30122018,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,31.91
30122017,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,0.0
31122015,ACES POLYTECHNIC COLLEGE  PANABO CITY,Bachelor of Science in Criminology,33.33
30122019,ADAMSON UNIVERSITY,Bachelor of Science in Criminology,0.0
30122019,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Criminology,0.0
31122019,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,0.00
31122013,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,0.0
31122017,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,15.38
30122017,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,9.09
31122016,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,0.0
31122014,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,0.0
30122015,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,25.0
31122015,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,0.0
31122018,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,0.0
30122016,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,0.0
30122019,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,0.0
30122018,"AGONCILLO COLLEGE, INC",Bachelor of Science in Criminology,16.67
30122013,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,54.55
31122019,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,14.29
31122016,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,0.0
30122011,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,20.0
30122010,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,23.0
31122013,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,37.5
30122016,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,20.0
30122014,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,29.17
31122014,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,44.0
30122015,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,13.64
30122012,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,29.63
30122019,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,20.0
31122015,AGUSAN INSTITUTE OF TECHNOLOGY,Bachelor of Science in Criminology,3.33
