Time Date,School,Course,Passing Rate
31122017,ABAD SANTOS EDUCATIONAL INSTITUTION,Bachelor of Science in Electrical Engineering,0.0
30122018,ABAD SANTOS EDUCATIONAL INSTITUTION,Bachelor of Science in Electrical Engineering,33.33
31122016,ABADA COLLEGE,Bachelor of Science in Electrical Engineering,100.0
31122018,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS BACOLOD,Bachelor of Science in Electrical Engineering,100.0
30122016,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS BACOLOD,Bachelor of Science in Electrical Engineering,0.0
31122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS ILOILO,Bachelor of Science in Electrical Engineering,100.0
30122018,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS ILOILO,Bachelor of Science in Electrical Engineering,0.0
31122016,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS RECTO,Bachelor of Science in Electrical Engineering,100.0
31122018,ABELLANA COLLEGE OF ARTS & TRADE,Bachelor of Science in Electrical Engineering,0.0
31122017,ABELLANA NATIONAL SCHOOL,Bachelor of Science in Electrical Engineering,100.0
30122018,ABELLANA NATIONAL SCHOOL,Bachelor of Science in Electrical Engineering,100.0
31122016,ABELLANA NATIONAL SCHOOL,Bachelor of Science in Electrical Engineering,0.0
31122018,ABELLANA NATIONAL SCHOOL,Bachelor of Science in Electrical Engineering,66.67
30122016,ABELLANA NATIONAL SCHOOL,Bachelor of Science in Electrical Engineering,0.0
30122022,ABRA ST ATEINST. Of  SCIENCE & TECH.(ABRA IST)8ANGUEO,Bachelor of Science in Electrical Engineering,50.0
30122013,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,0.0
31122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,30.77
31122015,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,10.0
30122017,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,33.33
31122016,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,66.67
31122012,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,0.0
31122013,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,7.69
31122014,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,7.14
31122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,21.43
30122012,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,0.0
30122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,20.0
31122017,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,61.54
30122015,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,22.22
30122014,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,0.0
30122010,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,0.0
30122011,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,50.0
30122016,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,40.0
31122011,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,20.0
31122010,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Electrical Engineering,0.0
30122018,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Electrical Engineering,0.0
31122017,ACCESS COMPUTER & TECHNICAL COLLEGEMANILA,Bachelor of Science in Electrical Engineering,100.0
30122016,ACCESS COMPUTER & TECHNICAL COLLEGEMANILA,Bachelor of Science in Electrical Engineering,0.0
31122016,ACCESS COMPUTER & TECHNICAL COLLEGEMANILA,Bachelor of Science in Electrical Engineering,75.0
30122016,ACES TAGUM COLLEGE,Bachelor of Science in Electrical Engineering,0.0
31122018,ACES TAGUM COLLEGE,Bachelor of Science in Electrical Engineering,0.0
31122017,ACI COMPUTER COLLEGE (for. ACTS),Bachelor of Science in Electrical Engineering,100.0
30122018,ACI COMPUTER COLLEGE (for. ACTS),Bachelor of Science in Electrical Engineering,0.0
31122018,ADAMSON UNIVERSITY,Bachelor of Science in Electrical Engineering,67.39
30122011,ADAMSON UNIVERSITY,Bachelor of Science in Electrical Engineering,41.18
30122016,ADAMSON UNIVERSITY,Bachelor of Science in Electrical Engineering,71.43
31122015,ADAMSON UNIVERSITY,Bachelor of Science in Electrical Engineering,66.67
