Time Date,School,Course,Passing Rate
31122018,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS TACLOBAN,Bachelor of Science in Electronics Engineering,100.00
31122018,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,52.08
31122017,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,48.72
31122016,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,50.77
31122015,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,43.93
31122014,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,29.59
31122013,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,22.78
31122012,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,70.33
31122011,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,0.0
30122010,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,11.0
30122018,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,49.06
30122011,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,46.34
30122012,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,68.29
30122013,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,21.31
30122014,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,29.21
30122015,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,18.07
30122016,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,39.53
31122010,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,20.62
30122017,ADAMSON UNIVERSITY,Bachelor of Science in Electronics Engineering,30.0
30122014,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Electronics Engineering,100.0
30122015,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Electronics Engineering,20.0
30122016,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Electronics Engineering,50.0
30122013,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Electronics Engineering,60.0
30122017,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Electronics Engineering,33.33
30122018,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Electronics Engineering,60.0
31122010,AEMILIANUM INSTITUTE,Bachelor of Science in Electronics Engineering,20.0
31122017,AEMILIANUM INSTITUTE,Bachelor of Science in Electronics Engineering,9.09
30122011,AEMILIANUM INSTITUTE,Bachelor of Science in Electronics Engineering,50.0
