Time Date,School,Course,Passing Rate
31122010,ABAD SANTOS EDUCATIONAL INSTITUTION,Bachelor of Science in Elementary Education,100.0
30122012,ABAD SANTOS EDUCATIONAL INSTITUTION,Bachelor of Science in Elementary Education,50.0
30122018,ABAD SANTOS EDUCATIONAL INSTITUTION,Bachelor of Science in Elementary Education,16.67
31122017,ABAD SANTOS EDUCATIONAL INSTITUTION,Bachelor of Science in Elementary Education,0.0
31122018,ABADA COLLEGE,Bachelor of Science in Elementary Education,9.46
30122010,ABADA COLLEGE,Bachelor of Science in Elementary Education,4.0
31122010,ABADA COLLEGE,Bachelor of Science in Elementary Education,4.41
30122015,ABADA COLLEGE,Bachelor of Science in Elementary Education,13.54
31122013,ABADA COLLEGE,Bachelor of Science in Elementary Education,7.97
31122012,ABADA COLLEGE,Bachelor of Science in Elementary Education,24.14
30122012,ABADA COLLEGE,Bachelor of Science in Elementary Education,42.86
30122011,ABADA COLLEGE,Bachelor of Science in Elementary Education,10.17
31122011,ABADA COLLEGE,Bachelor of Science in Elementary Education,4.24
30122018,ABADA COLLEGE,Bachelor of Science in Elementary Education,14.89
30122013,ABADA COLLEGE,Bachelor of Science in Elementary Education,12.82
30122014,ABADA COLLEGE,Bachelor of Science in Elementary Education,16.48
31122015,ABADA COLLEGE,Bachelor of Science in Elementary Education,8.4
31122016,ABADA COLLEGE,Bachelor of Science in Elementary Education,8.89
31122017,ABADA COLLEGE,Bachelor of Science in Elementary Education,16.83
30122016,ABADA COLLEGE,Bachelor of Science in Elementary Education,31.25
30122017,ABADA COLLEGE,Bachelor of Science in Elementary Education,15.63
31122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS BACOLOD,Bachelor of Science in Elementary Education,33.33
31122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CABANATUAN,Bachelor of Science in Elementary Education,0.0
30122010,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CABANATUAN,Bachelor of Science in Elementary Education,50
30122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CABANATUAN,Bachelor of Science in Elementary Education,0.0
30122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CABANATUAN,Bachelor of Science in Elementary Education,50.0
30122018,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Elementary Education,0.0
30122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Elementary Education,0.0
31122015,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Elementary Education,100.0
30122010,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS CAINTA,Bachelor of Science in Elementary Education,0
31122017,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS ILOILO,Bachelor of Science in Elementary Education,0.0
31122016,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS TACLOBAN,Bachelor of Science in Elementary Education,0.0
30122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS TACLOBAN,Bachelor of Science in Elementary Education,33.0
30122010,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS TACLOBAN,Bachelor of Science in Elementary Education,33
30122010,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICSLAS PIÑAS,Bachelor of Science in Elementary Education,0
30122011,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICSLAS PIÑAS,Bachelor of Science in Elementary Education,0.0
30122013,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICSLUCENA,Bachelor of Science in Elementary Education,0.0
30122012,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICSTACLOBAN,Bachelor of Science in Elementary Education,100.0
31122012,ABELLANA COLLEGE OF ARTS & TRADE,Bachelor of Science in Elementary Education,100.0
30122013,ABELLANA NATIONAL SCHOOL,Bachelor of Science in Elementary Education,0.0
30122012,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,37.78
30122010,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,19.0
31122017,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,16.44
30122017,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,7.34
31122013,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,13.64
31122016,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,25.0
31122012,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,43.14
31122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,15.69
30122013,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,22.09
31122010,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,7.55
30122015,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,31.11
30122011,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,7.14
31122011,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,16.44
31122015,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,26.98
30122014,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,45.88
30122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,13.13
30122016,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Elementary Education,28.57
30122014,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,37.84
30122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,24.49
31122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,22.35
31122011,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,7.14
31122017,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,19.23
30122017,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,10.0
31122012,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,42.86
30122012,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,45.45
31122015,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,17.39
30122010,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,9.0
30122011,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,4.55
31122010,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,2.08
30122013,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,48.39
31122016,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,20.51
30122016,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,32.0
31122013,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,21.62
30122015,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)LAGANGILANG,Bachelor of Science in Elementary Education,21.43
30122012,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,0.0
31122013,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,13.33
31122012,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,36.0
31122017,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,16.67
31122010,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,0.0
30122013,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,9.09
30122010,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,6.0
30122016,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,25.0
30122014,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,26.92
31122016,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,12.0
31122011,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,0.0
31122015,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,14.81
30122015,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,5.0
30122011,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,0.0
31122018,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,5.13
30122018,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,4.55
30122017,ABRA VALLEY COLLEGE,Bachelor of Science in Elementary Education,6.67
31122018,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
30122014,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,18.18
31122017,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
30122013,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,9.09
30122017,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
31122012,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,50.0
30122015,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
31122015,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
30122010,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
30122012,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
30122011,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
31122011,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
30122016,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,7.14
31122016,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
31122010,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,0.0
30122018,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Elementary Education,10.0
31122011,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Elementary Education,33.33
31122015,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Elementary Education,25.0
30122016,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Elementary Education,37.78
30122012,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Elementary Education,55.17
30122011,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Elementary Education,21.28
31122018,ABUYOG COMMUNITY COLLEGE,Bachelor of Science in Elementary Education,13.13
