Time Date,School,Course,Passing Rate
31122018,ABE INTERNATIONAL COLLEGE OF BUSINESS & ECONOMICS BACOLOD,Bachelor of Science in Mechanical Engineering,100.0
30122012,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,75.0
31122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,25.0
31122017,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,37.5
31122015,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,0.0
31122014,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,50.0
31122013,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,50.0
30122020,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,4.35
31122012,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,75.0
30122014,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,50.0
30122015,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,66.67
31122016,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,50.0
30122018,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,20.0
30122019,ABRA STATE INST. OF SCIENCE & TECH.(ABRA IST)BANGUED,Bachelor of Science in Mechanical Engineering,22.22
30122020,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,52.73
30122011,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,64.71
31122018,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,61.22
31122010,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,51.56
31122015,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,70.27
30122017,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,78.95
31122016,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,81.82
31122011,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,73.33
31122012,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,68.09
31122017,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,85.71
30122010,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,40.0
30122019,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,46.67
31122013,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,57.14
30122016,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,55.56
30122013,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,68.97
30122018,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,47.06
31122014,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,85.71
30122014,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,80.65
30122012,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,48.57
30122015,ADAMSON UNIVERSITY,Bachelor of Science in Mechanical Engineering,63.64
31122015,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,29.41
30122014,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,0.0
31122017,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,66.67
30122012,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,0.0
30122010,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,25.0
30122019,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,36.36
31122018,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,20.0
31122016,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,50.0
30122020,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,28.57
31122013,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,91.67
30122013,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,66.67
30122015,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,0.0
30122018,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,50.0
30122011,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,0.0
31122012,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,16.67
31122010,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,72.73
31122014,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,25.0
30122017,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,0.0
31122011,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,71.43
30122016,ANDRES BONIFACIO COLLEGE,Bachelor of Science in Mechanical Engineering,33.33
31122018,ANTIPOLO SCHOOL OF NURSING & MIDWIFERY,Bachelor of Science in Mechanical Engineering,100.0
31122010,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
30122018,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
31122017,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
30122010,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
30122012,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,75.0
31122011,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
31122013,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,90.48
31122016,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
30122011,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
30122016,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
30122017,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
30122014,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
31122015,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,53.85
30122015,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
31122012,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,68.75
31122018,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
31122014,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,100.0
30122013,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Mechanical Engineering,83.33
30122020,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,50.00
31122017,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,20.0
31122012,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,100.0
30122015,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,50.0
30122019,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,0.0
30122018,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,33.33
31122018,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,85.71
31122014,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,44.44
30122012,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,0.0
30122011,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,0.0
31122011,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,75.0
31122010,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,66.67
31122013,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,60.0
30122016,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,0.0
31122016,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,42.86
30122017,AURORA STATE COLLEGE OF TECHNOLOGY,Bachelor of Science in Mechanical Engineering,50.0
30122020,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Mechanical Engineering,0.00
31122017,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Mechanical Engineering,50.0
31122016,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Mechanical Engineering,50.0
30122014,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Mechanical Engineering,0.0
31122014,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Mechanical Engineering,100.0
30122018,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Mechanical Engineering,0.0
30122019,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Mechanical Engineering,0.0
31122018,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Mechanical Engineering,22.22
30122017,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Mechanical Engineering,0.0
30122020,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,21.21
30122012,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,25.0
31122012,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,42.86
30122016,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,9.09
30122015,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,37.5
31122015,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,19.35
30122014,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,100.0
30122018,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,27.27
31122016,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,39.29
31122010,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,62.5
31122018,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,8.33
31122014,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,71.43
30122013,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,40.0
31122011,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,41.18
30122019,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,17.65
30122017,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,25.0
30122011,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,50.0
31122013,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,53.33
30122010,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,25.0
31122017,BATAAN HEROES MEMORIAL COLLEGE,Bachelor of Science in Mechanical Engineering,33.33
30122010,BATAAN NATIONAL SCHOOL OF ARTS & TRADES,Bachelor of Science in Mechanical Engineering,100.0
31122010,BATAAN NATIONAL SCHOOL OF ARTS & TRADES,Bachelor of Science in Mechanical Engineering,0.0
30122010,BATAAN PENINSULA STATE COLLEGE BALANGA (BATAAN POLY.SC),Bachelor of Science in Mechanical Engineering,0.0
31122010,BATAAN PENINSULA STATE COLLEGE BALANGA (BATAAN POLY.SC),Bachelor of Science in Mechanical Engineering,51.28
30122019,"BATAAN PENINSULA STATE U DINALUPIHAN(FOR BATAAN SC,TC)",Bachelor of Science in Mechanical Engineering,100.0
31122018,"BATAAN PENINSULA STATE U DINALUPIHAN(FOR BATAAN SC,TC)",Bachelor of Science in Mechanical Engineering,100.0
30122015,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Mechanical Engineering,41.18
30122017,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Mechanical Engineering,44.19
30122016,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Mechanical Engineering,43.75
31122016,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Mechanical Engineering,57.55
31122015,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Mechanical Engineering,40.95
30122018,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Mechanical Engineering,26.92
31122014,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Mechanical Engineering,88.35
31122017,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Mechanical Engineering,64.35
30122019,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Mechanical Engineering,33.57
31122018,BATAAN PENINSULA STATE U MAIN CAMPUS(FOR BNSAT),Bachelor of Science in Mechanical Engineering,38.83
31122012,BATAAN PENINSULA STATE UNIVERSITY BALANGA (for.BATAAN P.S),Bachelor of Science in Mechanical Engineering,75.0
30122012,BATAAN PENINSULA STATE UNIVERSITY BALANGA (for.BATAAN P.S),Bachelor of Science in Mechanical Engineering,28.57
31122011,BATAAN PENINSULA STATE UNIVERSITY BALANGA (for.BATAAN P.S),Bachelor of Science in Mechanical Engineering,73.47
30122013,BATAAN PENINSULA STATE UNIVERSITY BALANGA (for.BATAAN P.S),Bachelor of Science in Mechanical Engineering,33.33
30122011,BATAAN PENINSULA STATE UNIVERSITY BALANGA (for.BATAAN P.S),Bachelor of Science in Mechanical Engineering,76.92
30122019,BATAAN PENINSULA STATE UNIVERSITYBALANGA,Bachelor of Science in Mechanical Engineering,0.0
30122017,BATAAN PENINSULA STATE UNIVERSITYBALANGA,Bachelor of Science in Mechanical Engineering,0.0
31122018,BATAAN PENINSULA STATE UNIVERSITYBALANGA,Bachelor of Science in Mechanical Engineering,0.0
30122014,BATAAN PENINSULA STATE UNIVERSITYBALANGA (for.BATAAN P.S),Bachelor of Science in Mechanical Engineering,53.85
31122013,BATAAN PENINSULA STATE UNIVERSITYBALANGA (for.BATAAN P.S),Bachelor of Science in Mechanical Engineering,81.67
30122020,BATAAN PENINSULA STATE UNIVERSITYMAIN CAMPUS,Bachelor of Science in Mechanical Engineering,40.29
31122018,BATANGAS STATE UNIVERSITY  ALANGILAN,Bachelor of Science in Mechanical Engineering,85.33
30122020,BATANGAS STATE UNIVERSITY  ALANGILAN,Bachelor of Science in Mechanical Engineering,92.55
31122017,BATANGAS STATE UNIVERSITY  ALANGILAN,Bachelor of Science in Mechanical Engineering,89.58
31122016,BATANGAS STATE UNIVERSITY  ALANGILAN,Bachelor of Science in Mechanical Engineering,98.96
30122018,BATANGAS STATE UNIVERSITY  ALANGILAN,Bachelor of Science in Mechanical Engineering,99.15
30122017,BATANGAS STATE UNIVERSITY  ALANGILAN,Bachelor of Science in Mechanical Engineering,100.0
30122019,BATANGAS STATE UNIVERSITY  ALANGILAN,Bachelor of Science in Mechanical Engineering,90.15
31122018,BATANGAS STATE UNIVERSITY (for. JPLPC)MALVAR,Bachelor of Science in Mechanical Engineering,0.0
31122011,BATANGAS STATE UNIVERSITY BATANGAS CITY,Bachelor of Science in Mechanical Engineering,96.15
30122011,BATANGAS STATE UNIVERSITY BATANGAS CITY,Bachelor of Science in Mechanical Engineering,97.22
30122012,BATANGAS STATE UNIVERSITY BATANGAS CITY,Bachelor of Science in Mechanical Engineering,98.39
31122010,BATANGAS STATE UNIVERSITY BATANGAS CITY,Bachelor of Science in Mechanical Engineering,100.0
30122010,BATANGAS STATE UNIVERSITY BATANGAS CITY,Bachelor of Science in Mechanical Engineering,100.0
30122017,BATANGAS STATE UNIVERSITY BATANGAS CITY (PBMIT),Bachelor of Science in Mechanical Engineering,100.0
31122012,BATANGAS STATE UNIVERSITY BATANGAS CITY (PBMIT),Bachelor of Science in Mechanical Engineering,97.73
30122014,BATANGAS STATE UNIVERSITY BATANGAS CITY (PBMIT),Bachelor of Science in Mechanical Engineering,98.85
31122013,BATANGAS STATE UNIVERSITY BATANGAS CITY (PBMIT),Bachelor of Science in Mechanical Engineering,100.0
30122013,BATANGAS STATE UNIVERSITY BATANGAS CITY (PBMIT),Bachelor of Science in Mechanical Engineering,91.94
31122014,BATANGAS STATE UNIVERSITY BATANGAS CITY (PBMIT),Bachelor of Science in Mechanical Engineering,98.81
31122015,BATANGAS STATE UNIVERSITY BATANGAS CITY (PBMIT),Bachelor of Science in Mechanical Engineering,94.03
30122017,BATANGAS STATE UNIVERSITY BATANGAS CITY (PBMIT),Bachelor of Science in Mechanical Engineering,98.51
30122016,BATANGAS STATE UNIVERSITY BATANGAS CITY (PBMIT),Bachelor of Science in Mechanical Engineering,96.72
30122015,BATANGAS STATE UNIVERSITY BATANGAS CITY (PBMIT),Bachelor of Science in Mechanical Engineering,100.0
30122020,BICOL STATE COLLEGE OF APPLIED SCIENCES & TECH.,Bachelor of Science in Mechanical Engineering,11.11
31122015,BICOL STATE COLLEGE OF APPLIED SCIENCES AND TECH (FOR CSPC),Bachelor of Science in Mechanical Engineering,42.86
