Time Date,School,Course,Passing Rate
30122010,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,11.11
31122018,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,14.29
30122017,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,12.0
30122016,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,30.3
30122015,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,52.78
30122014,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,7.89
30122012,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,26.87
31122010,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,17.44
31122019,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,37.21
30122011,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,15.0
31122011,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,18.68
31122013,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,8.06
31122014,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,32.0
31122015,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,25.0
31122016,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,38.71
31122017,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,40.91
30122019,ABRA VALLEY COLLEGE,Bachelor of Science in Nursing,25.93
31122019,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,5.88
31122018,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,0.0
30122017,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,0.0
31122011,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,0.0
31122013,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,11.11
31122010,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,6.25
30122014,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,0.0
30122010,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,0.0
30122016,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,0.0
31122017,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,11.11
30122012,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,0.0
31122014,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,11.11
30122015,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,0.0
30122011,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,0.0
31122015,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,7.14
31122016,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,23.08
30122019,ABUBAKAR COMPUTER LEARNING CENTER,Bachelor of Science in Nursing,9.09
30122012,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,90.57
31122010,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,53.33
30122016,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,100.0
31122014,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,100.0
31122013,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,55.56
30122017,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,100.0
31122019,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,93.75
31122016,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,100.0
30122015,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,100.0
31122018,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,100.0
30122014,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,88.24
31122017,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,25.0
30122010,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,90.41
31122011,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,70.37
30122019,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,100.0
30122011,ADAMSON UNIVERSITY,Bachelor of Science in Nursing,94.34
31122018,"ADVENTIST MED. CENTER COLL. ILIGAN CITY,INC(MSHC, INC)",Bachelor of Science in Nursing,35.29
30122019,"ADVENTIST MED. CENTER COLL. ILIGAN CITY,INC(MSHC, INC)",Bachelor of Science in Nursing,66.67
31122019,"ADVENTIST MED. CENTER COLL. ILIGAN CITY,INC(MSHC, INC)",Bachelor of Science in Nursing,50.00
30122017,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,68.75
30122011,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,41.67
31122014,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,68.75
31122018,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,71.43
30122016,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,60.0
31122015,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,75.0
31122019,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,75.00
30122012,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,51.85
30122014,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,63.56
31122013,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,15.79
30122010,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,61.76
31122010,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,66.9
31122016,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,100.0
30122019,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,84.21
31122011,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,70.59
30122015,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,80.0
31122017,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Nursing,47.06
31122018,AGO FOUNDATION COLLEGE,Bachelor of Science in Nursing,12.5
31122019,AGO FOUNDATION COLLEGE,Bachelor of Science in Nursing,27.27
