Time Date,School,Course,Passing Rate
30122017,ABAD SANTOS EDUCATIONAL INSTITUTION,Bachelor of Science in Psychology,100.0
31122017,ADAMSON UNIVERSITY,Bachelor of Science in Psychology,33.33
31122016,ADAMSON UNIVERSITY,Bachelor of Science in Psychology,68.66
30122015,ADAMSON UNIVERSITY,Bachelor of Science in Psychology,37.5
30122022,ADAMSON UNIVERSITY,Bachelor of Science in Psychology,20.00
30122016,ADAMSON UNIVERSITY,Bachelor of Science in Psychology,0.0
31122014,ADAMSON UNIVERSITY,Bachelor of Science in Psychology,36.05
31122018,ADAMSON UNIVERSITY,Bachelor of Science in Psychology,100.0
30122017,ADAMSON UNIVERSITY,Bachelor of Science in Psychology,63.64
31122017,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Psychology,33.33
30122016,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Psychology,100.0
31122014,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Psychology,78.57
30122018,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Psychology,33.33
30122017,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Psychology,73.33
30122015,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Psychology,55.56
31122016,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Psychology,63.16
31122018,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Psychology,100.0
30122022,ADVENTIST UNIVERSITY OF THE PHILIPPINES,Bachelor of Science in Psychology,33.33
31122014,AMA COMPUTER COLLEGE CABANATUAN CITY,Bachelor of Science in Psychology,0.0
30122015,AMA COMPUTER COLLEGE CABANATUAN CITY,Bachelor of Science in Psychology,0.0
30122017,AMA COMPUTER COLLEGE MAKATI CITY,Bachelor of Science in Psychology,0.0
31122016,AMA COMPUTER COLLEGE MAKATI CITY,Bachelor of Science in Psychology,100.0
31122014,"AMA COMPUTER COLLEGEBINAN, LAGUNA",Bachelor of Science in Psychology,100.0
31122016,"AMA COMPUTER COLLEGESTA. CRUZ, LAGUNA",Bachelor of Science in Psychology,0.0
31122014,"AMA COMPUTER COLLEGESTA. CRUZ, LAGUNA",Bachelor of Science in Psychology,0.0
30122017,"AMA COMPUTER COLLEGESTA. CRUZ, LAGUNA",Bachelor of Science in Psychology,0.0
30122015,"AMA COMPUTER COLLEGESTA. CRUZ, LAGUNA",Bachelor of Science in Psychology,0.0
31122014,"AMA COMPUTER UNIVERSITY PROJ. 8, QC",Bachelor of Science in Psychology,0.0
31122016,ANGELES UNIVERSITY FOUNDATION,Bachelor of Science in Psychology,75.0
31122018,ANGELES UNIVERSITY FOUNDATION,Bachelor of Science in Psychology,80.65
31122014,ANGELES UNIVERSITY FOUNDATION,Bachelor of Science in Psychology,50.0
30122018,ANGELES UNIVERSITY FOUNDATION,Bachelor of Science in Psychology,100.0
30122017,ANGELES UNIVERSITY FOUNDATION,Bachelor of Science in Psychology,86.67
30122015,ANGELES UNIVERSITY FOUNDATION,Bachelor of Science in Psychology,68.97
30122017,AQUINAS UNIVERSITY,Bachelor of Science in Psychology,80.0
31122016,AQUINAS UNIVERSITY,Bachelor of Science in Psychology,78.57
31122014,AQUINAS UNIVERSITY,Bachelor of Science in Psychology,50.0
30122015,AQUINAS UNIVERSITY,Bachelor of Science in Psychology,28.57
30122022,ARAULLO UNIVERSITY,Bachelor of Science in Psychology,100.00
30122017,ARELLANO UNIVERSITY  MANDALUYONG,Bachelor of Science in Psychology,0.0
30122017,ARELLANO UNIVERSITYMALABON,Bachelor of Science in Psychology,0.0
30122015,ARELLANO UNIVERSITYMANILA,Bachelor of Science in Psychology,16.67
30122022,ARELLANO UNIVERSITYMANILA,Bachelor of Science in Psychology,100.00
31122016,ARELLANO UNIVERSITYMANILA,Bachelor of Science in Psychology,37.5
31122017,ARELLANO UNIVERSITYMANILA,Bachelor of Science in Psychology,0.0
30122017,ARELLANO UNIVERSITYMANILA,Bachelor of Science in Psychology,31.82
31122014,ARELLANO UNIVERSITYMANILA,Bachelor of Science in Psychology,0.0
31122015,ARELLANO UNIVERSITYMANILA,Bachelor of Science in Psychology,0.0
30122018,ARELLANO UNIVERSITYMANILA,Bachelor of Science in Psychology,50.0
30122017,ARELLANO UNIVERSITYPASAY,Bachelor of Science in Psychology,35.29
31122014,ARELLANO UNIVERSITYPASAY,Bachelor of Science in Psychology,0.0
30122015,ARELLANO UNIVERSITYPASAY,Bachelor of Science in Psychology,25.0
31122016,ARELLANO UNIVERSITYPASAY,Bachelor of Science in Psychology,50.0
30122015,ARELLANO UNIVERSITYPASIG,Bachelor of Science in Psychology,0.0
31122014,ARELLANO UNIVERSITYPASIG,Bachelor of Science in Psychology,0.0
31122016,ARELLANO UNIVERSITYPASIG,Bachelor of Science in Psychology,0.0
30122017,ARELLANO UNIVERSITYPASIG,Bachelor of Science in Psychology,55.56
30122017,ASIAN DEVELOPMENT FOUNDATION COLLEGE,Bachelor of Science in Psychology,66.67
31122016,ASIAN DEVELOPMENT FOUNDATION COLLEGE,Bachelor of Science in Psychology,0.0
30122022,ASSUMPTION COLLEGEMAKATI,Bachelor of Science in Psychology,100.00
30122015,ASSUMPTION COLLEGEMAKATI,Bachelor of Science in Psychology,57.14
30122017,ASSUMPTION COLLEGEMAKATI,Bachelor of Science in Psychology,72.0
31122016,ASSUMPTION COLLEGEMAKATI,Bachelor of Science in Psychology,60.0
31122014,ASSUMPTION COLLEGEMAKATI,Bachelor of Science in Psychology,48.15
31122017,ASSUMPTION COLLEGEMAKATI,Bachelor of Science in Psychology,100.0
30122022,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Psychology,92.31
31122016,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Psychology,70.49
30122017,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Psychology,62.07
30122015,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Psychology,56.34
30122018,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Psychology,40.0
31122015,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Psychology,40.0
31122017,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Psychology,55.56
31122014,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Psychology,54.76
30122016,ATENEO DE DAVAO UNIVERSITY,Bachelor of Science in Psychology,40.0
30122022,ATENEO DE MANILA UNIVERSITY Q.C.,Bachelor of Science in Psychology,100.00
30122015,ATENEO DE MANILA UNIVERSITY Q.C.,Bachelor of Science in Psychology,86.11
30122017,ATENEO DE MANILA UNIVERSITY Q.C.,Bachelor of Science in Psychology,96.43
31122015,ATENEO DE MANILA UNIVERSITY Q.C.,Bachelor of Science in Psychology,85.71
31122017,ATENEO DE MANILA UNIVERSITY Q.C.,Bachelor of Science in Psychology,93.33
30122018,ATENEO DE MANILA UNIVERSITY Q.C.,Bachelor of Science in Psychology,95.45
31122016,ATENEO DE MANILA UNIVERSITY Q.C.,Bachelor of Science in Psychology,78.0
30122016,ATENEO DE MANILA UNIVERSITY Q.C.,Bachelor of Science in Psychology,87.5
31122018,ATENEO DE MANILA UNIVERSITY Q.C.,Bachelor of Science in Psychology,100.0
31122014,ATENEO DE MANILA UNIVERSITY Q.C.,Bachelor of Science in Psychology,88.24
30122022,ATENEO DE NAGA UNIVERSITY,Bachelor of Science in Psychology,100.00
30122015,ATENEO DE NAGA UNIVERSITY,Bachelor of Science in Psychology,65.45
31122014,ATENEO DE NAGA UNIVERSITY,Bachelor of Science in Psychology,48.98
31122017,ATENEO DE NAGA UNIVERSITY,Bachelor of Science in Psychology,100.0
31122016,ATENEO DE NAGA UNIVERSITY,Bachelor of Science in Psychology,54.43
30122017,ATENEO DE NAGA UNIVERSITY,Bachelor of Science in Psychology,52.7
31122016,ATENEO DE ZAMBOANGA,Bachelor of Science in Psychology,36.54
31122014,ATENEO DE ZAMBOANGA,Bachelor of Science in Psychology,50.0
30122015,ATENEO DE ZAMBOANGA,Bachelor of Science in Psychology,25.0
30122018,ATENEO DE ZAMBOANGA UNIVERSITY,Bachelor of Science in Psychology,100.0
30122022,ATENEO DE ZAMBOANGA UNIVERSITY,Bachelor of Science in Psychology,100.00
30122017,ATENEO DE ZAMBOANGA UNIVERSITY,Bachelor of Science in Psychology,30.67
30122017,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Psychology,31.82
30122015,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Psychology,55.56
31122016,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Psychology,90.0
31122014,BALIUAG UNIVERSITY (BALIUAG COLLEGES),Bachelor of Science in Psychology,55.56
