Time Date,School,Course,Passing rate
31122018,Lyceum of the Philippines University,Bachelor of Science in Civil Engineering,54.17
30122019,Lyceum of the Philippines University,Bachelor of Science in Civil Engineering,70
31122019,Lyceum of the Philippines University,Bachelor of Science in Civil Engineering,0
31122021,Lyceum of the Philippines University,Bachelor of Science in Civil Engineering,25
31122022,Lyceum of the Philippines University,Bachelor of Science in Civil Engineering,20.83
30122010,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,50
31122010,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,100
30122011,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,0
31122011,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,25
30122012,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,0
31122012,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,25
30122013,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,0
31122013,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,0
30122014,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,50
31122014,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,28.57
30122015,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,33.33
31122015,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,0
30122016,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,20
31122016,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,50
30122017,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,10
31122017,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,33.33
30122018,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,25
31122018,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,0
30122019,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,20
31122019,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,14.29
31122021,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,0
30122022,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,16.67
31122022,University of Perpetual Help System Dalta,Bachelor of Science in Civil Engineering,16.67
