Time Date,School,Course,Passing Rate
31122010,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,16.67
30122011,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,0
31122011,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,57.89
30122012,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,22.22
31122012,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,36.17
30122013,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,29.17
31122013,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,44.44
30122014,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,23.33
31122014,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,36
30122015,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,25.81
31122015,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,17.5
30122016,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,18.18
31122016,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,25.53
31122017,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,31.82
30122018,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,51.28
31122018,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,14.29
30122019,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,39.13
31122019,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,50
31122020,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,40
31122022,University of Perpetual Help System Dalta,Bachelor of Science in Criminology,50
